"Bol Number","Arrival Date","Company Name","Supplier Name","Product Description","Port Of Entry","Shipping Port","Supplier Country","TEU","Weight"
"PUSJDUSATML06812","20/01/2022","S Riko De Queretaro S A","Alliance Industrielle","Automotive","Charleston, Sc","Le Havre","France","1","5805"
"PUSJDUSATML06812","20/01/2022","S Riko De Queretaro S A","Alliance Industrielle","Automotive","Charleston, Sc","Le Havre","France","1","5805"
"PUSJDUSATML05296","01/11/2021","S Riko De Queretaro S A","Alliance Industrielle","Automotive","Charleston, Sc","Le Havre","France","1.5","6342"
"PUSJDUSATML03269","06/09/2021","S Riko De Queretaro S A","Alliance Industrielle","Automotive","Charleston, Sc","Le Havre","France","1","6500"
"PUSJDUSATML02663","08/08/2021","S Riko De Queretaro S A","Alliance Industrielle","Automotive","Charleston, Sc","Le Havre","France","1.5","11180"
"PUSJDUSATML01990","16/06/2021","S Riko De Queretaro S A","Alliance Industrielle","Automotive","Charleston, Sc","Le Havre","France","1.5","12894"
"PUSJDUSATML01354","18/05/2021","S Riko De Queretaro S A","Alliance Industrielle","Automotive","Charleston, Sc","Le Havre","France","1.5","10568"
"POLNDUSATML01029","23/04/2021","S Riko De Queretaro S A","Alliance Industrielle","Automotive","Charleston, Sc","Le Havre","France","1.5","11768"
"POLNDUSATML00655","15/04/2021","S Riko De Queretaro S A","Alliance Industrielle","Automotive","Charleston, Sc","Le Havre","France","1.5","11898"
"POLNDUSATML00312","17/03/2021","S Riko De Queretaro S A","Alliance Industrielle","Automotive","Charleston, Sc","Le Havre","France","1.5","11717"
"POLNDUSATML00115","02/03/2021","S Riko De Queretaro S A","Alliance Industrielle","Automotive","Charleston, Sc","Le Havre","France","1.5","12824"
"POLNDUSATMK02844","06/02/2021","S Riko De Queretaro S A","Alliance Industrielle","Automotive","Charleston, Sc","Le Havre","France","1.5","12480"
"POLNDUSATMK02844","06/02/2021","S Riko De Queretaro S A","Alliance Industrielle","Automotive","Charleston, Sc","Le Havre","France","1.5","12480"
