"Bol Number","Arrival Date","Company Name","Supplier Name","Product Description","Port Of Entry","Shipping Port","Supplier Country","TEU","Weight"
"BWLEHAM306392778","28/03/2023","Gestamp Mccalla","Hydro Extrusion Hungary Kft","Automotive Partsas","Charleston, Sc","Bremerhaven","Germany","1","4081"
"BWLEHAM306370538","24/03/2023","Gestamp Mccalla","Hydro Extrusion Hungary Kft","Automotive Partsas","Charleston, Sc","Bremerhaven","Germany","1.5","4997"
"BWLEHAM306352734","21/03/2023","Gestamp Mccalla","Hydro Extrusion Hungary Kft","Automotive Partsas","Charleston, Sc","Bremerhaven","Germany","1","4425"
"BWLEHAM306330759","09/03/2023","Gestamp Mccalla","Hydro Extrusion Hungary Kft","Automotive Partsas","Charleston, Sc","Bremerhaven","Germany","1.5","3772"
"BWLEHAM306309344","28/02/2023","Gestamp Mccalla","Hydro Extrusion Hungary Kft","Automotive Partsas Automotive Partsas Automotive Partsas","Charleston, Sc","Bremerhaven","Germany","1","4991"
"BWLEHAM306287618","24/02/2023","Gestamp Mccalla","Hydro Extrusion Hungary Kft","Automotive Partsas","Charleston, Sc","Bremerhaven","Germany","1","5632"
"ONEYHAMD01184A19","17/02/2023","Mobis Us Alabama Llc","Hydro Extrusion Hungary Kft","Hasa Automotive","Savannah, Ga","Stadersand","Germany","1.5","4992"
"BWLEHAM306236606","16/02/2023","Gestamp Mccalla","Hydro Extrusion Hungary Kft","Automotive Partsas Ams Automotive Partsas","Charleston, Sc","Bremerhaven","Germany","1.5","2500"
"BWLEHAM306272724","14/02/2023","Gestamp Mccalla","Hydro Extrusion Hungary Kft","Automotive Partsas Automotive Partsas Automotive Partsas","Charleston, Sc","Bremerhaven","Germany","1","5071"
"BWLEHAM306259485","14/02/2023","Gestamp Mccalla","Hydro Extrusion Hungary Kft","Automotive Partsas","Charleston, Sc","Bremerhaven","Germany","1.5","5274"
"BWLEHAM306217267","27/01/2023","Gestamp Mccalla","Hydro Extrusion Hungary Kft","Automotive","Charleston, Sc","Bremerhaven","Germany","1.5","1900"
"BWLEHAM306217267","27/01/2023","Gestamp Mccalla","Hydro Extrusion Hungary Kft","Automotive","Charleston, Sc","Bremerhaven","Germany","1.5","1900"
"ONEYHAMCD2766A01","26/01/2023","Mobis Us Alabama Llc","Hydro Extrusion Hungary Kft","Hasa Automotive","Savannah, Ga","Stadersand","Germany","1.5","5024"
"BWLEHAM206156793","15/12/2022","Gestamp Mccalla","Hydro Extrusion Hungary Kft","Automotive","Charleston, Sc","Bremerhaven","Germany","1.5","5270"
"BWLEHAM206138204","15/12/2022","Gestamp Mccalla","Hydro Extrusion Hungary Kft","Automotive","Charleston, Sc","Bremerhaven","Germany","1.5","4017"
"BWLEHAM206177082","15/12/2022","Gestamp Mccalla","Hydro Extrusion Hungary Kft","Automoztive","Charleston, Sc","Bremerhaven","Germany","1.5","5874"
"BWLEHAM206138204","15/12/2022","Gestamp Mccalla","Hydro Extrusion Hungary Kft","Automotive","Charleston, Sc","Bremerhaven","Germany","1.5","4017"
"BWLEHAM206156793","15/12/2022","Gestamp Mccalla","Hydro Extrusion Hungary Kft","Automotive","Charleston, Sc","Bremerhaven","Germany","1.5","5270"
"BWLEHAM206177082","15/12/2022","Gestamp Mccalla","Hydro Extrusion Hungary Kft","Automoztive","Charleston, Sc","Bremerhaven","Germany","1.5","5874"
"BWLEHAM206191887","15/12/2022","Gestamp Mccalla","Hydro Extrusion Hungary Kft","Automotive","Charleston, Sc","Bremerhaven","Germany","1","1550"
"BWLEHAM206121732","14/12/2022","Gestamp Mccalla","Hydro Extrusion Hungary Kft","Automotive","Charleston, Sc","Bremerhaven","Germany","1.5","5024"
"ONEYHAMCC0036A06","09/12/2022","Mobis Us Alabama Llc","Hydro Extrusion Hungary Kft","Hasa Plts Inner Pakage Automotiv","Savannah, Ga","Stadersand","Germany","1.5","1008"
"BWLEHAM206107976","07/12/2022","Gestamp Mccalla","Hydro Extrusion Hungary Kft","Automotive","Charleston, Sc","Bremerhaven","Germany","1.5","3386"
"BWLEHAM206073947","01/12/2022","Gestamp Mccalla","Hydro Extrusion Hungary Kft","Automotive Partsas","Charleston, Sc","Bremerhaven","Germany","1.5","3069"
"BWLEHAM206090504","01/12/2022","Gestamp Mccalla","Hydro Extrusion Hungary Kft","Automotive Partsas","Charleston, Sc","Bremerhaven","Germany","1.5","4399"
"BWLEHAM205983419","21/11/2022","Gestamp Mccalla","Hydro Extrusion Hungary Kft","Automotive","Charleston, Sc","Bremerhaven","Germany","1.5","4650"
"BWLEHAM206053929","21/11/2022","Gestamp Mccalla","Hydro Extrusion Hungary Kft","Automotive Partsas","Charleston, Sc","Bremerhaven","Germany","1.5","4414"
"BWLEHAM206039503","21/11/2022","Gestamp Mccalla","Hydro Extrusion Hungary Kft","Automotive Partsas","Charleston, Sc","Bremerhaven","Germany","1.5","604"
"BWLEHAM205968182","21/11/2022","Gestamp Mccalla","Hydro Extrusion Hungary Kft","Automotive Partsas","Charleston, Sc","Bremerhaven","Germany","1.5","4960"
"OOLU405343200019","04/11/2022","Mobis Us Alabama Llc","Hydro Extrusion Hungary Kft","Automotive","Charleston, Sc","Bremerhaven","Germany","1.5","8192"
"BWLEHAM206004234","19/10/2022","Gestamp Mccalla","Hydro Extrusion Hungary Kft","Ams","Charleston, Sc","Bremerhaven","Germany","1.5","5355"
"BWLEHAM206018812","19/10/2022","Gestamp Mccalla","Hydro Extrusion Hungary Kft","Automotive Partsas","Charleston, Sc","Bremerhaven","Germany","1.5","3502"
"BWLEHAM206004234","19/10/2022","Gestamp Mccalla","Hydro Extrusion Hungary Kft","Ams","Charleston, Sc","Bremerhaven","Germany","1.5","5355"
"BWLEHAM206018812","19/10/2022","Gestamp Mccalla","Hydro Extrusion Hungary Kft","Automotive Partsas","Charleston, Sc","Bremerhaven","Germany","1.5","3502"
"BWLEHAM205949457","12/10/2022","Gestamp Mccalla","Hydro Extrusion Hungary Kft","Automotive","Charleston, Sc","Bremerhaven","Germany","1.5","6200"
"BWLEHAM205901568","25/09/2022","Gestamp Mccalla","Hydro Extrusion Hungary Kft","Automotive Partsas","Charleston, Sc","Bremerhaven","Germany","1.5","5277"
"BWLEHAM205884915","25/09/2022","Gestamp Mccalla","Hydro Extrusion Hungary Kft","Automotive Partsas","Charleston, Sc","Bremerhaven","Germany","1.5","4816"
"BWLEHAM205901568","25/09/2022","Gestamp Mccalla","Hydro Extrusion Hungary Kft","Automotive Partsas","Charleston, Sc","Bremerhaven","Germany","1.5","5277"
"BWLEHAM205884915","25/09/2022","Gestamp Mccalla","Hydro Extrusion Hungary Kft","Automotive Partsas","Charleston, Sc","Bremerhaven","Germany","1.5","4816"
"BWLEHAM205918282","23/09/2022","Gestamp Mccalla","Hydro Extrusion Hungary Kft","Automotive Partsas","Charleston, Sc","Bremerhaven","Germany","1.5","3093"
"OOLU405342061021","23/09/2022","Mobis Us Alabama Lcc","Hydro Extrusion Hungary Kft","Automotiv","Charleston, Sc","Bremerhaven","Germany","1.5","3008"
"ONEYHAMC88541A23","15/09/2022","Mobis Us Alabama Llc","Hydro Extrusion Hungary Kft","Hasa Aluminium Sections","Savannah, Ga","Stadersand","Germany","1.5","3681"
"BANQ1047537635","10/09/2022","Swisslog Logistics Inc","Hydro Extrusion Hungary Kft","Autostore Automated Warehouse System Cin Autostore Automated Warehouse System Cin Autostore Automated Warehouse System Cin","Charleston, Sc","Bremerhaven","Germany","4.5","21265"
"BANQ1047537635","10/09/2022","Swisslog Logistics Inc","Hydro Extrusion Hungary Kft","Autostore Automated Warehouse System Cin Autostore Automated Warehouse System Cin Autostore Automated Warehouse System Cin","Charleston, Sc","Bremerhaven","Germany","4.5","21265"
