"Bol Number","Arrival Date","Company Name","Supplier Name","Product Description","Port Of Entry","Shipping Port","Supplier Country","TEU","Weight"
"PUSJDUSATMN00364","21/03/2023","S Riko De Queretaro S A","Karl Dischinger Gmbh Calgary","Automotive","Charleston, Sc","Anvers","Belgium","1","2544"
"PUSJDUSATML06606","16/01/2022","S Riko De Queretaro S A","Karl Dischinger Gmbh Calgary","Automotive","New York/Newark Area, Newark, Nj","Anvers","Belgium","3","27530"
"PUSJDUSATML06606","16/01/2022","S Riko De Queretaro S A","Karl Dischinger Gmbh Calgary","Automotive","New York/Newark Area, Newark, Nj","Anvers","Belgium","3","27530"
"PUSJDUSATML06606","16/01/2022","S Riko De Queretaro S A","Karl Dischinger Gmbh Calgary","Automotive","New York/Newark Area, Newark, Nj","Anvers","Belgium","3","27530"
"PUSJDUSATML06113","14/12/2021","S Riko De Queretaro S A","Karl Dischinger Gmbh Calgary","Automotive","New York/Newark Area, Newark, Nj","Anvers","Belgium","1","3544"
"PUSJDUSATML06113","14/12/2021","S Riko De Queretaro S A","Karl Dischinger Gmbh Calgary","Automotive","New York/Newark Area, Newark, Nj","Anvers","Belgium","1","3544"
"PUSJDUSATML06069","14/12/2021","S Riko De Queretaro S A","Karl Dischinger Gmbh Calgary","Automotive","New York/Newark Area, Newark, Nj","Anvers","Belgium","1.5","14809"
"PUSJDUSATML05570","03/11/2021","S Riko De Queretaro S A","Karl Dischinger Gmbh Calgary","Automotive Partsautomotive","New York/Newark Area, Newark, Nj","Anvers","Belgium","2.5","20825"
"PUSJDUSATML05012","21/10/2021","S Riko De Queretaro S A","Karl Dischinger Gmbh Calgary","Automotive Partsautomotive Partsautomotive","Mobile, Al","Anvers","Belgium","3.5","23962"
"PUSJDUSATML04640","19/09/2021","S Riko De Queretaro S A","Karl Dischinger Gmbh Calgary","Automotive","New York/Newark Area, Newark, Nj","Anvers","Belgium","1","7719"
"PUSJDUSATML04640","19/09/2021","S Riko De Queretaro S A","Karl Dischinger Gmbh Calgary","Automotive","New York/Newark Area, Newark, Nj","Anvers","Belgium","1","7719"
"PUSJDUSATML04640","19/09/2021","S Riko De Queretaro S A","Karl Dischinger Gmbh Calgary","Automotive","New York/Newark","Anvers","Belgium","1","7719"
"PUSJDUSATML03655","05/09/2021","S Riko De Queretaro S A","Karl Dischinger Gmbh Calgary","Automotive","New York/Newark Area, Newark, Nj","Anvers","Belgium","1.5","9531"
"PUSJDUSATML03264","05/09/2021","S Riko De Queretaro S A","Karl Dischinger Gmbh Calgary","Automotive","New York/Newark Area, Newark, Nj","Anvers","Belgium","2.5","20361"
"PUSJDUSATML02654","30/07/2021","S Riko De Queretaro S A","Karl Dischinger Gmbh Calgary","Automotive","New York/Newark Area, Newark, Nj","Anvers","Belgium","1","5943"
