"Bol Number","Arrival Date","Company Name","Supplier Name","Product Description","Port Of Entry","Shipping Port","Supplier Country","TEU","Weight"
"MEDUX5046594","09/10/2022","Sumiriko Rubber Compounding France","Mexichem Resinas Vinilicas Sa De Cv","Pvc Resin Pvc Resin Big Bags Pvc Resin Pvc Resin Big Bags","Houston, Tx","Tampico","Mexico","8","101942"
"PUSJDUSATML06425","30/12/2021","S Riko De Queretaro S A","Sumiriko Rubber Compounding France","Automotive","Charleston, Sc","Le Havre","France","1","5757"
"PUSJDUSATML06425","30/12/2021","S Riko De Queretaro S A","Sumiriko Rubber Compounding France","Automotive","Charleston, Sc","Le Havre","France","1","5757"
"PUSJDUSATML05683","13/11/2021","S Riko De Queretaro S A","Sumiriko Rubber Compounding France","Automotive","Charleston, Sc","Le Havre","France","1.5","9213"
"PUSJDUSATML05265","01/11/2021","S Riko De Queretaro S A","Sumiriko Rubber Compounding France","Automotive","Charleston, Sc","Le Havre","France","1","5318"
"PUSJDUSATML04744","21/09/2021","S Riko De Queretaro S A","Sumiriko Rubber Compounding France","Automotive","Charleston, Sc","Le Havre","France","1.5","11689"
"PUSJDUSATML03120","02/09/2021","S Riko De Queretaro S A","Sumiriko Rubber Compounding France","Automotive","Charleston, Sc","Le Havre","France","1","9672"
"PUSJDUSATML03612","26/08/2021","S Riko De Queretaro S A","Sumiriko Rubber Compounding France","Automotive","Charleston, Sc","Le Havre","France","1.5","9191"
"PUSJDUSATML02658","08/08/2021","S Riko De Queretaro S A","Sumiriko Rubber Compounding France","Automotive","Charleston, Sc","Le Havre","France","1.5","8518"
"PUSJDUSATML02446","08/08/2021","S Riko De Queretaro S A","Sumiriko Rubber Compounding France","Automotive","Charleston, Sc","Le Havre","France","1.5","10506"
"PUSJDUSATML01353","18/05/2021","S Riko De Queretaro S A","Sumiriko Rubber Compounding France","Automotive","Charleston, Sc","Le Havre","France","1.5","10495"
"PUSJDUSATML01033","29/04/2021","S Riko De Queretaro S A","Sumiriko Rubber Compounding France","Automotive","Charleston, Sc","Le Havre","France","1.5","8149"
"PUSJDUSATML01033","29/04/2021","S Riko De Queretaro S A","Sumiriko Rubber Compounding France","Automotive","Charleston, Sc","Le Havre","France","1.5","8149"
"POLNDUSATML00749","10/04/2021","S Riko De Queretaro S A","Sumiriko Rubber Compounding France","Automotive","Charleston, Sc","Le Havre","France","1.5","9471"
"POLNDUSATML00905","04/04/2021","S Riko De Queretaro S A","Sumiriko Rubber Compounding France","Automotive","Charleston, Sc","Le Havre","France","1.5","10530"
"POLNDUSATML00641","17/03/2021","S Riko De Queretaro S A","Sumiriko Rubber Compounding France","Automotive","Charleston, Sc","Le Havre","France","1.5","10038"
"POLNDUSATML00159","06/03/2021","S Riko De Queretaro S A","Sumiriko Rubber Compounding France","Automotive","Charleston, Sc","Le Havre","France","1.5","7816"
"POLNDUSATMK02845","21/02/2021","S Riko De Queretaro S A","Sumiriko Rubber Compounding France","Automotive","Charleston, Sc","Le Havre","France","1.5","11000"
"POLNDUSATML00103","21/02/2021","S Riko De Queretaro S A","Sumiriko Rubber Compounding France","Automotive","Charleston, Sc","Le Havre","France","1.5","10547"
"POLNDUSATMK02776","30/12/2020","S Riko De Queretaro S A","Sumiriko Rubber Compounding France","Automotive","Charleston, Sc","Le Havre","France","1.5","10842"
"POLNDUSATMK02776","30/12/2020","S Riko De Queretaro S A","Sumiriko Rubber Compounding France","Automotive","Charleston, Sc","Le Havre","France","1.5","10842"
"POLNDUSATMK02176","15/12/2020","S Riko De Queretaro S A","Sumiriko Rubber Compounding France","Automotive","Charleston, Sc","Le Havre","France","1.5","10723"
"POLNDUSATMK01774","25/11/2020","S Riko De Queretaro S A","Sumiriko Rubber Compounding France","Automotive","Charleston, Sc","Le Havre","France","1.5","9866"
"POLNDUSATMK01774","25/11/2020","S Riko De Queretaro S A","Sumiriko Rubber Compounding France","Automotive","Charleston, Sc","Le Havre","France","1.5","9866"
"POLNDUSATMK01532","11/11/2020","S Riko De Queretaro S A","Sumiriko Rubber Compounding France","Automotive","Charleston, Sc","Le Havre","France","1.5","8650"
"POLNDUSATMK01189","27/10/2020","S Riko De Queretaro S A","Sumiriko Rubber Compounding France","Automotive","Charleston, Sc","Le Havre","France","1.5","10778"
"POLNDUSATMK00818","20/10/2020","S Riko De Queretaro S A","Sumiriko Rubber Compounding France","Automotive","Charleston, Sc","Le Havre","France","1.5","8969"
"POLNDUSATMK00818","20/10/2020","S Riko De Queretaro S A","Sumiriko Rubber Compounding France","Automotive","Charleston, Sc","Le Havre","France","1.5","8969"
"POLNDUSATMK00618","29/09/2020","S Riko De Queretaro S A","Sumiriko Rubber Compounding France","Automotive","Charleston, Sc","Le Havre","France","1.5","9133"
"POLNHAMATMK04594","28/07/2020","S Riko De Queretaro S A","Sumiriko Rubber Compounding France","Automotive","Charleston, Sc","Le Havre","France","1.5","9529"
"POLNHAMATMK04074","07/07/2020","S Riko De Queretaro S A","Sumiriko Rubber Compounding France","Automotive","Charleston, Sc","Le Havre","France","1.5","8192"
"POLNHAMATMK03484","19/06/2020","S Riko De Queretaro S A","Sumiriko Rubber Compounding France","Automotive","Charleston, Sc","Le Havre","France","1.5","9798"
"POLNHAMATMK02207","30/04/2020","S Riko De Queretaro S A","Sumiriko Rubber Compounding France","Automotive","Charleston, Sc","Le Havre","France","1.5","9487"
"POLNHAMATMK01847","08/04/2020","S Riko De Queretaro S A","Sumiriko Rubber Compounding France","Automotive","Charleston, Sc","Le Havre","France","1.5","11308"
"POLNHAMATMK01953","18/03/2020","S Riko De Queretaro S A","Sumiriko Rubber Compounding France","Automotive","Charleston, Sc","Le Havre","France","1.5","10074"
"POLNHAMATMK01498","15/03/2020","S Riko De Queretaro S A","Sumiriko Rubber Compounding France","Automotive","Charleston, Sc","Le Havre","France","1.5","10806"
"POLNHAMATMK00589","26/02/2020","S Riko De Queretaro S A","Sumiriko Rubber Compounding France","Automotive","Charleston, Sc","Le Havre","France","1.5","10661"
"POLNHAMATMJ13109","21/02/2020","S Riko De Queretaro S A","Sumiriko Rubber Compounding France","Automotive","Charleston, Sc","Le Havre","France","1.5","10860"
"POLNHAMATMJ13107","11/02/2020","S Riko De Queretaro S A","Sumiriko Rubber Compounding France","Automotive","Charleston, Sc","Le Havre","France","1.5","10577"
"POLNHAMATMJ12588","02/01/2020","S Riko De Queretaro S A","Sumiriko Rubber Compounding France","Automotive","Charleston, Sc","Le Havre","France","1.5","10938"
"POLNHAMATMJ12204","18/12/2019","S Riko De Queretaro S A","Sumiriko Rubber Compounding France","Automotive","Charleston, Sc","Le Havre","France","1.5","10802"
"POLNHAMATMJ11569","26/11/2019","S Riko De Queretaro S A","Sumiriko Rubber Compounding France","Automotive","Charleston, Sc","Le Havre","France","1.5","10498"
"POLNHAMATMJ11032","12/11/2019","S Riko De Queretaro S A","Sumiriko Rubber Compounding France","Automotive","Charleston, Sc","Le Havre","France","1.5","10755"
"POLNHAMATMJ10650","31/10/2019","S Riko De Queretaro S A","Sumiriko Rubber Compounding France","Automotive","Miami, Fl","Le Havre","France","1.5","10539"
"POLNHAMATMJ10650","29/10/2019","S Riko De Queretaro S A","Sumiriko Rubber Compounding France","Automotive","Charleston, Sc","Le Havre","France","1.5","10539"
"POLNHAMATMJ09800","08/10/2019","S Riko De Queretaro S A","Sumiriko Rubber Compounding France","Automotive","Charleston, Sc","Le Havre","France","1.5","11264"
"POLNHAMATMJ09087","24/09/2019","S Riko De Queretaro S A","Sumiriko Rubber Compounding France","Automotive","Charleston, Sc","Le Havre","France","1.5","10796"
"POLNHAMATMJ08640","20/08/2019","S Riko De Queretaro S A","Sumiriko Rubber Compounding France","Automotive","Charleston, Sc","Le Havre","France","1.5","12913"
"POLNHAMATMJ06896","02/07/2019","S Riko De Queretaro S A","Sumiriko Rubber Compounding France","Automotive","Charleston, Sc","Le Havre","France","1.5","15167"
"POLNHAMATMJ06344","20/06/2019","S Riko De Queretaro S A","Sumiriko Rubber Compounding France","Automotive","Charleston, Sc","Le Havre","France","1.5","10722"
"POLNHAMATMJ01222","30/03/2019","S Riko De Queretaro S A","Sumiriko Rubber Compounding France","Automotive","Charleston, Sc","Le Havre","France","1","10330"
"POLNHAMVERJ01016","14/03/2019","S Riko De Queretaro S A","Sumiriko Rubber Compounding France","Automotive","Charleston, Sc","Le Havre","France","1.5","13261"
"POLNHAMATMJ00991","27/02/2019","S Riko De Queretaro S A","Sumiriko Rubber Compounding France","Automotive","Charleston, Sc","Le Havre","France","1","9672"
"POLNHAMATMJ00590","19/02/2019","S Riko De Queretaro S A","Sumiriko Rubber Compounding France","Automotive","Charleston, Sc","Le Havre","France","1","10020"
"POLNHAMATMJ00529","16/02/2019","S Riko De Queretaro S A","Sumiriko Rubber Compounding France","Automotive","Charleston, Sc","Le Havre","France","1.5","14952"
"POLNHAMATMI16936","12/02/2019","S Riko De Queretaro S A","Sumiriko Rubber Compounding France","Automotive","Charleston, Sc","Le Havre","France","1","10415"
"POLNHAMATMI16936","12/02/2019","S Riko De Queretaro S A","Sumiriko Rubber Compounding France","Automotive","Charleston, Sc","Le Havre","France","1","10415"
"POLNHAMATMI15551","04/01/2019","S Riko De Queretaro S A","Sumiriko Rubber Compounding France","Automotive","Charleston, Sc","Le Havre","France","1","13448"
