"Bol Number","Arrival Date","Company Name","Supplier Name","Product Description","Port Of Entry","Shipping Port","Supplier Country","TEU","Weight"
"HCLEGAL23000128","30/03/2023","Kerr Machine Co","Voestalpine Boehler Edelstahl Gmbh","Center Pump Casing Xxxhs Term Dap Warehouse Houstontruck Reloaded","Houston, Tx","Stadersand","Germany","6","76572"
"DSVFVIE0018928","30/03/2023","Asco Aerospace Usa Llc","Voestalpine Boehler Aerospace Gmbh","Aircraft Aircraft","Houston, Tx","Stadersand","Germany","1.5","1659"
"HLCULIV230269560","30/03/2023","Flexsteel Pipeline Technologies","Voestalpine High Performance Metals Ltd","Stainless Steel Bars","Houston, Tx","Coryton","United Kingdom","2","19796"
"KWLD15230706749","30/03/2023","Mahle Behr Rio Bravo S De Rl De Cv","Voestalpine Automotive Components B","Automotive Kwld","Houston, Tx","Stadersand","Germany","1.5","1741"
"HCLEGAL23000107","30/03/2023","Kerr Machine Co","Voestalpine Boehler Edelstahl Gmbh","Center Pump Casing Xxxhs Term Dap Warehouse Houstontruck Reloaded","Houston, Tx","Stadersand","Germany","7.5","98094"
"TCQVS00209902","30/03/2023","Bwi North America Inc","Voestalpine Rotec Iberica","Spare","Houston, Tx","Stadersand","Germany","1.5","6846"
"EGET123030623","30/03/2023","Voestalpine Roll Forming Corp","Voestalpine Krems Gmbh","Steel Tubes","Norfolk, Va","Stadersand","Austria","10","101274"
"KWLD39830044788","29/03/2023","Klune Industries","Voestalpine Boehler Aerospace Gmbh","Aircraft Wing Invas Delivery Note Aircraft Wing","Los Angeles, Ca","Stadersand","Austria","1.5","1495"
"KWLD39830044897","29/03/2023","Cal Tech Precision Inc","Voestalpine Boehler Aerospace Gmbh","Aircraft Tail Incper Delivery Note Ams Kwld","Los Angeles, Ca","Stadersand","Austria","1.5","2988"
"ITGB7430912P4253","29/03/2023","Voestalpine Bohler Welding Usa Tech","Voestalpine Bohler Welding Fileur S","Welding Wire","Houston, Tx","Sines","Portugal","1.5","20360"
"OERT173718M00058","29/03/2023","Va Railway Systems Nortrak Llc","Voestalpine Vae Vkn India Private Limited","Cstg Frog","Norfolk, Va","Mundra","India","1.5","19320"
"ITGB7431302P5076","29/03/2023","Voestalpine Bohler Welding Usa Tech","Voestalpine Bohler Welding Fileur S","Welding Wire","Houston, Tx","La Spezia","Italy","3","42960"
"CHQFSHA30351360F","29/03/2023","Voestalpine Railway Systems Nortrak","Beijing Dingchitong Trade Co Ltd","Clip Pandrol","Los Angeles, Ca","Shanghai","China","1","16932"
"DMCQ23SEE0198214","29/03/2023","Rausch & Pausch Lp","Voestalpine Rotec","Precision Tubesh","Charleston, Sc","Bremerhaven","Germany","1.5","17102"
"HCLEHCL0223231","28/03/2023","Voestalpine Bohler Welding Usa Llc","Voestalpine B Hler Welding Soldas D","Spare","Houston, Tx","Sao Paulo","Brazil","1.5","609"
"IILU124198600","28/03/2023","Sfs Intec Inc","Voestalpine Wire Austria Gmbh","Cold Heading Wire Phosphore Coated","Chester, Pa","Anvers","Austria","2","19175.94"
"DSVFANR0265489","28/03/2023","Agco Corp","Voestalpine Krems Gmbh","Agricultural Tractor Agricultural Tractor","New York/Newark Area, Newark, Nj","Anvers","Belgium","1.5","10035"
"DMALLNZA15592","28/03/2023","Gkn Aerospace Monitor Inc","Voestalpine Boehler Aerospace Gmbh","Aircraft","New York/Newark Area, Newark, Nj","Genoa","Italy","1.5","202"
"MEDULZ324806","28/03/2023","Voestalpine 1601 Gillingham","Elbor Srl","Coated Mig Wire Rif Coated Mig Wire Rif","Norfolk, Va","Sines","Italy","3","37100"
"FMSWDE2355054","28/03/2023","Julius Blum Inc","Voestalpine Steel & Service Center","Hot Gip Galvanised Steel Strip Slit Passiviert","Charleston, Sc","Bremerhaven","Germany","2","18661"
"DMALLNZA15622","28/03/2023","A&M Engineering Inc","Voestalpine Boehler Aerospace Gmbh","Aircraft","New York/Newark Area, Newark, Nj","Genoa","Italy","1.5","8643"
"MOSJMUCHI2223269","28/03/2023","Va Railway Systems Nortrak Llc","Voestalpine Vae Vkn India Pvt Ltd","Cstg Frog Rbm Racor Lih Rdt Lih Rev Insert","Norfolk, Va","Mundra","India","2","19405"
"MEDULZ321497","28/03/2023","Voestalpine 1601 Gillingham","Elbor Srl","Coated Mig Wire Rif Coated Mig Wire Rif Delivery Voestalpine Bohler Welding Usa Fronius Drive Suite Portage Usa Contact Michelle Avery Voestalpine Vabwus Procurement Voestal Pine","Norfolk, Va","Sines","Italy","3","36900"
"BANQ1051207045","27/03/2023","Edro Specialty Steels Inc","Voestalpine Boehler Bleche Gmbh & Co","Said Steel Sheets Lnz Banq Contents Details Shippers Declaration","New York/Newark Area, Newark, Nj","Anvers","Belgium","1.5","2574"
"TCQVS00210324","27/03/2023","Bwi Indiana Inc","Voestalpine Rotec Iberica","Spare","Charleston, Sc","Stadersand","Germany","1.5","1878"
"MOSJMUSAV2223274","27/03/2023","Va Railway Systems Nortrak Llc","Voestalpine Vae Vkn India Pvt Ltd","Insert Rbm Mach Lih Edh Low Impact Hee","Savannah, Ga","Jawaharlal Nehru","India","1","16965"
"BANQ1051439053","27/03/2023","Voestalpine Bohler Welding Usa","Voestalpine Bohler Welding Fileur S","Welding Wire","New York/Newark Area, Newark, Nj","Livorno","Italy","2","27760"
"EMLTSOL182301917","27/03/2023","Voestalpine Automotive Body Parts Inc","Iks Industriekuhlung Schneeberg Gmb Prof Dr Konrad Zuse","Installation Tools","Charleston, Sc","Stadersand","Germany","1","515"
"BANQ1050695387","27/03/2023","Voestalpine Precision Strip Llc","Voestalpine Precision Strip Ab","Steel Steel","Norfolk, Va","Gothenburg","Sweden","4","38965"
"BANQ1051319694","27/03/2023","Edro Specialty Steels Inc","Voestalpine Boehler Edelstahl Gmbh & Co","Bundles Loose Steel Bars","New York/Newark Area, Newark, Nj","Bremerhaven","Germany","1.5","21925"
"BANQ1051262461","27/03/2023","Allied Machine & Engineering Corp","Voestalpine Boehler Bleche Gmbh & Co","Said Laser Cut Blank Lnz Banq Contents Details Shippers Declaration Loaded Saco Nyc Destination Cleveland","New York/Newark Area, Newark, Nj","Anvers","Belgium","1.5","1358"
"EGET123002523","27/03/2023","Voestalpine Roll Forming Corp","Voestalpine Krems Gmbh","Steel Tubes","Norfolk, Va","Stadersand","Austria","12","124587"
"BANQ1051238191","27/03/2023","Voestalpine Precision Strip Llc","Voestalpine Precision Strip Gmbh","Wood Bandsaw Steel","Norfolk, Va","Bremerhaven","Germany","2","19469"
"KWLD39830044997","27/03/2023","Voestalpine Bohler Welding Usa Inc","Voestalpine Boehler Welding Austria Boehler Welding","Welding Consumables","Houston, Tx","Anvers","Austria","2","18999"
"BANQ1051539904","27/03/2023","Voestalpine Bohler Welding Usa","Voestalpine Bohler Welding Fileur S","Welding Wire Diamondspark Dornspule Spool","New York/Newark Area, Newark, Nj","Livorno","Italy","1","14180"
"BANQ1051545421","26/03/2023","Simonds International","Voestalpine Boehler Edelstahl Gmbh & Co","Bundles Steel Bars","New York, Ny","Stadersand","Germany","1.5","18828"
"BANQ1051546871","26/03/2023","Swafford Transport And Warehouse I","Voestalpine Boehler Profil Gmbh","Invoices Upsblainestrategicaccts","Charleston, Sc","Stadersand","Germany","1.5","16432"
"BANQ1051643025","26/03/2023","Voestalpine Bohler Welding Usa","Voestalpine Bohler Welding Fileur S","Welding Wire","New York, Ny","Livorno","Italy","1","16250"
"BANQ1051668481","26/03/2023","Voestalpine Precision Strip Llc","Voestalpine Precision Strip Gmbh","Steel Rules Raw Strip Steel","New York, Ny","Stadersand","Germany","1.5","11816"
"BANQ1051545948","26/03/2023","Simonds International","Voestalpine Boehler Edelstahl Gmbh & Co","Bundles Steel Bars","New York, Ny","Stadersand","Germany","1.5","19349"
"BANQ1051548099","26/03/2023","Edro Specialty Steels Inc","Voestalpine Boehler Edelstahl Gmbh & Co","Bundles Steel Bars","New York, Ny","Stadersand","Germany","1.5","20236"
"BANQ1051646689","26/03/2023","Key Knife Inc","Voestalpine Boehler Profil Gmbh","Special Section Hot Rolled","Norfolk, Va","Stadersand","Germany","1.5","18842"
"RLUSS03940584","25/03/2023","Thyssenkrupp Presta North America","Voestalpine Rotec Gmbh & Co","Automotive","New York/Newark Area, Newark, Nj","Stadersand","Germany","1.5","3856"
"ONEYHAMD10643A01","25/03/2023","Voestalpine High Performance Metals","Voestalpine Bohler Edelstahl Gmbh &","Steel Bars","New York/Newark Area, Newark, Nj","Stadersand","Germany","4","47864"
