"Bol Number","Arrival Date","Company Name","Supplier Name","Product Description","Port Of Entry","Shipping Port","Supplier Country","TEU","Weight"
"MAEU223415129","23/03/2023","Bridgestone Hosepower Llc","Bridgestone Industrial Products Thailand Co Ltd","Bridgestone Draulic Hose","Jacksonville, Fl","Pusan","Thailand","1","6479.22"
"MAEU292048335","22/03/2023","Bridgestone Industrial Products America Inc","Shenyang Bridgestone Co Ltd","Rubber Track Bridgestoneindustria Valexander Consignee Attn Tany King Tking Bridgestoneindustrial","Seattle, Wa","Ningpo","China","1.5","16730.13"
"MAEU292048337","22/03/2023","Bridgestone Industrial Products America Inc","Shenyang Bridgestone Co Ltd","Rubber Track Bridgestoneindustria Valexander Consignee Attn Tany King Tking Bridgestoneindustrial","Seattle, Wa","Ningpo","China","2","19740.22"
"MEDUDI463370","22/03/2023","Bridgestone Industrial Products Ame","Shenyang Bridgestone Co Ltd","Rubber Track","Seattle, Wa","Pusan","China","8","73670"
"SNJCTH23020050","20/03/2023","Ti Group","Bridgestone Industrial Products","Air Conditioning Hose","Houston, Tx","Yantian","Thailand","1","3651"
"MEDUDI459659","18/03/2023","Bridgestone Industrial Products Ame","Shenyang Bridgestone Co Ltd","Rubber Track","Seattle, Wa","Pusan","China","6","54990"
"MEDUDI459667","18/03/2023","Bridgestone Industrial Products Ame","Shenyang Bridgestone Co Ltd","Rubber Track","Seattle, Wa","Pusan","China","4","36120"
"MAEU291814052","15/03/2023","Bridgestone Industrial Products America Inc","Shenyang Bridgestone Co Ltd","Rubber Track Bridgestoneindustria Valexander Consignee Attn Tany King Tking Bridgestoneindustrial","Seattle, Wa","Ningpo","China","2","18979.98"
"MAEU291814054","15/03/2023","Bridgestone Industrial Products America Inc","Shenyang Bridgestone Co Ltd","Rubber Track Bridgestoneindustria Valexander Consignee Attn Tany King Tking Bridgestoneindustrial","Seattle, Wa","Ningpo","China","2","18979.98"
"MAEU291814003","15/03/2023","Bridgestone Industrial Products America Inc","Shenyang Bridgestone Co Ltd","Rubber Track Bridgestoneindustria Valexander Consignee Attn Tany King Tking Bridgestoneindustrial","Seattle, Wa","Ningpo","China","2","18450.18"
"MAEU291814049","15/03/2023","Bridgestone Industrial Products America Inc","Shenyang Bridgestone Co Ltd","Rubber Track Bridgestoneindustria Valexander Consignee Attn Tany King Tking Bridgestoneindustrial","Seattle, Wa","Ningpo","China","2","18450.18"
"MAEU291814051","15/03/2023","Bridgestone Industrial Products America Inc","Shenyang Bridgestone Co Ltd","Rubber Track Bridgestoneindustria Valexander Consignee Attn Tany King Tking Bridgestoneindustrial","Seattle, Wa","Ningpo","China","2","18979.98"
"MAEU291814001","15/03/2023","Bridgestone Industrial Products America Inc","Shenyang Bridgestone Co Ltd","Rubber Track Bridgestoneindustria Valexander Consignee Attn Tany King Tking Bridgestoneindustrial","Seattle, Wa","Ningpo","China","2","19740.22"
"ONEYDL1CF0203800","13/03/2023","Bridgestone Industrial Products America Inc","Shenyang Bridgestone Co Ltd","Rubber Track","Tacoma, Wa","Pusan","China","4","36900"
"ONEYDL1CF0204900","13/03/2023","Bridgestone Industrial Products America Inc","Shenyang Bridgestone Co Ltd","Rubber Track","Tacoma, Wa","Pusan","China","1.5","14550"
"ONEYDL1CF0202700","13/03/2023","Bridgestone Industrial Products America Inc","Shenyang Bridgestone Co Ltd","Rubber Track","Tacoma, Wa","Pusan","China","4","36810"
"ONEYDL1CF0201600","13/03/2023","Bridgestone Industrial Products America Inc","Shenyang Bridgestone Co Ltd","Rubber Track","Tacoma, Wa","Pusan","China","2","19740"
"KKLUTH0918578","06/03/2023","Bridgestone Industrial Products Ame","Bridgestone Ncr Co Ltd","Steel Cord Conveyor Belt Din Steel Cord Conveyor Belt Din Bridgestoneindustrial Valexander Complete Complete","Long Beach, Ca","Lazaro Cardenas","Thailand","0","193142"
"EGLV144200236724","06/03/2023","Bridgestone Industrial Products America Inc","Shenyang Bridgestone Co Ltd","Rubber Track Rubber Track Rubber Track Bridgestoneindustrial Valexander","Tacoma, Wa","Qingdao","China","4","35340"
"EGLV144300000048","06/03/2023","Bridgestone Industrial Products America Inc","Shenyang Bridgestone Co Ltd","Rubber Track Rubber Track Rubber Track Bridgestoneindustrial Valexander","Tacoma, Wa","Qingdao","China","4","37960"
"EGLV144200237607","06/03/2023","Bridgestone Industrial Products America Inc","Shenyang Bridgestone Co Ltd","Rubber Track Rubber Track Bridgestoneindustrial Valexander Rubber Track","Tacoma, Wa","Qingdao","China","4","37960"
"EGLV144300007999","06/03/2023","Bridgestone Industrial Products America Inc","Shenyang Bridgestone Co Ltd","Rubber Track Rubber Track Rubber Track Bridgestoneindustrial Valexander","Tacoma, Wa","Qingdao","China","4","35450"
"EGLV144200236732","06/03/2023","Bridgestone Industrial Products America Inc","Shenyang Bridgestone Co Ltd","Rubber Track Rubber Track Rubber Track Bridgestoneindustrial Valexander","Tacoma, Wa","Qingdao","China","4","36900"
"MAEU291813932","03/03/2023","Bridgestone Industrial Products America Inc","Shenyang Bridgestone Co Ltd","Rubber Track Bridgestoneindustria Valexander Consignee Attn Tany King Tking Bridgestoneindustrial","Seattle, Wa","Ningpo","China","2","18979.98"
"MAEU291813931","03/03/2023","Bridgestone Industrial Products America Inc","Shenyang Bridgestone Co Ltd","Rubber Track Bridgestoneindustria Valexander Consignee Attn Tany King Tking Bridgestoneindustrial","Seattle, Wa","Ningpo","China","2","18450.18"
"MAEU291813800","27/02/2023","Bridgestone Industrial Products America Inc","Shenyang Bridgestone Co Ltd","Rubber Track Bridgestoneindustria Valexander Consignee Attn Tany King Tking Bridgestoneindustrial","Seattle, Wa","Ningpo","China","2","18720.07"
"ONEYDL1CF0199800","24/02/2023","Bridgestone Industrial Products America Inc","Shenyang Bridgestone Co Ltd","Rubber Track","Tacoma, Wa","Pusan","China","4","37960"
"ONEYDL1CF0200500","24/02/2023","Bridgestone Industrial Products America Inc","Shenyang Bridgestone Co Ltd","Rubber Track","Tacoma, Wa","Pusan","China","1.5","16240"
