"Bol Number","Arrival Date","Company Name","Supplier Name","Product Description","Port Of Entry","Shipping Port","Supplier Country","TEU","Weight"
"DSVFBE70002251","28/03/2023","Ti Group","Christian Dunkel Gmbh","Safety Light Curtains Hand Button Extensionntable Right Tubes Diameter","Houston, Tx","Bremerhaven","Germany","2.5","2800"
"DSVFB7E0000434","26/05/2021","Mcallen 1","Christian Dunkel Gmbh","Auto Completion Motor Vehicles Original","Houston, Tx","Stadersand","Germany","1.5","896"
"DSVFB7E0000434","26/05/2021","Mcallen 1","Christian Dunkel Gmbh","Auto Completion Motor Vehicles Original","Houston, Tx","Stadersand","Germany","1.5","896"
"DSVFB7E0000434","26/05/2021","Mcallen 1","Christian Dunkel Gmbh","Auto Completion Motor Vehicles Original","Houston, Tx","Stadersand","Germany","1.5","896"
"DSVFB7E0000435","26/05/2021","Mcallen 6C4","Christian Dunkel Gmbh","Auto Completion Motor Vehicles Original","Houston, Tx","Stadersand","Germany","1.5","890"
"DSVFB7E0000435","26/05/2021","Mcallen 6C4","Christian Dunkel Gmbh","Auto Completion Motor Vehicles Original","Houston, Tx","Stadersand","Germany","1.5","890"
"DSVFB7E0000435","26/05/2021","Mcallen 6C4","Christian Dunkel Gmbh","Auto Completion Motor Vehicles Original","Houston, Tx","Stadersand","Germany","1.5","890"
"DSVFSA70006241","08/04/2021","Mcallen 6C4","Christian Dunkel Gmbh","Auto Completion Motor Vehicles Original","Houston, Tx","Stadersand","Germany","1.5","1329"
"DSVFSA70005889","27/03/2021","Mcallen 1","Christian Dunkel Gmbh","Auto Completion Motor Vehicles Original","Houston, Tx","Stadersand","Germany","1.5","1660"
"DSVFSA70004900","11/02/2021","Mcallen 624","Christian Dunkel Gmbh","Auto Completion Motor Vehicles Original","Houston, Tx","Stadersand","Germany","1.5","780"
"DSVF1759030001","25/03/2019","Ti Group","Christian Dunkel Gmbh","Automotive","Charleston, Sc","Stadersand","Germany","1","510"
"DSVF1759030001","25/03/2019","Ti Group","Christian Dunkel Gmbh","Automotive","Charleston, Sc","Stadersand","Germany","1","510"
