"Bol Number","Arrival Date","Company Name","Supplier Name","Product Description","Port Of Entry","Shipping Port","Supplier Country","TEU","Weight"
"DSVF0203021771","30/03/2023","Gm Detroit Odc","Lisi Automotive Mecano Gmbh","Automotive","New York/Newark Area, Newark, Nj","Bremerhaven","Germany","1.5","121"
"EXDO6560080715","30/03/2023","Shamrock International Fastener Llc","Lisi Automotive Kkp Gmbh & Co","Viz Fasteners","New York/Newark Area, Newark, Nj","Stadersand","Germany","1.5","201"
"BWLEPRG306387781","28/03/2023","Zf Active Safety Us Inc","Lisi Automotive Form A S","Pin Guidehs","Charleston, Sc","Bremerhaven","Germany","1.5","2546"
"CHSL428352160ECS","28/03/2023","As Bosch Florence Ky","Lisi Automotive","Stc Automotive Hbl Ecs","Charleston, Sc","Bremerhaven","Germany","1.5","405"
"DSVF1753030044","27/03/2023","Ti Group","Lisi Automotive","Automotive Automotive","Charleston, Sc","Stadersand","Germany","1.5","1005"
"DSVF1753020084","27/03/2023","Ti Group","Lisi Automotive","Automotive","Charleston, Sc","Stadersand","Germany","1.5","347"
"UEUR6962464630","27/03/2023","Supply Technologies","Lisi Automotive Rapid Sas","Fasteners","New York/Newark Area, Newark, Nj","Le Havre","France","1.5","834"
"UEUR6962464685","27/03/2023","Supply Technologies","Lisi Automotive Rapid Sas","Fasteners Metal","New York/Newark Area, Newark, Nj","Le Havre","France","1.5","1027"
"CHSL427720476ECS","27/03/2023","As Bosch Florence Ky","Lisi Automotive","Stc Automotive Hbl Ecs","Charleston, Sc","Bremerhaven","Germany","1.5","121"
"DSVFSXB0157694","24/03/2023","Lisi Automotive Former Jit Servic","Lisi Automotive Former","Automotive","Savannah, Ga","Anvers","Belgium","1","2513"
"EGLV540300021366","24/03/2023","Lisi Automotive Monterrey S A","Lisi Automotive Former","Automotive Spare Automotive Spare Commercial Mail Doris Brun Dsv Mail Sha Importsea Dsv Mail Sha Importsea Dsv","Charleston, Sc","Anvers","Belgium","2","21301"
"EGLV540300014866","21/03/2023","Lisi Automotive Monterrey S A","Lisi Automotive Former","Automotive Spare Automotive Spare Commercial Mail Doris Brun Dsv Mail Sha Importsea Dsv","Charleston, Sc","Anvers","Belgium","2","21030"
"EGLV540300014947","21/03/2023","Dsv Air & Sea S A De C V","Lisi Automotive Nomel Sas Batiment Guynemer 2Eme Etage","Automotive Spare Automotive Spare Invoices Tva Mail Doris Brun Dsv Consignee Rfc Daa Mail Sha Importsea Dsv","Charleston, Sc","Anvers","Belgium","2","18260"
"CHSLMADME2300394","21/03/2023","Total Network Manufacturing","Lisi Automotive Knipping Espana Sau","Screws","New York/Newark Area, Newark, Nj","Barcelona","Spain","1","840"
"SSLLCHS239397","20/03/2023","Arkal Usa","Lisi Automotive Mecano Dischinger","Pallet Slac Chimney Nut Scac Ssll Ams Chs","Charleston, Sc","Stadersand","Germany","1.5","500"
