"Bol Number","Arrival Date","Company Name","Supplier Name","Product Description","Port Of Entry","Shipping Port","Supplier Country","TEU","Weight"
"NEDFNGOBVZ48524","28/03/2023","Ti Group","Nippon Stud Welding Co Ltd","Ace","Tacoma, Wa","Tokyo","Japan","1","520"
"NEDFNGOBVE72555","27/02/2023","Ti Group","Nippon Stud Welding Co Ltd","Ace","Tacoma, Wa","Tokyo","Japan","1","553"
"NEDFNGOBSN19780","17/01/2023","Ti Group","Nippon Stud Welding Co Ltd","Ace","Tacoma, Wa","Tokyo","Japan","1.5","99"
"KLLMJP1114069","13/01/2023","Curtis Maruyasu America Inc","Nippon Stud Welding Co Ltd","Fastening System Automotive Application","Los Angeles, Ca","Nagoya Ko","Japan","1","794"
"NEDFNGOBSH44825","01/01/2023","Ti Group","Nippon Stud Welding Co Ltd","Ace","Tacoma, Wa","Tokyo","Japan","1.5","650"
"NEDFNGOBRK21000","09/12/2022","Ti Group","Nippon Stud Welding Co Ltd","Ace","Tacoma, Wa","Tokyo","Japan","1.5","672"
"KLLMJP1098910","09/11/2022","Curtis Maruyasu America Inc","Nippon Stud Welding Co Ltd","Fastening System Automotive Application","Los Angeles, Ca","Nagoya Ko","Japan","1","1438"
"NEDFNGOBPJ76076","05/11/2022","Ti Group","Nippon Stud Welding Co Ltd","Ace","Tacoma, Wa","Tokyo","Japan","1.5","604"
"NEDFNGOBPJ75811","30/10/2022","Ti Group","Nippon Stud Welding Co Ltd","Ace","Tacoma, Wa","Tokyo","Japan","1","160"
"NEDFNGOBPJ75811","30/10/2022","Ti Group","Nippon Stud Welding Co Ltd","Ace","Tacoma, Wa","Tokyo","Japan","1","160"
"KLLMJP1098244","25/10/2022","Curtis Maruyasu America Inc","Nippon Stud Welding Co Ltd","Fastening System Automotive Application","Los Angeles, Ca","Nagoya Ko","Japan","1","464"
"KLLMJP1098244","25/10/2022","Curtis Maruyasu America Inc","Nippon Stud Welding Co Ltd","Fastening System Automotive Application","Los Angeles, Ca","Nagoya Ko","Japan","1","464"
"KLLMJP1095747","20/09/2022","Curtis Maruyasu America Inc","Nippon Stud Welding Co Ltd","Fastening System Automotive Application","Los Angeles, Ca","Nagoya Ko","Japan","1","1258"
"KLLMJP1095747","20/09/2022","Curtis Maruyasu America Inc","Nippon Stud Welding Co Ltd","Fastening System Automotive Application","Los Angeles, Ca","Nagoya Ko","Japan","1","1258"
"NEDFNGOBMM23166","01/09/2022","Ti Group","Nippon Stud Welding Co Ltd","Ace","Tacoma, Wa","Tokyo","Japan","1","1109"
"KLLMJP1095801","31/08/2022","Curtis Maruyasu America Inc","Nippon Stud Welding Co Ltd","Fastening System Automotive Application","Los Angeles, Ca","Nagoya Ko","Japan","1.5","933"
"KLLMJP1095155","09/08/2022","Curtis Maruyasu America Inc","Nippon Stud Welding Co Ltd","Fastening System Automotive Application","Los Angeles, Ca","Nagoya Ko","Japan","1","1096"
"NEDFNGOBLY74795","01/08/2022","Ti Group","Nippon Stud Welding Co Ltd","Ace","Tacoma, Wa","Tokyo","Japan","1","1324"
"KLLMJP1094776","29/07/2022","Curtis Maruyasu America Inc","Nippon Stud Welding Co Ltd","Fastening System Automotive Application","Los Angeles, Ca","Nagoya Ko","Japan","1","614"
"KLLMJP1094776","29/07/2022","Curtis Maruyasu America Inc","Nippon Stud Welding Co Ltd","Fastening System Automotive Application","Los Angeles, Ca","Nagoya Ko","Japan","1","614"
"KLLMJP1095155","29/07/2022","Curtis Maruyasu America Inc","Nippon Stud Welding Co Ltd","Fastening System Automotive Application","Los Angeles, Ca","Nagoya Ko","Japan","1","1096"
"NEDFNGOBLD31663","12/07/2022","Ti Group","Nippon Stud Welding Co Ltd","Ace","Tacoma, Wa","Tokyo","Japan","1","1312"
"NEDFNGOBKF56501","13/06/2022","Ti Group","Nippon Stud Welding Co Ltd","Fittings Furniture Coachwork Plastic","Tacoma, Wa","Tokyo","Japan","1.5","700"
"NEDFNGOBKF56501","13/06/2022","Ti Group","Nippon Stud Welding Co Ltd","Fittings Furniture Coachwork Plastic","Tacoma, Wa","Tokyo","Japan","1.5","700"
"NEDFNGOBJW72573","30/05/2022","Ti Group","Nippon Stud Welding Co Ltd","Fittings Furniture Coachwork Plastics","Tacoma, Wa","Tokyo","Japan","1","798"
"NEDFNGOBJW72573","30/05/2022","Ti Group","Nippon Stud Welding Co Ltd","Fittings Furniture Coachwork Plastics","Tacoma, Wa","Tokyo","Japan","1","798"
"KLLMJP1091609","18/05/2022","Curtis Maruyasu America Inc","Nippon Stud Welding Co Ltd","Fastening System Automotive Application","Los Angeles, Ca","Nagoya Ko","Japan","1.5","1411"
"KLLMJP1090423","27/04/2022","Curtis Maruyasu America Inc","Nippon Stud Welding Co Ltd","Fastening System Automotive Application","Los Angeles, Ca","Nagoya Ko","Japan","1.5","1191"
"NEDFNGOBGH10110","17/04/2022","Ti Group","Nippon Stud Welding Co Ltd","Fittings Furniture Coachwork Plastic","Tacoma, Wa","Tokyo","Japan","1.5","646"
"NEDFNGOBGH10110","17/04/2022","Ti Group","Nippon Stud Welding Co Ltd","Fittings Furniture Coachwork Plastic","Tacoma, Wa","Tokyo","Japan","1.5","646"
"NEDFNGOBFG09880","23/03/2022","Ti Group","Nippon Stud Welding Co Ltd","Fittings Furniture Coachwork Plastics","Tacoma, Wa","Tokyo","Japan","1.5","352"
"NEDFNGOBFG09880","23/03/2022","Ti Group","Nippon Stud Welding Co Ltd","Fittings Furniture Coachwork Plastics","Tacoma, Wa","Tokyo","Japan","1.5","352"
