"Bol Number","Arrival Date","Company Name","Supplier Name","Product Description","Port Of Entry","Shipping Port","Supplier Country","TEU","Weight"
"CHSL428476695ECS","28/03/2023","Ae Bosch Anderson","Paul Bippus Gmbh Co","Stc Automotive Hbl Ecs","Charleston, Sc","Bremerhaven","Germany","1.5","5024"
"DSVF1753030052","27/03/2023","Ti Group","Paul Bippus Gmbh & Co","Automotive","Charleston, Sc","Stadersand","Germany","1.5","245"
"DSVF1753030041","27/03/2023","Ti Group","Paul Bippus Gmbh & Co","Automotive","Charleston, Sc","Stadersand","Germany","1.5","213"
"SSLLATL219674","24/03/2023","Mando Corp","Paul Bippus Gmbh & Co","Bleed Screw Scac Ssll Ams Atl","Savannah, Ga","Stadersand","Germany","1.5","678"
"CHSL427916371ECS","24/03/2023","Ae Bosch Anderson","Paul Bippus Gmbh Co","Stc Automotive Hbl Ecs","Charleston, Sc","Bremerhaven","Germany","1.5","7106"
"CHSL427009845ECS","21/03/2023","Ae Bosch Anderson","Paul Bippus Gmbh Co","Stc Automotive Hbl Ecs","Charleston, Sc","Bremerhaven","Germany","1","3807"
"SSLLATL219622","17/03/2023","Mando Corp","Paul Bippus Gmbh & Co","Bleed Screw Scac Ssll Ams Atl","Savannah, Ga","Stadersand","Germany","1.5","626"
"CHSL426137406ECS","16/03/2023","Ae Bosch C O Pedraza Customhouse El","Paul Bippus Gmbh Co","Stc Automotive Hbl Ecs","Houston, Tx","Stadersand","Germany","1","1770"
"CHSL426580470ECS","16/03/2023","Ae Bosch C O Pedraza Customhouse El","Paul Bippus Gmbh Co","Stc Automotive Hbl Ecs","Houston, Tx","Stadersand","Germany","1","3186"
"DSVF1753020069","14/03/2023","Ti Group","Paul Bippus Gmbh & Co","Automotive","Charleston, Sc","Stadersand","Germany","1.5","242"
"DSVF1753020088","14/03/2023","Ti Group","Paul Bippus Gmbh & Co","Automotive","Charleston, Sc","Stadersand","Germany","1","337"
"DSVF1753020089","14/03/2023","Ti Group","Paul Bippus Gmbh & Co","Automotive","Charleston, Sc","Stadersand","Germany","1","311"
"SSLLATL219588","10/03/2023","Mando Corp","Paul Bippus Gmbh & Co","Bleed Screw Scac Ssll Ams Atll","Savannah, Ga","Stadersand","Germany","1.5","791"
"CHSL426162605ECS","09/03/2023","Ae Bosch Anderson","Paul Bippus Gmbh Co","Stc Automotive Hbl Ecs","Charleston, Sc","Bremerhaven","Germany","1.5","4655"
"CHSL423761702ECS","08/03/2023","Ae Bosch C O Pedraza Customhouse El","Paul Bippus Gmbh Co","Stc Automotive Hbl Ecs","Houston, Tx","Stadersand","Germany","1","1062"
"CHSL425430610ECS","08/03/2023","Ae Bosch C O Pedraza Customhouse El","Paul Bippus Gmbh Co","Stc Automotive Hbl","Houston, Tx","Stadersand","Germany","1","3159"
"DSVF1753020056","07/03/2023","Ti Group","Paul Bippus Gmbh & Co","Automotive","Charleston, Sc","Stadersand","Germany","1","348"
"SSLLATL219548","03/03/2023","Mando Corp","Paul Bippus Gmbh & Co","Bleed Screw Scacssll Ams Refatl","Savannah, Ga","Stadersand","Germany","1.5","860"
"CHSL425571837ECS","27/02/2023","Ae Bosch Anderson","Paul Bippus Gmbh Co","Stc Automotive Hbl Ecs","Charleston, Sc","Bremerhaven","Germany","1.5","4187"
"CHSL425571837ECS","27/02/2023","Ae Bosch Anderson","Paul Bippus Gmbh Co","Stc Automotive Hbl Ecs","Charleston, Sc","Bremerhaven","Germany","1.5","4187"
"SSLLATL219508","24/02/2023","Mando Corp","Paul Bippus Gmbh & Co","Bleed Screw Scac Ssll Aci Atl","Savannah, Ga","Stadersand","Germany","1.5","860"
"GOLA276946282224","24/02/2023","Paul Bippus Precision Llc","Paul Bippus Gmbh & Co","Machine","Charleston, Sc","Bremerhaven","Germany","2.02","26732"
"FTHH340230050801","24/02/2023","Hitachiastemo Americas Inc","Paul Bippus Gmbh Co","Retainer Holder","New York/Newark Area, Newark, Nj","Stadersand","Germany","1","680"
"GOLA276946282224","24/02/2023","Paul Bippus Precision Llc","Paul Bippus Gmbh & Co","Machine","Charleston, Sc","Bremerhaven","Germany","2.02","26732"
"SSLLATL219508","24/02/2023","Mando Corp","Paul Bippus Gmbh & Co","Bleed Screw Scac Ssll Aci Atl","Savannah, Ga","Stadersand","Germany","1.5","860"
"CHSL423212304ECS","22/02/2023","Ae Bosch C O Pedraza Customhouse El","Paul Bippus Gmbh Co","Stc Automotive Hbl Ecs","Houston, Tx","Stadersand","Germany","1","2124"
"DSVF1753010086","20/02/2023","Ti Group","Paul Bippus Gmbh & Co","Automotive","Charleston, Sc","Stadersand","Germany","1","390"
"DSVF1753010086","20/02/2023","Ti Group","Paul Bippus Gmbh & Co","Automotive","Charleston, Sc","Stadersand","Germany","1","390"
"SSLLNYC278114","17/02/2023","Hitachi Astemo Americas Inc","Paul Bippus Gmbh & Co","Loaded Slac Retainer Holder Scacssll Ams Nyc","New York/Newark Area, Newark, Nj","Stadersand","Germany","1.5","97"
"SSLLATL219440","17/02/2023","Mando Corp","Paul Bippus Gmbh & Co","Bleed Screw Scac Ssll Ams Atl","Savannah, Ga","Stadersand","Germany","1.5","1648"
"DSVF1753010070","15/02/2023","Ti Group","Paul Bippus Gmbh & Co","Automotive Automotive","Charleston, Sc","Stadersand","Germany","1.5","427"
"DSVF1753010070","15/02/2023","Ti Group","Paul Bippus Gmbh & Co","Automotive Automotive","Charleston, Sc","Stadersand","Germany","1.5","427"
"CHSL423878912ECS","14/02/2023","Ae Bosch Anderson","Paul Bippus Gmbh Co","Stc Automotive Hbl Ecs","Charleston, Sc","Bremerhaven","Germany","1.5","2750"
"CHSL423179738ECS","11/02/2023","Ae Bosch Anderson","Paul Bippus Gmbh Co","Stc Automotive Hbl Ecs","Charleston, Sc","Bremerhaven","Germany","1","2056"
"CHSL424844892ECS","08/02/2023","Ae Bosch Anderson","Paul Bippus Gmbh Co","Stc Automotive Hbl Ecs","Charleston, Sc","Bremerhaven","Germany","1.5","3380"
