"Bol Number","Arrival Date","Company Name","Supplier Name","Product Description","Port Of Entry","Shipping Port","Supplier Country","TEU","Weight"
"DSVF1753030050","27/03/2023","Ti Group","Poppe Gmbh","Automotive","Charleston, Sc","Stadersand","Germany","1.5","151"
"DSVFB7E0010307","16/03/2023","Mcallen 684","Poppe Gmbh","Automotive","Houston, Tx","Stadersand","Germany","1.5","1137"
"DSVFB7E0010308","16/03/2023","Mcallen 684","Poppe Gmbh","Automotive","Houston, Tx","Stadersand","Germany","1.5","1853"
"DSVFB7E0010306","16/03/2023","Mcallen 684","Poppe Gmbh","Automotive","Houston, Tx","Stadersand","Germany","1.5","926"
"TCQVS00209230","08/03/2023","Hanon Coclisa Sa De Cv","Poppe Gmbh","Spare","Houston, Tx","Stadersand","Germany","1.5","800"
"DSVFB7E0009987","07/03/2023","Mcallen 684","Poppe Gmbh","Automotive","Houston, Tx","Stadersand","Germany","1.5","926"
"DSVFB7E0009536","28/01/2023","Mcallen 624","Poppe Gmbh","Automotive","Houston, Tx","Stadersand","Germany","1.5","421"
"DSVFB7E0009536","28/01/2023","Mcallen 624","Poppe Gmbh","Automotive","Houston, Tx","Stadersand","Germany","1.5","421"
"TCQVS00205449","16/01/2023","Hanon San Lorenzo Ii Qad 176E/21B3","Poppe Gmbh","Automotive","Houston, Tx","Stadersand","Germany","1.5","719"
"DSVFB7E0009469","16/01/2023","Mcallen 624","Poppe Gmbh","Automotive","Houston, Tx","Stadersand","Germany","1.5","1348"
"TCQVS00205674","10/01/2023","Hanon Coclisa Sa De Cv","Poppe Gmbh","Spare","Houston, Tx","Stadersand","Germany","1.5","143"
"TCQVS00204445","06/01/2023","Kuester Systems Mexico S De Rl De C Boulevard Fusion","Poppe Gmbh","Spare","Houston, Tx","Stadersand","Germany","1.5","28"
"DSVFB7E0009082","30/12/2022","Mcallen 684","Poppe Gmbh","Automotive","Houston, Tx","Stadersand","Germany","1.5","211"
"DSVFB7E0009082","30/12/2022","Mcallen 684","Poppe Gmbh","Automotive","Houston, Tx","Stadersand","Germany","1.5","211"
"DSVFB7E0009082","30/12/2022","Mcallen 684","Poppe Gmbh","Automotive","Houston, Tx","Stadersand","Germany","1.5","211"
"DSVFB7E0009050","21/12/2022","Mcallen 684","Poppe Gmbh","Automotive","Houston, Tx","Stadersand","Germany","1.5","421"
"CHSL417023446HAM","20/12/2022","Hutchinson Trans De Fluidos Mx Sa D","Poppe Gmbh","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Germany","1.5","192"
"TCQVS00202632","11/12/2022","Hanon San Lorenzo Ii Qad 176E/21B3","Poppe Gmbh","Spare","Houston, Tx","Stadersand","Germany","1.5","276"
"DSVFB7E0008906","11/12/2022","Mcallen 684","Poppe Gmbh","Automotive","Houston, Tx","Stadersand","Germany","1.5","1137"
"DSVFB7E0008331","03/11/2022","Mcallen 684","Poppe Gmbh","Automotive","Houston, Tx","Stadersand","Germany","1.5","926"
"DSVFB7E0008331","03/11/2022","Mcallen 684","Poppe Gmbh","Automotive","Houston, Tx","Stadersand","Germany","1.5","926"
"DSVFB7E0008194","23/10/2022","Mcallen 684","Poppe Gmbh","Automotive","Houston, Tx","Stadersand","Germany","1.5","926"
"CHSL410069183HAM","18/10/2022","Hutchinson Trans De Fluidos Mx Sa D","Poppe Gmbh","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Germany","1.5","135"
"CHSL410069183HAM","18/10/2022","Hutchinson Trans De Fluidos Mx Sa D","Poppe Gmbh","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Germany","1.5","135"
"CHSL406117971HAM","17/10/2022","Hutchinson Trans De Fluidos Mx Sa D","Poppe Gmbh","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Germany","1.5","692"
"DSVFB7E0008084","05/10/2022","Mcallen 684","Poppe Gmbh","Automotive","Houston, Tx","Stadersand","Germany","1.5","2274"
"DSVFB7E0008084","05/10/2022","Mcallen 684","Poppe Gmbh","Automotive","Houston, Tx","Stadersand","Germany","1.5","2274"
"DSVF1752090019","28/09/2022","Ti Group","Poppe Gmbh","Automotive","Charleston, Sc","Stadersand","Germany","1","156"
"DSVF1752090019","28/09/2022","Ti Group","Poppe Gmbh","Automotive","Charleston, Sc","Stadersand","Germany","1","156"
"DSVF1752090019","28/09/2022","Ti Group","Poppe Gmbh","Automotive","Charleston, Sc","Stadersand","Germany","1","156"
"DSVF1632080355","13/09/2022","Servicios Aduanales Luis Hoyo","Poppe Gmbh","Automotive","Charleston, Sc","Bremerhaven","Germany","1.5","110"
"CHSL407130101HAM","10/09/2022","Hutchinson Trans De Fluidos Mx Sa D","Poppe Gmbh","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Germany","1.5","134"
"CHSL407130101HAM","10/09/2022","Hutchinson Trans De Fluidos Mx Sa D","Poppe Gmbh","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Germany","1.5","134"
"DSVFB7E0008740","30/08/2022","Mcallen 684","Poppe Gmbh","Automotive","Houston, Tx","Stadersand","Germany","1.5","211"
"DSVFB7E0007473","30/08/2022","Mcallen 684","Poppe Gmbh","Automotive","Houston, Tx","Stadersand","Germany","1.5","1348"
"DSVFB7E0007473","30/08/2022","Mcallen 684","Poppe Gmbh","Automotive","Houston, Tx","Stadersand","Germany","1.5","1348"
"DSVFB7E0007473","30/08/2022","Mcallen 684","Poppe Gmbh","Automotive","Houston, Tx","Stadersand","Germany","1.5","1348"
"DSVFB7E0007264","21/08/2022","Mcallen 684","Poppe Gmbh","Automotive Partscomponent Equipment Completionof Motor Vehicles","Houston, Tx","Stadersand","Germany","1.5","211"
"DSVFB7E0007262","21/08/2022","Mcallen 684","Poppe Gmbh","Automotive Partscomponent Equipment Completionof Motor Vehicles","Houston, Tx","Stadersand","Germany","1.5","268"
