"Bol Number","Arrival Date","Company Name","Supplier Name","Product Description","Port Of Entry","Shipping Port","Supplier Country","TEU","Weight"
"OOLU271422466107","25/03/2023","Bmw Werk","Toluca Planta De Blindados S A","Back Door","New Orleans, La","Veracruz","Mexico","1.5","112"
"OOLU271175635023","13/01/2023","Bmw Werk","Toluca Planta De Blindados S A","Back Door","New Orleans, La","Veracruz","Mexico","1.5","114"
"OOLU270298050018","20/08/2022","Bmw Ag Hans Glas Strbe","Toluca Planta De Blindados S A","Back Door","Houston, Tx","Veracruz","Mexico","1.5","103"
"OOLU270100578009","21/07/2022","Bmw Ag Hans Glas Strbe","Toluca Planta De Blindados S A","Back Door","Houston, Tx","Veracruz","Mexico","1.5","114"
"OOLU268570704013","05/01/2022","Bmw Ag","Toluca Planta De Blindados S A","Back Door","Houston, Tx","Veracruz","Mexico","1.5","112"
"OOLU267707091001","06/09/2021","Bmw Werk","Toluca Planta De Blindados S A","Back Door","Houston, Tx","Veracruz","Mexico","1.5","110"
"OOLU265660163006","01/01/2021","Bmw Werk","Toluca Planta De Blindados S A","Back Door","Houston, Tx","Veracruz","Mexico","1.5","111"
"OOLU265514740007","19/12/2020","Bmw Werk","Toluca Planta De Blindados S A","Back Door","Houston, Tx","Veracruz","Mexico","1.5","110"
"OOLU265362880003","06/12/2020","Bmw Werk","Toluca Planta De Blindados S A","Back Door","Houston, Tx","Veracruz","Mexico","1.5","122"
"OOLU265246207001","24/11/2020","Bmw Werk","Toluca Planta De Blindados S A","Back Door","Houston, Tx","Veracruz","Mexico","1.5","122"
"OOLU262842455012","11/10/2019","Bmw Werk","Toluca Planta De Blindados S A","Back Door","Houston, Tx","Veracruz","Mexico","1.5","122"
"OOLU262743487002","21/09/2019","Bmw Werk","Toluca Planta De Blindados S A","Back Door","Houston, Tx","Veracruz","Mexico","1.5","122"
"OOLU262676480001","06/09/2019","Bmw Werk","Toluca Planta De Blindados S A","Front Door Car","Houston, Tx","Veracruz","Mexico","1.5","122"
"OOLU262608333011","23/08/2019","Bmw Werk","Toluca Planta De Blindados S A","Left Rear Door","Houston, Tx","Veracruz","Mexico","1.5","125"
"OOLU262541254008","12/08/2019","Bmw Werk","Toluca Planta De Blindados S A","Left Rear Door","Houston, Tx","Veracruz","Mexico","1.5","122"
"OOLU262394192002","12/07/2019","Bmw Ag","Toluca Planta De Blindados S A","Door Automotive Vehicle","Houston, Tx","Veracruz","Mexico","1.5","541"
