"Bol Number","Arrival Date","Company Name","Supplier Name","Product Description","Port Of Entry","Shipping Port","Supplier Country","TEU","Weight"
"CMDUALC0135035","29/03/2023","Vibracoustic De Mexico S A De C V","Plasticos Durex S A","Caau Tooling Sistemas Conexion Bundles Textil Suministro Equipos Depuracioaguas Residuales Con Todos Sus Accesorios Partes Para Bue","Miami, Fl","Valencia","Spain","1.5","7710"
"OOLU271394771001","07/03/2023","Bmw Ag Werk","Vibracoustic De Mexico S A De C V","Air Spring","Houston, Tx","Veracruz","Mexico","1.5","341"
"OOLU271346016008","07/03/2023","Bmw Ag","Vibracoustic De Mexico S A De C V","Shock Absorbers Automotive Use","Houston, Tx","Veracruz","Mexico","1.5","4006"
"OOLU271336009002","27/02/2023","Bmw Ag","Vibracoustic De Mexico S A De C V","Shock Absorbers Automotive Use","Houston, Tx","Veracruz","Mexico","1.5","4211"
"OOLU271336009003","27/02/2023","Bmw Ag","Vibracoustic De Mexico S A De C V","Shock Absorbers Automotive Use","Houston, Tx","Veracruz","Mexico","1.5","4148"
"OOLU271324927102","18/02/2023","Bmw Ag Werk","Vibracoustic De Mexico S A De C V","Assy Airspring","Houston, Tx","Veracruz","Mexico","1.5","5027"
"OOLU271335984030","18/02/2023","Bmw Ag","Vibracoustic De Mexico S A De C V","Shock Absorbers Automotive Use","Houston, Tx","Veracruz","Mexico","1.5","5198"
"OOLU271294819010","12/02/2023","Bmw Ag Werk","Vibracoustic De Mexico S A De C V","Air Spring Strut Rear Left","New Orleans, La","Veracruz","Mexico","1.5","3150"
"OOLU271295412005","09/02/2023","Bmw Ag","Vibracoustic De Mexico S A De C V","Shock Absorbers Automotive Use","Houston, Tx","Veracruz","Mexico","1.5","1766"
"OOLU271241212002","09/02/2023","Bmw Ag Werk","Vibracoustic De Mexico S A De C V","Air Spring Strut Rear Left","Houston, Tx","Veracruz","Mexico","1.5","1337"
"OOLU271295412004","09/02/2023","Bmw Ag","Vibracoustic De Mexico S A De C V","Shock Absorbers Automotive Use","Houston, Tx","Veracruz","Mexico","1.5","293"
"OOLU271208046009","26/01/2023","Bmw Ag Werk","Vibracoustic De Mexico S A De C V","Rear Airspring","New Orleans, La","Veracruz","Mexico","1.5","558"
"OOLU271175635018","13/01/2023","Bmw Ag","Vibracoustic De Mexico S A De C V","Shock Absorbers Automotive Use","New Orleans, La","Veracruz","Mexico","1.5","4125"
"OOLU271170187007","13/01/2023","Bmw Ag","Vibracoustic De Mexico S A De C V","Shock Absorbers Automotive Use","New Orleans, La","Veracruz","Mexico","1.5","2074"
"OOLU271170187015","13/01/2023","Bmw Ag","Vibracoustic De Mexico S A De C V","Shock Absorbers Automotive Use","New Orleans, La","Veracruz","Mexico","1.5","3984"
"OOLU271170187002","13/01/2023","Bmw Ag","Vibracoustic De Mexico S A De C V","Shock Absorbers Automotive Use","New Orleans, La","Veracruz","Mexico","1.5","2077"
"OOLU271170187010","13/01/2023","Bmw Ag","Vibracoustic De Mexico S A De C V","Shock Absorbers Automotive Use","New Orleans, La","Veracruz","Mexico","1.5","4159"
"OOLU271110633004","29/12/2022","Bmw Ag","Vibracoustic De Mexico S A De C V","Shock Absorbers Automotive Use","New Orleans, La","Veracruz","Mexico","1.5","2087"
"OOLU271110633016","29/12/2022","Bmw Ag","Vibracoustic De Mexico S A De C V","Absorbers Automotive Use","New Orleans, La","Veracruz","Mexico","1.5","7195"
"OOLU271110633018","29/12/2022","Bmw Ag","Vibracoustic De Mexico S A De C V","Shock Absorbers Automotive Use","New Orleans, La","Veracruz","Mexico","1.5","5071"
"OOLU270998582024","18/12/2022","Bmw Ag","Vibracoustic De Mexico S A De C V","Shock Absorbers Automotive Use","New Orleans, La","Veracruz","Mexico","1.5","1980"
"OOLU270998582020","18/12/2022","Bmw Ag","Vibracoustic De Mexico S A De C V","Shock Absorbers Automotive Use","New Orleans, La","Veracruz","Mexico","1.5","4039"
"OOLU270998582028","18/12/2022","Bmw Ag","Vibracoustic De Mexico S A De C V","Shock Absorbers Automotive Use","New Orleans, La","Veracruz","Mexico","1.5","3954"
"OOLU270943340025","13/12/2022","Bmw Ag","Vibracoustic De Mexico S A De C V","Shock Absorbers Automotive Use","New Orleans, La","Veracruz","Mexico","1.5","1973"
"OOLU270943340015","13/12/2022","Bmw Ag","Vibracoustic De Mexico S A De C V","Shock Absorbers Automotive Use","New Orleans, La","Veracruz","Mexico","1.5","3568"
"OOLU270943340024","13/12/2022","Bmw Ag","Vibracoustic De Mexico S A De C V","Shock Absorbers Automotive Use","New Orleans, La","Veracruz","Mexico","1.5","3134"
"OOLU270803759012","26/11/2022","Bmw Ag","Vibracoustic De Mexico S A De C V","Shock Absorbers Automotive Use","New Orleans, La","Veracruz","Mexico","1.5","3101"
"OOLU270773373002","26/11/2022","Bmw Ag","Vibracoustic De Mexico S A De C V","Shock Absorbers Automotive Use","New Orleans, La","Veracruz","Mexico","1.5","3104"
"HLCUME3MK15235AA","23/11/2022","Thyssenkrupp Bilstein S A","Vibracoustic De Mexico S A De C V","Air Spring Module Esuspension","Houston, Tx","Veracruz","Mexico","1.5","8007"
"BANQMEX1821240","30/08/2022","Thyssenkrupp Bilstein Sa","Vibracoustic De Mexico S A De C V","Stc Air Spring Module Esuspension","New Orleans, La","Veracruz","Mexico","1","2023"
"BANQMEX1821240","25/07/2022","Thyssenkrupp Bilstein Sa","Vibracoustic De Mexico S A De C V","Stc Air Spring Module Esuspension","New Orleans, La","Veracruz","Mexico","1","2023"
"OOLU269808471012","30/05/2022","Bmw Ag","Vibracoustic De Mexico S A De C V","Shock Absorbers Automotive Use","Houston, Tx","Veracruz","Mexico","1.5","4302"
"OOLU269758781003","30/05/2022","Bmw Ag","Vibracoustic De Mexico S A De C V","Shock Absorbers Automotive Use","Houston, Tx","Veracruz","Mexico","1.5","2770"
"OOLU269758781010","30/05/2022","Bmw Ag","Vibracoustic De Mexico S A De C V","Shock Absorbers Automotive Use","Houston, Tx","Veracruz","Mexico","1.5","2763"
"OOLU269758781016","30/05/2022","Bmw Ag","Vibracoustic De Mexico S A De C V","Shock Absorbers Automotive Use","Houston, Tx","Veracruz","Mexico","1.5","6128"
"OOLU269758781014","30/05/2022","Bmw Ag","Vibracoustic De Mexico S A De C V","Shock Absorbers Automotive Use","Houston, Tx","Veracruz","Mexico","1.5","574"
"OOLU269255378007","22/04/2022","Bmw Ag","Vibracoustic De Mexico S A De C V","Shock Absorbers Automotive Use","Houston, Tx","Veracruz","Mexico","1.5","1884"
