"Bol Number","Arrival Date","Company Name","Supplier Name","Product Description","Port Of Entry","Shipping Port","Supplier Country","TEU","Weight"
"WLWHDE2311591","04/02/2023","Agco Australia Limited","A Hartrodt Deutschland Gmbh&Co Kg","Fendt Vario Fendt Vario Gen Fendt Vario Gen Unpacked Unpacked Fendt Vario Gen Fendt Vario Gen Fendt Vario Gen Fendt Vario Gen Fendt Vario Gen Agr","Baltimore, Md","Bremerhaven","Germany","0","95584"
"WLWHDE2311598","04/02/2023","Agco Australia Limited","A Hartrodt Deutschland Gmbh&Co Kg","Fendt Vario Gen Fendt Vario Agric Fendt Vario Agric Fendt Vario Gen Fendt Vario Gen","Baltimore, Md","Bremerhaven","Germany","0","50275"
"WLWHDE2307985","28/01/2023","Agco Australia Limited","A Hartrodt Deutschland Gmbh&Co Kg","Fendt Vario Gen Agr Fendt Vario Gen","Baltimore, Md","Bremerhaven","Germany","0","18888"
"WLWHDE2307983","28/01/2023","Agco Australia Limited","A Hartrodt Deutschland Gmbh&Co Kg","Fendt Vario Gen Agr","Baltimore, Md","Bremerhaven","Germany","0","14908"
"WLWHDE2307623","12/01/2023","Agco Australia Limited","A Hartrodt Deutschland Gmbh&Co Kg","Fendt Vario Agric Fendt Vario Fendt Vario Gen Fendt Vario Gen Fendt Vario Gen Fendt Vario Gen Fendt Vario Gen Fendt Vario Gen Fendt Vario Gen","Baltimore, Md","Bremerhaven","Germany","0","69656"
"WLWHDE2307633","12/01/2023","Agco Australia Limited","A Hartrodt Deutschland Gmbh&Co Kg","Fendt Vario Gen","Baltimore, Md","Bremerhaven","Germany","0","19803"
"WLWHDE2303446","09/01/2023","Agco New Zealand Limited","A Hartrodt Deutschland Gmbh&Co Kg","Fendt Rotana Combi","Baltimore, Md","Bremerhaven","Germany","0","6500"
"WLWHDE2303435","09/01/2023","Agco Australia Limited","A Hartrodt Deutschland Gmbh&Co Kg","Fendt Vario Fendt Vario Gen Agr Fendt Vario Gen","Baltimore, Md","Bremerhaven","Germany","0","31053"
"WLWHDE2298315A","19/12/2022","Agco Australia Limited","A Hartrodt Deutschland Gmbh&Co Kg","Fendt Vario Gen Fendt Vario Gen","Baltimore, Md","Bremerhaven","Germany","0","6478"
"WLWHDE2298320","19/12/2022","Agco Australia Limited","A Hartrodt Deutschland Gmbh&Co Kg","Fendt Vario Gen Agr Fendt Vario Fendt Vario Fendt Vario Gen Fendt Vario Gen Fendt Vario","Baltimore, Md","Bremerhaven","Germany","0","77371"
"WLWHDE2298315A","19/12/2022","Agco Australia Limited","A Hartrodt Deutschland Gmbh&Co Kg","Fendt Vario Gen Fendt Vario Gen","Baltimore, Md","Bremerhaven","Germany","0","6478"
"WLWHDE2298315","19/12/2022","Agco Australia Limited","A Hartrodt Deutschland Gmbh&Co Kg","Fendt Vario Gen Fendt Vario Agric Fendt Vario Gen","Baltimore, Md","Bremerhaven","Germany","0","22109"
"WLWHDE2298315","19/12/2022","Agco Australia Limited","A Hartrodt Deutschland Gmbh&Co Kg","Fendt Vario Gen Fendt Vario Fendt Vario Gen","Baltimore, Md","Bremerhaven","Germany","0","22109"
"WLWHDE2298320","19/12/2022","Agco Australia Limited","A Hartrodt Deutschland Gmbh&Co Kg","Fendt Vario Fendt Vario Gen Agric Fendt Vario Gen Fendt Vario Gen Fendt Vario Fendt Vario","Baltimore, Md","Bremerhaven","Germany","0","77371"
"WLWHDE2296845","15/12/2022","Agco Australia Limited","A Hartrodt Deutschland Gmbh&Co Kg","Fendt Vario Gen","Baltimore, Md","Bremerhaven","Germany","0","3527"
