"Bol Number","Arrival Date","Company Name","Supplier Name","Product Description","Port Of Entry","Shipping Port","Supplier Country","TEU","Weight"
"BANQBRE5747710","20/03/2023","Continental Automotive Systems","Dravima B V","Crimp Ring Clamping Ring Harmonized Banqbre","Charleston, Sc","Bremerhaven","Germany","1.5","6209"
"BANQBRE5749760","20/03/2023","Continental Automotive Systems","Dravima B V","Crimp Ring Supporting Ring Harmonized Banqbre","Charleston, Sc","Bremerhaven","Germany","1.5","1305"
"BANQBRE5751058","20/03/2023","Continental Automotive Systems","Dravima B V","Crimp Ring Harmonized Banqbre","Charleston, Sc","Bremerhaven","Germany","1.5","2036"
"BANQBRE5735769","10/03/2023","Continental Automotive Systems","Dravima B V","Crimp Ring Clamping Ring Harmonized Banqbre","Charleston, Sc","Bremerhaven","Germany","1.5","6503"
"BANQBRE5740013","08/03/2023","Continental Automotive Systems","Dravima B V","Crimp Ring Clamping Ring Harmonized Banqbre","Charleston, Sc","Bremerhaven","Germany","1.5","5729"
"BANQBRE5724830","21/02/2023","Continental Automotive Systems","Dravima B V","Crimp Ring Clamping Ring Supporting Ring Banqbre","Charleston, Sc","Bremerhaven","Germany","1.5","5869"
"BANQBRE5730331","21/02/2023","Continental Automotive Systems","Dravima B V","Crimp Ring Harmonized Banqbre","Charleston, Sc","Bremerhaven","Germany","1.5","3420"
"BANQBRE5730331","21/02/2023","Continental Automotive Systems","Dravima B V","Crimp Ring Harmonized Banqbre","Charleston, Sc","Bremerhaven","Germany","1.5","3420"
"BANQBRE5724830","21/02/2023","Continental Automotive Systems","Dravima B V","Crimp Ring Clamping Ring Supporting Ring Banqbre","Charleston, Sc","Bremerhaven","Germany","1.5","5869"
"BANQBRE5715955","09/02/2023","Continental Automotive Systems","Dravima B V","Crimp Ring Harmonized Banqbre","Charleston, Sc","Bremerhaven","Germany","1.5","2720"
"BANQBRE5715955","09/02/2023","Continental Automotive Systems","Dravima B V","Crimp Ring Harmonized Banqbre","Charleston, Sc","Bremerhaven","Germany","1.5","2720"
"BANQBRE5700054","23/01/2023","Continental Automotive Systems","Dravima B V","Crimp Ring Clamping Ring Harmonized Banqbre","Charleston, Sc","Bremerhaven","Germany","1.5","1462"
"BANQBRE5687806","07/01/2023","Continental Automotive Systems","Dravima B V","Crimp Ring Harmonized Banqbre","Charleston, Sc","Bremerhaven","Germany","1.5","2166"
"BANQBRE5670368","31/12/2022","Continental Automotive Systems","Dravima B V","Crimp Ring Harmonized Banqbre","Charleston, Sc","Bremerhaven","Germany","1.5","2047"
"BANQBRE5665066","31/12/2022","Continental Automotive Systems","Dravima B V","Crimp Ring Harmonized Banqbre","Charleston, Sc","Bremerhaven","Germany","1.5","2790"
"BANQBRE5665066","31/12/2022","Continental Automotive Systems","Dravima B V","Crimp Ring Harmonized Banqbre","Charleston, Sc","Bremerhaven","Germany","1.5","2790"
"BANQBRE5670368","31/12/2022","Continental Automotive Systems","Dravima B V","Crimp Ring Harmonized Banqbre","Charleston, Sc","Bremerhaven","Germany","1.5","2047"
"BANQBRE5677311","29/12/2022","Continental Automotive Systems","Dravima B V","Crimp Ring Clamping Ring Harmonized Banqbre","Charleston, Sc","Bremerhaven","Germany","1.5","1480"
"BANQBRE5677311","29/12/2022","Continental Automotive Systems","Dravima B V","Crimp Ring Clamping Ring Harmonized Banqbre","Charleston, Sc","Bremerhaven","Germany","1.5","1480"
"BANQBRE5662075","18/12/2022","Continental Automotive Systems","Dravima B V","Crimp Ring Harmonized Banqbre","Charleston, Sc","Bremerhaven","Germany","1.5","112"
"BANQBRE5658650","09/12/2022","Continental Automotive Systems","Dravima B V","Crimp Ring Clamping Ring Harmonized Banqbre","Charleston, Sc","Bremerhaven","Germany","1.5","2565"
"BANQBRE5640394","09/12/2022","Continental Automotive Systems","Dravima B V","Crimp Ring Clamping Ring Harmonized Banqbre","Charleston, Sc","Bremerhaven","Germany","1.5","4418"
"BANQBRE5640394","09/12/2022","Continental Automotive Systems","Dravima B V","Crimp Ring Clamping Ring Harmonized Banqbre","Charleston, Sc","Bremerhaven","Germany","1.5","4418"
"BANQBRE5658650","09/12/2022","Continental Automotive Systems","Dravima B V","Crimp Ring Clamping Ring Harmonized Banqbre","Charleston, Sc","Bremerhaven","Germany","1.5","2565"
"BANQBRE5643688","30/11/2022","Continental Automotive Systems","Dravima B V","Crimp Ring Clamping Ring Harmonized Banqbre","Charleston, Sc","Bremerhaven","Germany","1","2855"
"BANQBRE5651035","30/11/2022","Continental Automotive Systems","Dravima B V","Crimp Ring Harmonized Banqbre","Charleston, Sc","Bremerhaven","Germany","1","2934"
"BANQBRE5632626","12/11/2022","Continental Automotive Systems","Dravima B V","Crimp Ring Harmonized Banqbre","Charleston, Sc","Bremerhaven","Germany","1.5","2788"
"BANQBRE5632626","12/11/2022","Continental Automotive Systems","Dravima B V","Crimp Ring Harmonized Banqbre","Charleston, Sc","Bremerhaven","Germany","1.5","2788"
"BANQBRE5623126","28/10/2022","Continental Automotive Systems","Dravima B V","Crimp Ring Clamping Ring Harmonized Banqbre","Charleston, Sc","Bremerhaven","Germany","1.5","4639"
"BANQBRE5623126","28/10/2022","Continental Automotive Systems","Dravima B V","Crimp Ring Clamping Ring Harmonized Banqbre","Charleston, Sc","Bremerhaven","Germany","1.5","4639"
"BANQBRE5623126","28/10/2022","Continental Automotive Systems","Dravima B V","Crimp Ring Clamping Ring Harmonized Banqbre","Charleston, Sc","Bremerhaven","Germany","1.5","4639"
"BANQBRE5614154","24/10/2022","Continental Automotive Systems","Dravima B V","Crimp Ring Harmonized Banqbre","Charleston, Sc","Bremerhaven","Germany","1.5","2233"
"BANQBRE5614154","24/10/2022","Continental Automotive Systems","Dravima B V","Crimp Ring Harmonized Banqbre","Charleston, Sc","Bremerhaven","Germany","1.5","2233"
"BANQBRE5614154","24/10/2022","Continental Automotive Systems","Dravima B V","Crimp Ring Harmonized Banqbre","Charleston, Sc","Bremerhaven","Germany","1.5","2233"
"BANQBRE5598693","16/10/2022","Continental Automotive Systems","Dravima B V","Crimp Ring Harmonized Banqbre","Charleston, Sc","Bremerhaven","Germany","1.5","3598"
"BANQBRE5601865","16/10/2022","Continental Automotive Systems","Dravima B V","Crimp Ring Harmonized Banqbre","Charleston, Sc","Bremerhaven","Germany","1.5","4961"
"BANQBRE5606563","16/10/2022","Continental Automotive Systems","Dravima B V","Crimp Ring Clamping Ring Harmonized Banqbre","Charleston, Sc","Bremerhaven","Germany","1.5","4530"
"BANQBRE5585861","27/09/2022","Continental Automotive Systems","Dravima B V","Crimp Ring Harmonized Banqbre","Charleston, Sc","Bremerhaven","Germany","1.5","4575"
"BANQBRE5585861","27/09/2022","Continental Automotive Systems","Dravima B V","Crimp Ring Harmonized Banqbre","Charleston, Sc","Bremerhaven","Germany","1.5","4575"
"BANQBRE5585861","27/09/2022","Continental Automotive Systems","Dravima B V","Crimp Ring Harmonized Banqbre","Charleston, Sc","Bremerhaven","Germany","1.5","4575"
"BANQBRE5585861","27/09/2022","Continental Automotive Systems","Dravima B V","Crimp Ring Harmonized Banqbre","Charleston, Sc","Bremerhaven","Germany","1.5","4575"
"BANQBRE5579046","13/09/2022","Continental Automotive Systems","Dravima B V","Crimp Ring Harmonized Banqbre","Charleston, Sc","Bremerhaven","Germany","1.5","2012"
