"Bol Number","Arrival Date","Company Name","Supplier Name","Product Description","Port Of Entry","Shipping Port","Supplier Country","TEU","Weight"
"RLUSS03635513","14/03/2022","Thyssenkrupp Bilstein Of America","Kt Elastomer Gmbh","Automotive Spare Partshs","Norfolk, Va","Bremerhaven","Germany","1.5","83"
"RLUSS03618013","09/02/2022","Thyssenkrupp Bilstein Of America","Kt Elastomer Gmbh","Automotive Spare Partshs","Norfolk, Va","Stadersand","Germany","1.5","166"
"RLUSS03604058","05/02/2022","Thyssenkrupp Bilstein Of America","Kt Elastomer Gmbh","Automotive Spare Partshs","Norfolk, Va","Stadersand","Germany","1.5","266"
"RLUSS03582423","21/12/2021","Thyssenkrupp Bilstein Of America","Kt Elastomer Gmbh","Automotive Spare Partshsc","Norfolk, Va","Bremerhaven","Germany","1.5","166"
"RLUSS03561989","06/12/2021","Thyssenkrupp Bilstein Of America","Kt Elastomer Gmbh","Automotive Spare Partshs","Norfolk, Va","Bremerhaven","Germany","1.5","110"
"RLUSS03570375","06/12/2021","Thyssenkrupp Bilstein Of America","Kt Elastomer Gmbh","Automotive Spare Partshs","Norfolk, Va","Bremerhaven","Germany","1.5","64"
"RLUSS03542540","21/10/2021","Thyssenkrupp Bilstein Of America","Kt Elastomer Gmbh","Automotive Spare Partshs","Norfolk, Va","Bremerhaven","Germany","1.5","129"
"RLUSS03530912","16/10/2021","Thyssenkrupp Bilstein Of America","Kt Elastomer Gmbh","Automotive Spare Hsc","Norfolk, Va","Bremerhaven","Germany","1.5","63"
"RLUSS03537124","16/10/2021","Thyssenkrupp Bilstein Of America","Kt Elastomer Gmbh","Automotive Spare Hsc","Norfolk, Va","Bremerhaven","Germany","1.5","184"
"RLUSS03529830","16/10/2021","Thyssenkrupp Bilstein Of America","Kt Elastomer Gmbh","Automotive Spare Hsc","Norfolk, Va","Bremerhaven","Germany","1.5","259"
"RLUSS03513841","23/09/2021","Thyssenkrupp Bilstein Of America","Kt Elastomer Gmbh","Automotive Spare Partshs","Norfolk, Va","Bremerhaven","Germany","1.5","83"
"RLUSS03494467","02/09/2021","Thyssenkrupp Bilstein Of America","Kt Elastomer Gmbh","Automotive Spare Partshs","Norfolk, Va","Bremerhaven","Germany","1.5","230"
"RLUSS03501489","02/09/2021","Thyssenkrupp Bilstein Of America","Kt Elastomer Gmbh","Automotive Spare Partshs","Norfolk, Va","Bremerhaven","Germany","1.5","76"
"RLUSS03476441","11/08/2021","Thyssenkrupp Bilstein Of America","Kt Elastomer Gmbh","Automotive Spare Partshs","Norfolk, Va","Bremerhaven","Germany","1.5","300"
"RLUSS03467624","23/07/2021","Thyssenkrupp Bilstein Of America","Kt Elastomer Gmbh","Automotive Spare","Norfolk, Va","Anvers","Belgium","1.5","233"
"RLUSS03428916","07/06/2021","Thyssenkrupp Bilstein Of America","Kt Elastomer Gmbh","Automotive Spare","Norfolk, Va","Bremerhaven","Germany","1.5","138"
"RLUSS03428916","07/06/2021","Thyssenkrupp Bilstein Of America","Kt Elastomer Gmbh","Automotive Spare","Norfolk, Va","Bremerhaven","Germany","1.5","138"
"RLUSS03389372","23/04/2021","Thyssenkrupp Bilstein Of America","Kt Elastomer Gmbh","Automotive Spare","Norfolk, Va","Stadersand","Germany","1.5","83"
"RLUSS03389372","23/04/2021","Thyssenkrupp Bilstein Of America","Kt Elastomer Gmbh","Automotive Spare","Norfolk, Va","Stadersand","Germany","1.5","83"
"RLUSS03378548","11/04/2021","Thyssenkrupp Bilstein Of America","Kt Elastomer Gmbh","Automotive Spare","Norfolk, Va","Stadersand","Germany","1.5","83"
"RLUSS03378548","11/04/2021","Thyssenkrupp Bilstein Of America","Kt Elastomer Gmbh","Automotive Spare","Norfolk, Va","Stadersand","Germany","1.5","83"
"RLUSS03362693","02/04/2021","Thyssenkrupp Bilstein Of America","Kt Elastomer Gmbh","Automotive Spare","Norfolk, Va","Stadersand","Germany","1.5","377"
"RLUSS03314116","21/01/2021","Thyssenkrupp Bilstein Of America","Kt Elastomer Gmbh","Automotive Spare","Norfolk, Va","Bremerhaven","Germany","1.5","166"
"RLUSS03297422","24/12/2020","Thyssenkrupp Bilstein Of America","Kt Elastomer Gmbh","Automotive Spare","Norfolk, Va","Bremerhaven","Germany","1.5","243"
"RLUSS03256720","03/11/2020","Thyssenkrupp Bilstein Of America","Kt Elastomer Gmbh","Automotive Spare","Norfolk, Va","Bremerhaven","Germany","1.5","121"
"RLUSS03253485","27/10/2020","Thyssenkrupp Bilstein Of America","Kt Elastomer Gmbh","Automotive Spare","Norfolk, Va","Bremerhaven","Germany","1.5","83"
"RLUSS03242185","14/10/2020","Thyssenkrupp Bilstein Of America","Kt Elastomer Gmbh","Automotive Spare","Norfolk, Va","Bremerhaven","Germany","1.5","103"
"RLUSS03235860","02/10/2020","Thyssenkrupp Bilstein Of America","Kt Elastomer Gmbh","Automotive Spare","Norfolk, Va","Bremerhaven","Germany","1.5","325"
"RLUSS03222936","12/09/2020","Thyssenkrupp Bilstein Of America","Kt Elastomer Gmbh","Automotive Spare","Norfolk, Va","Bremerhaven","Germany","1.5","54"
"RLUSS03222936","12/09/2020","Thyssenkrupp Bilstein Of America","Kt Elastomer Gmbh","Automotive Spare","Norfolk, Va","Bremerhaven","Germany","1.5","54"
"RLUSS03217634","06/09/2020","Thyssenkrupp Bilstein Of America","Kt Elastomer Gmbh","Automotive Spare","Norfolk, Va","Bremerhaven","Germany","1.5","119"
"RLUSS03208713","20/08/2020","Thyssenkrupp Bilstein Of America","Kt Elastomer Gmbh","Automotive Spare","Norfolk, Va","Bremerhaven","Germany","1.5","110"
"RLUSS03199328","07/08/2020","Thyssenkrupp Bilstein Of America","Kt Elastomer Gmbh","Automotive Spare","Norfolk, Va","Bremerhaven","Germany","1.5","139"
"RLUSS03187613","22/07/2020","Thyssenkrupp Bilstein Of America","Kt Elastomer Gmbh","Automotive Spae","Norfolk, Va","Bremerhaven","Germany","1.5","83"
"RLUSS03178816","11/07/2020","Thyssenkrupp Bilstein Of America","Kt Elastomer Gmbh","Automotive Spare","Norfolk, Va","Bremerhaven","Germany","1.5","83"
"RLUSS03174057","01/07/2020","Thyssenkrupp Bilstein Of America","Kt Elastomer Gmbh","Automotive Spare","Norfolk, Va","Bremerhaven","Germany","1.5","83"
"RLUSS03164067","25/06/2020","Thyssenkrupp Bilstein Of America","Kt Elastomer Gmbh","Automotive Spare","Norfolk, Va","Bremerhaven","Germany","1.5","168"
"RLUSS03158661","10/06/2020","Thyssenkrupp Bilstein Of America","Kt Elastomer Gmbh","Automotive Spar Eparts","Norfolk, Va","Bremerhaven","Germany","1.5","83"
"RLUSS03154256","10/06/2020","Thyssenkrupp Bilstein Of America","Kt Elastomer Gmbh","Automotive Spar Eparts","Norfolk, Va","Bremerhaven","Germany","1.5","83"
"RLUSS03144965","23/05/2020","Thyssenkrupp Bilstein Of America","Kt Elastomer Gmbh","Automotive Spare","Norfolk, Va","Bremerhaven","Germany","1.5","83"
"RLUSS03141113","16/05/2020","Thyssenkrupp Bilstein Of America","Kt Elastomer Gmbh","Automotive Spare","Norfolk, Va","Bremen","Germany","1.5","177"
