"Bol Number","Arrival Date","Company Name","Supplier Name","Product Description","Port Of Entry","Shipping Port","Supplier Country","TEU","Weight"
"BANQ1051256199","28/03/2023","Gulf Shore Assemblies","Plasticos Durex Sa","Gaiter","Savannah, Ga","Valencia","Spain","1.5","5541"
"BANQ1050604524","15/02/2023","Gulf Shores Assemblies Llc","Plasticos Durex Sa","Gaiter","Savannah, Ga","Valencia","Spain","1.5","5636"
"BANQ1050604524","15/02/2023","Gulf Shores Assemblies Llc","Plasticos Durex Sa","Gaiter","Savannah, Ga","Valencia","Spain","1.5","5636"
"BANQ1049662997","19/12/2022","Gulf Shore Assemblies","Plasticos Durex Sa","Gaiter","Savannah, Ga","Valencia","Spain","1.5","5636"
"BANQ1048979888","17/11/2022","Gulf Shore Assemblies","Plasticos Durex Sa","Gaiter","Savannah, Ga","Valencia","Spain","1.5","5636"
"BANQ1048979888","17/11/2022","Gulf Shore Assemblies","Plasticos Durex Sa","Gaiter","Savannah, Ga","Valencia","Spain","1.5","5636"
"BANQ1048979888","17/11/2022","Gulf Shore Assemblies","Plasticos Durex Sa","Gaiter","Savannah, Ga","Valencia","Spain","1.5","5636"
"BANQ1048669707","05/11/2022","Gulf Shore Assemblies","Plasticos Durex Sa","Gaiter","Savannah, Ga","Valencia","Spain","1.5","5636"
"BANQ1048372972","16/10/2022","Gulf Shore Assemblies","Plasticos Durex Sa","Gaiter","Savannah, Ga","Valencia","Spain","1.5","5636"
"BANQ1048372972","16/10/2022","Gulf Shore Assemblies","Plasticos Durex Sa","Gaiter","Savannah, Ga","Valencia","Spain","1.5","5636"
"BANQ1048059552","30/08/2022","Gulf Shore Assemblies","Plasticos Durex Sa","Gaiter","Savannah, Ga","Valencia","Spain","1.5","5380"
"MEDUV7887700","30/08/2022","Plasticos Durex S A De C V","Plasticos Durex Sa","Polymers Propylene Other Olefins Inprim Haiplen Tube Pipe Fittings Example Couplings Elb Racores Acero Other Articles Iron Steel Articles Iro Aros Metalicos","Charleston, Sc","Valencia","Spain","1","9701"
"BANQ1048059552","30/08/2022","Gulf Shore Assemblies","Plasticos Durex Sa","Gaiter","Savannah, Ga","Valencia","Spain","1.5","5380"
"BANQ1048059552","30/08/2022","Gulf Shore Assemblies","Plasticos Durex Sa","Gaiter","Savannah, Ga","Valencia","Spain","1","5380"
"PYMNVLC221000932","23/08/2022","Ford Louisville Assembly","Plasticos Durex Sa","Auto","Norfolk, Va","Valencia","Spain","1.5","2960"
"PYMNVLC221000569","23/08/2022","Ford Louisville Assembly","Plasticos Durex Sa","Auto","Norfolk, Va","Valencia","Spain","1.5","2960"
"PYMNVLC221000932","23/08/2022","Ford Louisville Assembly","Plasticos Durex Sa","Auto","Norfolk, Va","Valencia","Spain","1.5","2960"
"PYMNVLC221000569","23/08/2022","Ford Louisville Assembly","Plasticos Durex Sa","Auto","Norfolk, Va","Valencia","Spain","1.5","2960"
"BANQ1047546568","21/08/2022","Gulf Shore Assemblies","Plasticos Durex Sa","Gaiter","Savannah, Ga","Valencia","Spain","1.5","5636"
"BANQ1047546568","21/08/2022","Gulf Shore Assemblies","Plasticos Durex Sa","Gaiter","Savannah, Ga","Valencia","Spain","1.5","5636"
"BANQ1047231177","13/08/2022","Gulf Shore Assemblies","Plasticos Durex Sa","Gaiter","Savannah, Ga","Valencia","Spain","1.5","5636"
"PYMNVLC221000150","30/07/2022","Ford Louisville Assembly","Plasticos Durex Sa","Auto","Norfolk, Va","Valencia","Spain","1.5","2960"
"PYMNVLC221000150","30/07/2022","Ford Louisville Assembly","Plasticos Durex Sa","Auto","Norfolk, Va","Valencia","Spain","1.5","2960"
"WBLCEXSEE2204022","04/06/2022","Vibracoustic North America Lp Site","Plasticos Durex Sa","Automotive Spare Dust Boot","New York/Newark Area, Newark, Nj","Bremerhaven","Germany","1.5","1524"
"WBLCEXSEE2204022","04/06/2022","Vibracoustic North America Lp Site","Plasticos Durex Sa","Automotive Spare Dust Boot","New York/Newark Area, Newark, Nj","Bremerhaven","Germany","1.5","1524"
"MEDUV7444106","17/05/2022","Vibracoustic De Mexico Sa De Cv","Plasticos Durex Sa","Tanning Extracts Vegetable Tanninsand Partes Accesorios Vehiculos Autom Oviles","Miami, Fl","Valencia","Spain","1.5","1332"
"WBLCEXSEE2203045","29/04/2022","Vibracoustic North America Lp Site","Plasticos Durex Sa","Automotive Spare","New York/Newark Area, Newark, Nj","Bremerhaven","Germany","1.5","1524"
"MEDUV7291556","20/04/2022","Ford Motor Company","Plasticos Durex Sa","Auto","Norfolk, Va","Valencia","Spain","1.5","2959"
"WBLCEXSEE2202098","03/04/2022","Vibracoustic Usa Inc","Plasticos Durex Sa","Automotive Spare Partshs","New York/Newark Area, Newark, Nj","Bremerhaven","Germany","1.5","1524"
"MEDUV7294063","04/03/2022","Vibracoustic De Mexico Sa De Cv","Plasticos Durex Sa","Tableware Kitchenware Other Household Articles Partes Accesorios Vehiculos Automoviles","Miami, Fl","Valencia","Spain","1.5","2872"
"MEDUV7218823","04/03/2022","Ford Motor Company S A","Plasticos Durex Sa","Accessories Motor Vehicles Hea Auto","Miami, Fl","Valencia","Spain","1.5","2296"
"MEDUV7262169","04/03/2022","Vibracoustic De Mexico Sa De Cv","Plasticos Durex Sa","Tableware Kitchenware Other Household Articles Partes Accesorios Vehiculos Automoviles","Miami, Fl","Valencia","Spain","1.5","2570"
"WBLCEXSEE2201088","03/03/2022","Vibracoustic North America Lp Site","Plasticos Durex Sa","Automotive Spare Dust Boot Automotive Spare Dust Booths","New York/Newark Area, Newark, Nj","Bremerhaven","Germany","2.5","2286"
