"Bol Number","Arrival Date","Company Name","Supplier Name","Product Description","Port Of Entry","Shipping Port","Supplier Country","TEU","Weight"
"NYKS500027824","22/03/2023","Atkins Kroll Inc","Bmw Ag","Units Bmw Automobiles Attached Statement Shipped Board","San Diego, Ca","Bremerhaven","Germany","0","92132"
"NYKS520011859","22/03/2023","Atkins Kroll Inc","Toyota Motor Europe","Cars Toyota Supra Unit","San Diego, Ca","Zeebrugge","Belgium","0","1547"
"NYKS500027415","14/02/2023","Atkins Kroll Inc","Bmw Ag","Units Bmw Automobiles Attached Statement Shipped Board","San Diego, Ca","Hamble","United Kingdom","0","37625"
"NYKS520011730","14/02/2023","Atkins Kroll Inc","Toyota Motor Europe","Cars Toyota Supra Unit","San Diego, Ca","Zeebrugge","Belgium","0","1547"
"NYKS520011468","27/10/2022","Atkins Kroll Inc","Toyota Motor Europe","Cars Toyota Supra Unit","Port Hueneme, Ca","Zeebrugge","Belgium","0","3084"
"NYKS500026803","27/10/2022","Atkins Kroll Inc","Bmw Ag","Units Bmw Automobiles Attached Statement Shipped Board","Port Hueneme, Ca","Bremerhaven","Germany","0","102449"
"NYKS520011404","25/09/2022","Atkins Kroll Inc","Toyota Motor Europe","Cars Toyota Supra Unit","Long Beach, Ca","Zeebrugge","Belgium","0","1547"
"NYKS500026545","25/09/2022","Atkins Kroll Inc","Bmw Ag","Units Bmw Automobiles Attached Statement Shipped Board","Long Beach, Ca","Bremerhaven","Germany","0","47354"
"NYKS500026371","21/08/2022","Atkins Kroll Inc","Bmw Ag","Units Bmw Automobiles Attached Statement Shipped Board","Long Beach, Ca","Bremerhaven","Germany","0","63741"
"NYKS520011221","23/06/2022","Atkins Kroll Inc","Toyota Motor Europe","Cars Toyota Supra Unit","Long Beach, Ca","Zeebrugge","Belgium","0","1580"
"NYKS500025904","23/06/2022","Atkins Kroll Inc","Bmw Ag","Units Bmw Automobiles Attached Statement Shipped Board","Long Beach, Ca","Bremerhaven","Germany","0","58806"
"NYKS520011085","27/05/2022","Atkins Kroll Inc","Toyota Motor Europe","Cars Toyota Supra Unit","San Diego, Ca","Zeebrugge","Belgium","0","1580"
"NYKS500025702","25/05/2022","Atkins Kroll Inc","Bmw Ag","Units Bmw Automobiles Attached Statement Shipped Board","Long Beach, Ca","Bremerhaven","Germany","0","20256"
"NYKS500025512","22/04/2022","Atkins Kroll Inc","Bmw Ag","Units Bmw Automobiles Attached Statement Shipped Board","Long Beach, Ca","Bremerhaven","Germany","0","60723"
"NYKS520010978","22/04/2022","Atkins Kroll Inc","Toyota Motor Europe","Cars Toyota Supra Unit","Long Beach, Ca","Zeebrugge","Belgium","0","1580"
"NYKS500025194","14/03/2022","Atkins Kroll Inc","Bmwag","Units Bmw Automobiles Attached Statement Shipped Board","Long Beach, Ca","Bremerhaven","Germany","0","46946"
"NYKS520010687","02/02/2022","Atkins Kroll Inc","Toyota Motor Europe","Cars Toyota Supra","Port Hueneme, Ca","Zeebrugge","Belgium","0","3160"
"NYKS500024780","05/01/2022","Atkins Kroll Inc","Bmw Ag","Units Bmw Automobiles Attached Statement Shipped Board","Port Hueneme, Ca","Bremerhaven","Germany","0","57901"
"NYKS520010495","16/12/2021","Atkins Kroll Inc","Toyota Motor Europe","Cars Toyota Supra","Long Beach, Ca","Zeebrugge","Belgium","0","1580"
"NYKS500024313","12/11/2021","Atkins Kroll Inc","Bmw Ag","Units Bmw Automobiles Attached Statement Shipped Board","San Diego, Ca","Bremerhaven","Germany","0","47031"
"NYKS520010335","22/10/2021","Atkins Kroll Inc","Toyota Motor Europe","Cars Toyota Supra","Port Hueneme, C","Zeebrugge","Belgium","0","1580"
"NYKS520010236","23/09/2021","Atkins Kroll Inc","Toyota Motor Europe","Cars Toyota Supra","Port Hueneme, Ca","Zeebrugge","Belgium","0","1580"
"NYKS500023933","23/09/2021","Atkins Kroll Inc","Bmw Ag","Units Bmw Automobiles Attached Statement Shipped Board","Port Hueneme, Ca","Bremerhaven","Germany","0","28724"
"NYKS500023725","30/08/2021","Atkins Kroll Inc","Bmw Ag","Units Bmw Automobiles Attached Statement Shipped Board","Port Hueneme, Ca","Bremerhaven","Germany","0","53211"
"NYKS500023360","20/06/2021","Atkins Kroll Inc","Bmw Ag","Units Bmw Automobiles Attached Statement Shipped Board","Charleston, Sc","Bremerhaven","Germany","0","52488"
"NYKS520009798","25/05/2021","Atkins Kroll Inc","Toyota Motor Europe","Cars Toyota Supra","San Diego, Ca","Zeebrugge","Belgium","0","1580"
"NYKS500022752","23/04/2021","Atkins Kroll Inc","Bmw Ag","Units Bmw Automobiles Attached Statement Shipped Board","Charleston, Sc","Bremerhaven","Germany","0","27843"
"NYKS500022375","30/03/2021","Atkins Kroll Inc","Bmw Ag","Units Bmw Automobiles Attached Statement Shipped Board","Long Beach, Ca","Bremerhaven","Germany","0","11920"
"NYKS500022257","17/03/2021","Atkins Kroll Inc","Bmw Ag","Units Bmw Automobiles Attached Statement Shipped Board","Port Hueneme, Ca","Bremerhaven","Germany","0","18186"
"NYKS520009518","17/03/2021","Atkins Kroll Inc","Toyota Motor Europe","Cars Unpacked Vehicles Toyota Supra","Port Hueneme, Ca","Zeebrugge","Belgium","0","1580"
