"Bol Number","Arrival Date","Company Name","Supplier Name","Product Description","Port Of Entry","Shipping Port","Supplier Country","TEU","Weight"
"HCNL22SEE0186326","07/12/2022","Bavarian Motors Cr S A","Bmw Ag","Bmw Service","Norfolk, Va","Anvers","Belgium","1","778"
"HCNL22SEE0188889","10/11/2022","Bavarian Motors Cr S A","Bmw Ag","Bmw Motorcycle Vehicle Flammable Liquid","Norfolk, Va","Anvers","Belgium","1.5","5031"
"HCNL22SEE0188888","10/11/2022","Bavarian Motors Cr S A","Bmw Ag","Bmw Motorcycle","Norfolk, Va","Anvers","Belgium","1.5","6600"
"HCNL22SEE0188589","10/11/2022","Bavarian Motors Cr S A","Bmw Ag","Bmw Service","Norfolk, Va","Anvers","Belgium","1","434"
"HCNL22SEE0187965","10/11/2022","Bavarian Motors Cr S A","Bmw Ag","Bmw Service","Norfolk, Va","Anvers","Belgium","1.5","6083"
"HCNL22SEE0178471","22/09/2022","Bavarian Motors Cr S A","Bmw Ag","Bmw Service","Norfolk, Va","Anvers","Belgium","1","690"
"HCNL22SEE0184776","22/09/2022","Bavarian Motors Cr S A","Bmw Ag","Bmw Service","Norfolk, Va","Anvers","Belgium","1","817"
"HCNL22SEE0184145","22/09/2022","Bavarian Motors Cr S A","Bmw Ag","Bmw Service","Norfolk, Va","Anvers","Belgium","1","2389"
"HCNL22SEE0184135","20/09/2022","Bavarian Motors Cr S A","Bmw Ag","Bmw Motorcycles","Norfolk, Va","Anvers","Belgium","1.5","3576"
"HCNL22SEE0177981","15/09/2022","Bavarian Motors Cr S A","Bmw Ag","Bmw Motorcycle","Norfolk, Va","Anvers","Germany","1.5","4122"
"HCNL22SEE0176672","05/09/2022","Bavarian Motors Cr S A","Bmw Ag","Bmw Service","Norfolk, Va","Stadersand","Germany","1","2426"
"HCNL22SEE0170855","02/06/2022","Bavarian Motors Cr S A","Bmw Ag","Bmw Service","Norfolk, Va","Anvers","Germany","1.5","2104"
"HCNL22SEE0171260","24/05/2022","Bavarian Motors Cr S A","Bmw Ag","Bmw Motorcycl Imo","Norfolk, Va","Anvers","Germany","1","1460"
"HCNL22SEE0172213","04/05/2022","Bavarian Motors Cr S A","Bmw Ag","Bmw Service","Norfolk, Va","Anvers","Germany","1","1937"
"HCNL22SEE0170272","03/04/2022","Bavarian Motors Cr S A","Bmw Ag","Bmw Service","Norfolk, Va","Anvers","Germany","1","2386"
"HCNL21SEE0165526","22/03/2022","Bavarian Motors Cr S A","Bmw Ag","Motorcycle","Norfolk, Va","Anvers","Germany","1","2056"
"HCNL22SEE0167727","15/03/2022","Bavarian Motors Cr S A","Bmw Ag","Bmw Service Batteries","Norfolk, Va","Anvers","Germany","1","3379"
"HCNL21SEE0164953","26/02/2022","Bavarian Motors Cr S A","Bmw Ag","Batteries Wet Bmw Service","Norfolk, Va","Stadersand","Germany","1","2668"
"HCNL21SEE0163133","08/01/2022","Bavarian Motors Cr S A","Bmw Ag","Motorcycle","Charleston, Sc","Bremerhaven","Germany","1","7141"
"HCNL21SEE0161069","09/12/2021","Bavarian Motors Cr S A","Bmw Ag","Bmw Service","Norfolk, Va","Anvers","Belgium","1","1435"
"HCNL21SEE0158909","08/12/2021","Bavarian Motors Cr S A","Bmw Ag","Bmw Service","Charleston, Sc","Bremerhaven","Germany","1.5","1245"
"MOLU18002781870","29/11/2021","Bavarian Motors Cr S A","Bayerische Motoren Werke","Unpacked Bmw Automobiles Erattached Statement Prep Aid","New York/Newark Area, Newark, Nj","Zeebrugge","Belgium","0","109156"
"HCNL21SEE0158425","10/11/2021","Bavarian Motors Cr S A","Bmw Ag","Motorcycles Vehicle Flammable Liquid","Norfolk, Va","Anvers","Germany","1","1324"
"MOLU18002709979","22/10/2021","Bavarian Motors Cr S A","Bayerische Motoren Werke","Mini Cooper Tuerer","New York/Newark","Zeebrugge","Belgium","0","1275"
"MOLU18002698690","22/10/2021","Bavarian Motors Cr S A","Bayerische Motoren Werke","Unpacked Bmw Automobiles Att Ached Statement","New York/Newark","Zeebrugge","Belgium","0","43705"
"HCNL21SEE0155469","14/10/2021","Bavarian Motors Cr S A","Bmw Ag","Motorcycle Vehicle","Norfolk, Va","Anvers","Germany","1","6479"
"MOLU18002523670","27/09/2021","Bavarian Motors Cr S A","Bayerische Motoren Werke","Unpacked Bmw Automobiles Ttached Statement","New York/Newark Area, Newark, Nj","Zeebrugge","Belgium","0","28556"
"MOLU18002523670","27/09/2021","Bavarian Motors Cr S A","Bayerische Motoren Werke","Unpacked Bmw Automobiles Ttached Statement","New York/Newark","Zeebrugge","Belgium","0","28556"
"HCNL21SEE0154679","07/09/2021","Bavarian Motors Cr S A","Bmw Ag","Bmw Service","Norfolk, Va","Anvers","Germany","1","1622"
"HCNL21SEE0153516","07/09/2021","Bavarian Motors Cr S A","Bmw Ag","Motorcycles Imo Flammable Powered","Norfolk, Va","Anvers","Germany","1","6619"
"HCNL21SEE0151000","31/08/2021","Bavarian Motors Cr S A","Bmw Ag","Bmw Service Batteries Wet","Norfolk, Va","Anvers","Germany","1","966"
"HCNL21SEE0150780","17/08/2021","Bavarian Motors Cr S A","Bmw Ag","Vehicle Motorcycle Class","Norfolk, Va","Anvers","Germany","1.5","6066"
"MOLU18002483069","16/08/2021","Bavarian Motors Cr S A","Bayerischemotoren Werke","Mini Cooper Tuerer Mini Cooper Hatch","New York/Newark Area, Newark, Nj","Zeebrugge","Belgium","0","2500"
"MOLU18002473116","16/08/2021","Bavarian Motors Cr S A","Bayerische Motoren Werke","Mini Cooper Tuerer","New York/Newark Area, Newark, Nj","Zeebrugge","Belgium","0","1340"
"MOLU18002471812","16/08/2021","Bavarian Motors Cr S A","Bayerische Motoren Werke","Unpacked Bmw Automobiles Tached Statement Freightprepaid","New York/Newark Area, Newark, Nj","Zeebrugge","Belgium","0","43586"
"HCNL21SEE0149859","23/07/2021","Bavarian Motors Cr S A","Bmw Ag","Vehicle Flammable Liquid Powered Mot","Norfolk, Va","Anvers","Germany","1","3054"
"MOLU18002307711","23/07/2021","Bavarian Motors Cr S A","Bayerische Motoren Werke","Mini Cooper Hatch Mini Cooper Atch","New York/Newark Area, Newark, Nj","Zeebrugge","Belgium","0","2560"
"MOLU18002297001","23/07/2021","Bavarian Motors Cr S A","Bayerische Motoren Werke","Unpacked Bmw Mini Automobiles Attached Statement","New York/Newark Area, Newark, Nj","Zeebrugge","Belgium","0","34877"
"HCNL21SEE0146602","12/07/2021","Bavarian Motors Cr S A","Bmw Ag","Motorcycle Vehicle Class","Norfolk, Va","Anvers","Germany","1.5","3838"
"HCNL21SEE0144285","04/07/2021","Bavarian Motors Cr S A","Bmw Ag","Motorcycle Engine Internal Combustion Class","Norfolk, Va","Caucedo","Germany","1","1514"
"HCNL21SEE0145314","18/06/2021","Bavarian Motors Cr S A","Bmw Ag","Bmw Service Safety Devices","Norfolk, Va","Anvers","Germany","1","1634"
"HCNL21SEE0144208","16/06/2021","Bavarian Motors Cr S A","Bmw Ag","Motorcycle Vehicle Flammable Liquid Powered","Charleston, Sc","Bremerhaven","Germany","1","5800"
"MOLU18002256609","14/06/2021","Bavarian Motors Cr S A","Bayerische Motoren Werke","Unpacked Bmw Automobiles Tached Statement","Baltimore, Md","Zeebrugge","Belgium","0","16835"
"HCNL21SEE0142603","08/06/2021","Bavarian Motors Cr S A","Bmw Ag","Bmw Service Wheels Tires","Norfolk, Va","Stadersand","Germany","1","4579"
"MOLU18002181520","25/05/2021","Bavarian Motors Cr S A","Bayerische Motoren Werke Aktienge","Mini Cooper Tuerer Mini Cooper Tuerer Mini Cooper Hatch Mini Cooper Hatch Mini Cooper Tuerer","New York/Newark Area, Newark, Nj","Zeebrugge","Belgium","0","6340"
"HCNL21SEE0142929","19/05/2021","Bavarian Motors Cr S A","Bmw Ag","Bmw Service Safety Devices","Norfolk, Va","Anvers","Germany","1","1897"
"HCNL21SEE0141029","08/05/2021","Bavarian Motors Cr S A","Bmw Ag","Bmw Service Safety Devices","Norfolk, Va","Anvers","Germany","1","939"
"MOLU18002048164","18/04/2021","Bavarian Motors Cr S A","Bayerische Motorenwerke Ag","Mini Cooper Tuerer Mini Cooper Tuere Mini Cooper Tuerer Mini Cooper Hatch","New York/Newark Area, Newark, Nj","Zeebrugge","Belgium","0","5170"
"MOLU18002031829","18/04/2021","Bavarian Motors Cr S A","Bayerische Motoren Werke","Unpacked Bmw Mini Automobiles Attached Statement","New York/Newark Area, Newark, Nj","Zeebrugge","Belgium","0","50171"
"HCNL21SEE0137749","05/04/2021","Bavarian Motors Cr S A","Bmw Ag","Motorcycle Engine Internal Combustion Cod","Norfolk, Va","Anvers","Germany","1","5852"
"HCNL21SEE0140080","05/04/2021","Bavarian Motors Cr S A","Bmw Ag","Motorcycle Engine Internal Combustion Flammab","Norfolk, Va","Anvers","Germany","1","3779"
