"Bol Number","Arrival Date","Company Name","Supplier Name","Product Description","Port Of Entry","Shipping Port","Supplier Country","TEU","Weight"
"EXDO6420068071","01/05/2022","Benteler Automotive Duncan Spartanburg Plant","Dtr Automotive Corp","Antivibration Automobile","Charleston, Sc","Pusan","Republic Of Korea","1.5","12297"
"EXDO6420068154","22/04/2022","Benteler Automotive Duncan Spartanburg Plant","Dtr Automotive Corp","Antivibration Automobile","Charleston, Sc","Pusan","Republic Of Korea","1","8941"
"EXDO6420068154","22/04/2022","Benteler Automotive Duncan Spartanburg Plant","Dtr Automotive Corp","Antivibration Automobile","Charleston, Sc","Pusan","Republic Of Korea","1","8941"
"EXDO6580032162","12/04/2022","Benteler Automotive Duncan Spartanburg Plant","Bmw Ag","Rear Axle Drive","New York, Ny","Stadersand","Germany","1","17156"
"EXDO6580032124","11/04/2022","Benteler Automotive Duncan Spartanburg Plant","Bmw Ag","Rear Axle Drive","Charleston, Sc","Bremerhaven","Germany","1.5","3959"
"EXDO6580032121","11/04/2022","Benteler Automotive Duncan Spartanburg Plant","Bmw Ag","Rear Axle Drive","Charleston, Sc","Bremerhaven","Germany","2","22622"
"EXDO6580032124","11/04/2022","Benteler Automotive Duncan Spartanburg Plant","Bmw Ag","Rear Axle Drive","Charleston, Sc","Bremerhaven","Germany","1.5","3959"
"EXDO6580032120","11/04/2022","Benteler Automotive Duncan Spartanburg Plant","Bmw Ag","Rear Axle Drive","Charleston, Sc","Bremerhaven","Germany","2","21387"
"EXDO6580032125","11/04/2022","Benteler Automotive Duncan Spartanburg Plant","Bmw Ag","Rear Axle Drive","Charleston, Sc","Bremerhaven","Germany","2","21563"
"EXDO6580032122","11/04/2022","Benteler Automotive Duncan Spartanburg Plant","Tpv Automotive D O O","Bmw Spurlekerlagerbock Left Right","Charleston, Sc","Bremerhaven","Germany","2","18622"
"EXDO6580032119","11/04/2022","Benteler Automotive Duncan Spartanburg Plant","Bmw Ag","Rear Axle Drive","Charleston, Sc","Bremerhaven","Germany","2","22931"
"EXDO6580032120","11/04/2022","Benteler Automotive Duncan Spartanburg Plant","Bmw Ag","Rear Axle Drive","Charleston, Sc","Bremerhaven","Germany","2","21387"
"EXDO6580032123","11/04/2022","Benteler Automotive Duncan Spartanburg Plant","Bmw Ag","Rear Axle Drive","Charleston, Sc","Bremerhaven","Germany","1","8743"
"EXDO6580032119","11/04/2022","Benteler Automotive Duncan Spartanburg Plant","Bmw Ag","Rear Axle Drive","Charleston, Sc","Bremerhaven","Germany","2","22931"
"EXDO6580032120","11/04/2022","Benteler Automotive Duncan Spartanburg Plant","Bmw Ag","Rear Axle Drive","Charleston, Sc","Bremerhaven","Germany","2","21387"
"EXDO6580032119","11/04/2022","Benteler Automotive Duncan Spartanburg Plant","Bmw Ag","Rear Axle Drive","Charleston, Sc","Bremerhaven","Germany","2","22931"
"EXDO6580032122","11/04/2022","Benteler Automotive Duncan Spartanburg Plant","Tpv Automotive D O O","Bmw Spurlekerlagerbock Left Right","Charleston, Sc","Bremerhaven","Germany","2","18622"
"EXDO6580032125","11/04/2022","Benteler Automotive Duncan Spartanburg Plant","Bmw Ag","Rear Axle Drive","Charleston, Sc","Bremerhaven","Germany","2","21563"
"EXDO6580032121","11/04/2022","Benteler Automotive Duncan Spartanburg Plant","Bmw Ag","Rear Axle Drive","Charleston, Sc","Bremerhaven","Germany","2","22622"
"EXDO6580032121","11/04/2022","Benteler Automotive Duncan Spartanburg Plant","Bmw Ag","Rear Axle Drive","Charleston, Sc","Bremerhaven","Germany","2","22622"
"EXDO6580032123","11/04/2022","Benteler Automotive Duncan Spartanburg Plant","Bmw Ag","Rear Axle Drive","Charleston, Sc","Bremerhaven","Germany","1","8743"
"EXDO6580032123","11/04/2022","Benteler Automotive Duncan Spartanburg Plant","Bmw Ag","Rear Axle Drive","Charleston, Sc","Bremerhaven","Germany","1","8743"
"EXDO6580032124","11/04/2022","Benteler Automotive Duncan Spartanburg Plant","Bmw Ag","Rear Axle Drive","Charleston, Sc","Bremerhaven","Germany","1.5","3959"
"EXDO6580032122","11/04/2022","Benteler Automotive Duncan Spartanburg Plant","Tpv Automotive D O O","Bmw Spurlekerlagerbock Left Right","Charleston, Sc","Bremerhaven","Germany","2","18622"
"EXDO6580032188","10/04/2022","Benteler Automotive Duncan Spartanburg Plant","Bmw Ag","Rear Axle Drive","Baltimore, Md","Stadersand","Germany","2","19818"
"EXDO6580032189","10/04/2022","Benteler Automotive Duncan Spartanburg Plant","Bmw Ag","Rear Axle Drive","Baltimore, Md","Stadersand","Germany","2","18417"
"EXDO6580032160","09/04/2022","Benteler Automotive Duncan Spartanburg Plant","Bmw Ag","Rear Axle Drive","Norfolk, Va","Bremerhaven","Germany","2","22348"
"EXDO6580032159","09/04/2022","Benteler Automotive Duncan Spartanburg Plant","Bmw Ag","Rear Axle Drive","Norfolk, Va","Bremerhaven","Germany","2","21093"
"EXDO6540083032","02/04/2022","Benteler Automotive Duncan Spartanburg Plant","Expeditors Intl Gmbh","","Charleston, Sc","Anvers","Belgium","1","13544"
"EXDO6540083032","02/04/2022","Benteler Automotive Duncan Spartanburg Plant","Expeditors Intl Gmbh","","Charleston, Sc","Anvers","Belgium","1","13544"
"EXDO6540083032","02/04/2022","Benteler Automotive Duncan Spartanburg Plant","Expeditors Intl Gmbh","","Charleston, Sc","Anvers","Belgium","1","13544"
"EXDO6540083032","02/04/2022","Benteler Automotive Duncan Spartanburg Plant","Expeditors Intl Gmbh","","Charleston, Sc","Anvers","Belgium","1","13544"
"EXDO6580032117","29/03/2022","Benteler Automotive Duncan Spartanburg Plant","Bmw Ag","Rear Axle Drive","Charleston, Sc","Bremerhaven","Germany","2","22014"
"EXDO6580032108","29/03/2022","Benteler Automotive Duncan Spartanburg Plant","Bmw Ag","Rear Axle Drive","Charleston, Sc","Bremerhaven","Germany","2","22817"
"EXDO6580032111","29/03/2022","Benteler Automotive Duncan Spartanburg Plant","Bmw Ag","Rear Axle Drive","Charleston, Sc","Bremerhaven","Germany","2","22346"
"EXDO6580032114","29/03/2022","Benteler Automotive Duncan Spartanburg Plant","Bmw Ag","Rear Axle Drive","Charleston, Sc","Bremerhaven","Germany","2","22212"
"EXDO6580032118","29/03/2022","Benteler Automotive Duncan Spartanburg Plant","Bmw Ag","Rear Axle Drive","Charleston, Sc","Bremerhaven","Germany","1.5","14411"
"EXDO6580032115","29/03/2022","Benteler Automotive Duncan Spartanburg Plant","Bmw Ag","Rear Axle Drive","Charleston, Sc","Bremerhaven","Germany","2","22839"
"EXDO6580032101","29/03/2022","Benteler Automotive Duncan Spartanburg Plant","Bmw Ag","Rear Axle Drive","Charleston, Sc","Bremerhaven","Germany","2","22563"
"EXDO6580032105","29/03/2022","Benteler Automotive Duncan Spartanburg Plant","Bmw Ag","Rear Axle Drive","Charleston, Sc","Bremerhaven","Germany","2","22662"
"EXDO6580032113","29/03/2022","Benteler Automotive Duncan Spartanburg Plant","Bmw Ag","Rear Axle Drive","Charleston, Sc","Bremerhaven","Germany","2","22454"
"EXDO6580031731","29/03/2022","Benteler Automotive Duncan Spartanburg Plant","Tpv Automotive D O O","Accessories Cars Clamp Holding","Charleston, Sc","Bremerhaven","Germany","1.5","9311"
"EXDO6580032116","29/03/2022","Benteler Automotive Duncan Spartanburg Plant","Bmw Ag","Rear Axle Drive","Charleston, Sc","Bremerhaven","Germany","2","21976"
"EXDO6580032118","29/03/2022","Benteler Automotive Duncan Spartanburg Plant","Bmw Ag","Rear Axle Drive","Charleston, Sc","Bremerhaven","Germany","1.5","14411"
"EXDO6580032104","29/03/2022","Benteler Automotive Duncan Spartanburg Plant","Bmw Ag","Rear Axle Drive","Charleston, Sc","Bremerhaven","Germany","2","23010"
"EXDO6580032109","29/03/2022","Benteler Automotive Duncan Spartanburg Plant","Bmw Ag","Rear Axle Dirve","Charleston, Sc","Bremerhaven","Germany","2","23015"
"EXDO6580032118","29/03/2022","Benteler Automotive Duncan Spartanburg Plant","Bmw Ag","Rear Axle Drive","Charleston, Sc","Bremerhaven","Germany","1.5","14411"
"EXDO6580032114","29/03/2022","Benteler Automotive Duncan Spartanburg Plant","Bmw Ag","Rear Axle Drive","Charleston, Sc","Bremerhaven","Germany","2","22212"
"EXDO6580032100","29/03/2022","Benteler Automotive Duncan Spartanburg Plant","Bmw Ag","Rear Axle Drive","Charleston, Sc","Bremerhaven","Germany","2","21896"
"EXDO6580032102","29/03/2022","Benteler Automotive Duncan Spartanburg Plant","Bmw Ag","Rear Axle Drive","Charleston, Sc","Bremerhaven","Germany","2","22097"
"EXDO6580032104","29/03/2022","Benteler Automotive Duncan Spartanburg Plant","Bmw Ag","Rear Axle Drive","Charleston, Sc","Bremerhaven","Germany","2","23010"
"EXDO6580032108","29/03/2022","Benteler Automotive Duncan Spartanburg Plant","Bmw Ag","Rear Axle Drive","Charleston, Sc","Bremerhaven","Germany","2","22817"
"EXDO6580032110","29/03/2022","Benteler Automotive Duncan Spartanburg Plant","Bmw Ag","Rear Axle Drive","Charleston, Sc","Bremerhaven","Germany","2","22520"
"EXDO6580032100","29/03/2022","Benteler Automotive Duncan Spartanburg Plant","Bmw Ag","Rear Axle Drive","Charleston, Sc","Bremerhaven","Germany","2","21896"
"EXDO6580032105","29/03/2022","Benteler Automotive Duncan Spartanburg Plant","Bmw Ag","Rear Axle Drive","Charleston, Sc","Bremerhaven","Germany","2","22662"
"EXDO6580032113","29/03/2022","Benteler Automotive Duncan Spartanburg Plant","Bmw Ag","Rear Axle Drive","Charleston, Sc","Bremerhaven","Germany","2","22454"
"EXDO6580032116","29/03/2022","Benteler Automotive Duncan Spartanburg Plant","Bmw Ag","Rear Axle Drive","Charleston, Sc","Bremerhaven","Germany","2","21976"
"EXDO6580032115","29/03/2022","Benteler Automotive Duncan Spartanburg Plant","Bmw Ag","Rear Axle Drive","Charleston, Sc","Bremerhaven","Germany","2","22839"
"EXDO6580032115","29/03/2022","Benteler Automotive Duncan Spartanburg Plant","Bmw Ag","Rear Axle Drive","Charleston, Sc","Bremerhaven","Germany","2","22839"
"EXDO6580032112","29/03/2022","Benteler Automotive Duncan Spartanburg Plant","Bmw Ag","Rear Axle Drive","Charleston, Sc","Bremerhaven","Germany","2","20805"
"EXDO6580032116","29/03/2022","Benteler Automotive Duncan Spartanburg Plant","Bmw Ag","Rear Axle Drive","Charleston, Sc","Bremerhaven","Germany","2","21976"
"EXDO6580032106","29/03/2022","Benteler Automotive Duncan Spartanburg Plant","Bmw Ag","Rear Axle Drive","Charleston, Sc","Bremerhaven","Germany","2","21961"
"EXDO6580032107","29/03/2022","Benteler Automotive Duncan Spartanburg Plant","Bmw Ag","Rear Axle Drive","Charleston, Sc","Bremerhaven","Germany","2","21847"
"EXDO6580032109","29/03/2022","Benteler Automotive Duncan Spartanburg Plant","Bmw Ag","Rear Axle Dirve","Charleston, Sc","Bremerhaven","Germany","2","23015"
"EXDO6580031731","29/03/2022","Benteler Automotive Duncan Spartanburg Plant","Tpv Automotive D O O","Accessories Cars Clamp Holding","Charleston, Sc","Bremerhaven","Germany","1.5","9311"
"EXDO6580032102","29/03/2022","Benteler Automotive Duncan Spartanburg Plant","Bmw Ag","Rear Axle Drive","Charleston, Sc","Bremerhaven","Germany","2","22097"
"EXDO6580032103","29/03/2022","Benteler Automotive Duncan Spartanburg Plant","Bmw Ag","Rear Axle Drive","Charleston, Sc","Bremerhaven","Germany","2","22890"
"EXDO6580032106","29/03/2022","Benteler Automotive Duncan Spartanburg Plant","Bmw Ag","Rear Axle Drive","Charleston, Sc","Bremerhaven","Germany","2","21961"
"EXDO6580032107","29/03/2022","Benteler Automotive Duncan Spartanburg Plant","Bmw Ag","Rear Axle Drive","Charleston, Sc","Bremerhaven","Germany","2","21847"
"EXDO6580032112","29/03/2022","Benteler Automotive Duncan Spartanburg Plant","Bmw Ag","Rear Axle Drive","Charleston, Sc","Bremerhaven","Germany","2","20805"
"EXDO6580032114","29/03/2022","Benteler Automotive Duncan Spartanburg Plant","Bmw Ag","Rear Axle Drive","Charleston, Sc","Bremerhaven","Germany","2","22212"
"EXDO6580032116","29/03/2022","Benteler Automotive Duncan Spartanburg Plant","Bmw Ag","Rear Axle Drive","Charleston, Sc","Bremerhaven","Germany","2","21976"
"EXDO6580032117","29/03/2022","Benteler Automotive Duncan Spartanburg Plant","Bmw Ag","Rear Axle Drive","Charleston, Sc","Bremerhaven","Germany","2","22014"
"EXDO6580032117","29/03/2022","Benteler Automotive Duncan Spartanburg Plant","Bmw Ag","Rear Axle Drive","Charleston, Sc","Bremerhaven","Germany","2","22014"
"EXDO6580032118","29/03/2022","Benteler Automotive Duncan Spartanburg Plant","Bmw Ag","Rear Axle Drive","Charleston, Sc","Bremerhaven","Germany","1.5","14411"
"EXDO6580032103","29/03/2022","Benteler Automotive Duncan Spartanburg Plant","Bmw Ag","Rear Axle Drive","Charleston, Sc","Bremerhaven","Germany","2","22890"
"EXDO6580032111","29/03/2022","Benteler Automotive Duncan Spartanburg Plant","Bmw Ag","Rear Axle Drive","Charleston, Sc","Bremerhaven","Germany","2","22346"
"EXDO6580032112","29/03/2022","Benteler Automotive Duncan Spartanburg Plant","Bmw Ag","Rear Axle Drive","Charleston, Sc","Bremerhaven","Germany","2","20805"
"EXDO6580032115","29/03/2022","Benteler Automotive Duncan Spartanburg Plant","Bmw Ag","Rear Axle Drive","Charleston, Sc","Bremerhaven","Germany","2","22839"
"EXDO6580032117","29/03/2022","Benteler Automotive Duncan Spartanburg Plant","Bmw Ag","Rear Axle Drive","Charleston, Sc","Bremerhaven","Germany","2","22014"
"EXDO6580032101","29/03/2022","Benteler Automotive Duncan Spartanburg Plant","Bmw Ag","Rear Axle Drive","Charleston, Sc","Bremerhaven","Germany","2","22563"
"EXDO6580032110","29/03/2022","Benteler Automotive Duncan Spartanburg Plant","Bmw Ag","Rear Axle Drive","Charleston, Sc","Bremerhaven","Germany","2","22520"
"EXDO6580032113","29/03/2022","Benteler Automotive Duncan Spartanburg Plant","Bmw Ag","Rear Axle Drive","Charleston, Sc","Bremerhaven","Germany","2","22454"
"EXDO6580032113","29/03/2022","Benteler Automotive Duncan Spartanburg Plant","Bmw Ag","Rear Axle Drive","Charleston, Sc","Bremerhaven","Germany","2","22454"
"EXDO6580032114","29/03/2022","Benteler Automotive Duncan Spartanburg Plant","Bmw Ag","Rear Axle Drive","Charleston, Sc","Bremerhaven","Germany","2","22212"
"EXDO6580032112","29/03/2022","Benteler Automotive Duncan Spartanburg Plant","Bmw Ag","Rear Axle Drive","Charleston, Sc","Bremerhaven","Germany","2","20805"
"EXDO6580032160","15/03/2022","Benteler Automotive Duncan Spartanburg Plant","Bmw Ag","Rear Axle Drive","New York, Ny","Bremerhaven","Germany","2","22348"
"EXDO6580032159","15/03/2022","Benteler Automotive Duncan Spartanburg Plant","Bmw Ag","Rear Axle Drive","New York, Ny","Bremerhaven","Germany","2","21093"
