"Bol Number","Arrival Date","Company Name","Supplier Name","Product Description","Port Of Entry","Shipping Port","Supplier Country","TEU","Weight"
"BWLESHA306281264","30/03/2023","Gestamp South Carolina","Benteler Automotive Chongqing Co","Front Sidemember Inner Front Sidemember Inner Front Sidemember Inner Front Sidemember Inner Front Sidemember Inner Front Sidemember Inner","Charleston, Sc","Shanghai","China","4.5","31896"
"EXDO6420077523","30/03/2023","Benteler Automotive Corp","Dn Automotive Corp","Antivibration Automobile","Charleston, Sc","Pusan","Republic Of Korea","1","6573"
"EXDO6420077524","30/03/2023","Benteler Automotive Corp","Dn Automotive Corp","Antivibration Automobile","Charleston, Sc","Pusan","Republic Of Korea","1.5","9790"
"CMDUTSZS716076B","29/03/2023","Benteler Automotive Corp","Citic Dicastal Co Ltd","Aluminuim Knuckle Assembly Ramp Mpl Dicastallg Robrien Gtmusa Miranda Cady Mcady Gtmusa Annabelle Dunford Adunford Gtmusa Greg Gomoluch Ggomoluch Dicastalna Marysvillearrivals Dicastallg Direct Also Dlg International Square Drive Suite Marysville Ext Mpl Dicastallg","Long Beach, Ca","Tianjin","China","1.5","14918"
"EXDO6560080550","27/03/2023","Benteler Automotive Corp","Bmw Ag","Disc Brakes","Charleston, Sc","Bremerhaven","Germany","2","22753"
"EXDO6850042151","27/03/2023","Benteler Automotive Corp","Continental Automotive System","","Charleston, Sc","Bremerhaven","Germany","1","12838"
"EXDO6560080551","27/03/2023","Benteler Automotive Corp","Bmw Ag","Disc Brakes","Charleston, Sc","Bremerhaven","Germany","2","21010"
"EXDO6560080548","27/03/2023","Benteler Automotive Corp","Bmw Ag","Disc Brakes","Charleston, Sc","Bremerhaven","Germany","2","22753"
"EXDO6560080553","27/03/2023","Benteler Automotive Corp","Bmw Ag","Disc Brakes","Charleston, Sc","Bremerhaven","Germany","2","23621"
"EXDO617531832","27/03/2023","Benteler Automotive Corp","Femalk Zrt","Aluminium","Charleston, Sc","Bremerhaven","Germany","1.5","3481"
"EXDO6560080554","27/03/2023","Benteler Automotive Corp","Bmw Ag","Disc Brakes","Charleston, Sc","Bremerhaven","Germany","2","18812"
"EXDO6560080552","27/03/2023","Benteler Automotive Corp","Bmw Ag","Disc Brakes","Charleston, Sc","Bremerhaven","Germany","2","22753"
"EXDO6540093602","27/03/2023","Benteler Automotive Corp","Saxonia Franke Gmbh & Co","Automotive Automotive Automotive Automotive Automotive Automotive Automotive","Charleston, Sc","Anvers","Belgium","1.5","10188"
"EXDO6560080549","27/03/2023","Benteler Automotive Corp","Bmw Ag","Disc Brakes","Charleston, Sc","Bremerhaven","Germany","2","23345"
