"Bol Number","Arrival Date","Company Name","Supplier Name","Product Description","Port Of Entry","Shipping Port","Supplier Country","TEU","Weight"
"NYKS700009476","24/03/2023","Bmw Asia Pte Ltd","Bmw Slp S A De C V","Unpacked Bmw Automobiles Asper Attached Statement","Long Beach, Ca","Lazaro Cardenas","Mexico","0","41515"
"NYKS700009429","25/02/2023","Bmw Asia Pte Ltd","Bmw Ag","Unpacked Bmw Automobiles Asper Attached Statement","San Diego, Ca","Lazaro Cardenas","Mexico","0","32120"
"NYKS700009369","17/02/2023","Bmw Asia Pte Ltd","Bmw Ag","Unpacked Bmw Automobiles Asper Attached Statement","Port Hueneme, Ca","Lazaro Cardenas","Mexico","0","83730"
"NYKS700009326","28/12/2022","Bmw Asia Pte Ltd","Bmw Ag","Unpacked Bmw Automobiles Asper Attached Statement","Port Hueneme, Ca","Lazaro Cardenas","Mexico","0","48165"
"NYKS700009224","03/11/2022","Bmw Asia Pte Ltd","Bmw Ag","Unpacked Bmw Automobiles Attached Statement","Long Beach, Ca","Lazaro Cardenas","Mexico","0","116800"
"NYKS700009072","29/07/2022","Bmw Asia Pte Ltd","Bmw Ag","Unpacked Bmw Automobiles Attached Statement","San Diego, Ca","Lazaro Cardenas","Mexico","0","14085"
"NYKS700008996","23/06/2022","Bmw Asia Pte Ltd","Bmw Ag","Unpacked Bmw Automobiles Attached Statement","Long Beach, Ca","Lazaro Cardenas","Mexico","0","125805"
"NYKS700008895","01/05/2022","Bmw Asia Pte Ltd","Bmw Ag","Unpacked Bmw Automobiles Attached Statement","Port Hueneme, Ca","Lazaro Cardenas","Mexico","0","37760"
"NYKS700008842","27/03/2022","Bmw Asia Pte Ltd","Bmw Ag","Unpacked Bmw Automobiles Perattached Statement","Long Beach, Ca","Lazaro Cardenas","Mexico","0","9390"
"NYKS700008801","23/02/2022","Bmw Asia Pte Ltd","Bmw Ag","Unpacked Bmw Automobiles Attached Statement","Long Beach, Ca","Lazaro Cardenas","Mexico","0","179220"
