"Bol Number","Arrival Date","Company Name","Supplier Name","Product Description","Port Of Entry","Shipping Port","Supplier Country","TEU","Weight"
"HLCULIV230274551","20/03/2023","Spa Bmw Manufacturing Corp","Bmw Hamms","Engines","Charleston, Sc","Coryton","United Kingdom","36","357396"
"HLCULIV230250558","14/03/2023","Spa Bmw Manufacturing Corp","Bmw Hams Hall Canton","Engines","Charleston, Sc","Coryton","United Kingdom","36","356724"
"DMCQ23HKG0027548","12/03/2023","Bmw Manufacturing Corp","Sumida Components & Modules Gmbh C/O Dachser Hong Kong Limited","Electronics Components Transformershs Plywoodsumida Supplier","Long Beach, Ca","Shanghai","China","1.5","320"
"DMCQ23HKG0027613","12/03/2023","Bmw Manufacturing Corp","Sumida Components & Modules Gmbh C/O Dachser Hong Kong Limited","Electronics Components Transformershs Plywoodsumida Supplier","Long Beach, Ca","Shanghai","Hong Kong","1.5","160"
"DMCQ23HKG0027645","12/03/2023","Bmw Manufacturing Corp","Sumida Components & Modules Gmbh C/O Dachser Hong Kong Limited","Electronics Components Transformers","Los Angeles, Ca","Hong Kong","Hong Kong","1.5","160"
"DMCQ23HKG0027618","12/03/2023","Bmw Manufacturing Corp","Sumida Components & Modules Gmbh C/O Dachser Hong Kong Limited","Electronics Components Transformers","Long Beach, Ca","Shanghai","Hong Kong","1.5","160"
"DMCQ23HKG0027594","12/03/2023","Bmw Manufacturing Corp","Sumida Components & Modules Gmbh C/O Dachser Hong Kong Limited","Electronics Components Transformers","Long Beach, Ca","Shanghai","China","1.5","160"
"DMCQ23MHG0087096","07/03/2023","Bmw Manufacturing Corp","Langer Gmbh & Co","Automotiveparts","Charleston, Sc","Stadersand","Germany","1","250"
"HLCULIV230229564","07/03/2023","Spa Bmw Manufacturing Corp","Bmw Hams Hall Canton","Engines","Charleston, Sc","Coryton","United Kingdom","36","356724"
"HLCULIV230209265","26/02/2023","Spa Bmw Manufacturing Corp","Bmw Hams Hall Canton","Engines","Charleston, Sc","Coryton","United Kingdom","52","515940"
"HLCULIV230185150","20/02/2023","Spa Bmw Manufacturing Corp","Bmw Hams Hall Canton","Engines","Charleston, Sc","Coryton","United Kingdom","36","357396"
"HLCULIV230158540","15/02/2023","Spa Bmw Manufacturing Corp","Bmw Hams Hall Canton","Engines","Charleston, Sc","Coryton","United Kingdom","38","376542"
"DMCQ22MHG0086822","15/02/2023","Bmw Manufacturing Corp","Langer Gmbh & Co","Automotive","Charleston, Sc","Stadersand","Germany","1.5","3274"
"HLCULIV230117023","29/01/2023","Spa Bmw Manufacturing Corp","Bmw Hams Hall Canton","Engines Engines Engines","Charleston, Sc","Coryton","United Kingdom","42","436956"
"HLCULIV221238361","13/01/2023","Spa Bmw Manufacturing Corp","Bmw Hams Hall Canton","Engines Engines Engines","Charleston, Sc","Coryton","United Kingdom","50","535470"
"DMCQ22NUE0109640","29/12/2022","Bmw Manufacturing Corp","Ifsys Integrated Feeding Systems Gm","Feeding System Screw","Savannah, Ga","Bremerhaven","Germany","3","9000"
"DMCQ22FMO0202342","27/12/2022","Bmw Manufacturing Corp","Wefapress Beck & Co","Finished Out Polyethylene","Charleston, Sc","Stadersand","Germany","1.5","4005"
"HLCULIV221212435","27/12/2022","Spa Bmw Manufacturing Corp","Bmw Hams Hall Canton","Engines","Charleston, Sc","Coryton","United Kingdom","52","515268"
"HLCULIV221199649","20/12/2022","Spa Bmw Manufacturing Corp","Bmw Hams Hall Canton","Engines","Charleston, Sc","Coryton","United Kingdom","44","435996"
"HLCULIV221199649","20/12/2022","Spa Bmw Manufacturing Corp","Bmw Hams Hall Canton","Engines","Charleston, Sc","Coryton","United Kingdom","44","435996"
"HLCULIV221199649","20/12/2022","Spa Bmw Manufacturing Corp","Bmw Hams Hall Canton","Engines","Charleston, Sc","Coryton","United Kingdom","44","435996"
"DMCQ22SEE0191683","12/12/2022","Bmw Manufacturing Corp","Bmw Ag","Board Palletsend Frame Board Palletshs","Charleston, Sc","Stadersand","Germany","1.5","450"
"HLCULIV221147484","07/12/2022","Spa Bmw Manufacturing Corp","Bmw Hams Hall Canton","Engines Tare","Charleston, Sc","Coryton","United Kingdom","26","257634"
"HLCULIV221147484","07/12/2022","Spa Bmw Manufacturing Corp","Bmw Hams Hall Canton","Engines Tare","Charleston, Sc","Coryton","United Kingdom","26","257634"
"HLCULIV221118115","07/12/2022","Spa Bmw Manufacturing Corp","Bmw Hams Hall Canton","Engines","Charleston, Sc","Coryton","United Kingdom","38","377214"
"HCNL22SEE0189667","24/11/2022","Bmw Manufacturing Corp","Bmw Ag","Board Board Board Board Board","New York/Newark Area, Newark, Nj","Stadersand","Germany","1.5","4597"
"HCNL22SEE0189667","24/11/2022","Bmw Manufacturing Corp","Bmw Ag","Board Board Board Board Board","New York/Newark Area, Newark, Nj","Stadersand","Germany","1.5","4597"
"HLCULIV221095204","22/11/2022","Spa Bmw Manufacturing Corp","Bmw Hams Hall Canton","Engines","Charleston, Sc","Coryton","United Kingdom","56","555576"
"HLCULIV221081006","16/11/2022","Spa Bmw Manufacturing Corp","Bmw Hams Hall Canton","Engines Engines Engines","Charleston, Sc","Coryton","United Kingdom","22","220239"
"HLCULIV221097718","09/11/2022","Spa Bmw Manufacturing Corp","Bmw Hams Hall Canton","Engines","Charleston, Sc","Coryton","United Kingdom","2","19818"
"HLCULIV220966510","09/11/2022","Spa Bmw Manufacturing Corp","Bmw Hams Hall Canton","Engines Motor Vehicle Engines","Charleston, Sc","Coryton","United Kingdom","6","59454"
"HLCULIV221053068","09/11/2022","Spa Bmw Manufacturing Corp","Bmw Hams Hall Canton","Engines Engines Engines","Charleston, Sc","Coryton","United Kingdom","30","317472"
"HLCUHAM221007925","03/11/2022","Bmw Manufacturing Corp","Bmw Ag","Bmw Automotive","Charleston, Sc","Stadersand","Germany","20","205475"
"HLCUHAM221008051","03/11/2022","Bmw Manufacturing Corp","Bmw Ag","Bmw Automotive","Charleston, Sc","Stadersand","Germany","4","41608"
"PUSJVIECHSM00530","03/11/2022","Bmw Manufacturing Corp","Zkw Slovakia S R O","Automotive Lamps","Charleston, Sc","Stadersand","Germany","2","12602"
"HLCULIV221039072","03/11/2022","Spa Bmw Manufacturing Corp","Bmw Hams Hall Canton","Engines","Charleston, Sc","Coryton","United Kingdom","28","279564"
"HLCUHAM2209BTAR1","03/11/2022","Bmw Manufacturing Corp","Zf Friedrichshafen Ag","Bmw Automotive","Charleston, Sc","Anvers","Germany","46","459241"
"HLCUHAM2208CDGU4","03/11/2022","Bmw Manufacturing Corp","Bmw Ag","Bmw Automotive Bmw Automotive Bmw Automotive Bmw Automotive Bmw Automotive Bmw Automotive Bmw Automotive Bmw Automotive Bmw Automotive Bmw Automotive Bmw Automotive Bmw Automotive Bmw Automotive Bmw Automotive Bmw Automotive Bmw Automotive Bmw Automotive Bmw Automotive Bmw Automotive Bmw Automotive Bmw Automotive Bmw Automotive Bmw Automotive Bmw Automotive Bmw Automotive Bmw Automotive Bmw Automotive Bmw Automotive Bmw Automotive Bmw Automotive Bmw Automotive Bmw Automotive Bmw Automotive Bmw Automotive Bmw Automotive Bmw Automotive Bmw Automotive Bmw Automotive Bmw Automotive Bmw Automotive Bmw Automotive Bmw Automotive Bmw Automotive Bmw Automotive Bmw Automotive Bmw Automotive Bmw Automotive Bmw Automotive Bmw Automotive Bmw Automotive","Charleston, Sc","Stadersand","Germany","10.5","58068"
