"Bol Number","Arrival Date","Company Name","Supplier Name","Product Description","Port Of Entry","Shipping Port","Supplier Country","TEU","Weight"
"NYKS700009222","04/11/2022","Bmw Of North America Inc","Bmw Ag","Units","Port Hueneme, Ca","Lazaro Cardenas","Mexico","0","1246385"
"NYKS500026721","04/11/2022","Bmw Of North America Inc","Bmw Ag","Unpacked Bmw Automobiles Attached Statement Shipped Board Waybill","Port Hueneme, Ca","Bremerhaven","Germany","0","721078"
"NYKS500026811","04/11/2022","Bmw Of North America Inc","Bmw Ag","Unpacked Mini Automobiles Attached Statement Shipped Board Waybill","Port Hueneme, Ca","Zeebrugge","Belgium","0","161625"
"NYKS550014117","04/11/2022","Bmw Of North America Inc","Bayerische Motoren Werke Ag","Unpacked Mini Automobiles Attached Statement Shipped Board","Port Hueneme, Ca","Hamble","United Kingdom","0","257757"
"NYKS550014128","04/11/2022","Bmw Of North America Inc","Rolls Royce Motor Cars Dept Ur F","Unpacked Rolls Royce Rollsroyce Cullinan Slatv Slatv Slatv Rolls Royce Cullinan Black Badge Slatv Slatv Slatv Slatv Slatv Xpu Slatv Rolls Royce Ghost Scatv Scatv Rolls Royce Ghost Extended Wheelbase Scatv Shipped Board","Port Hueneme, Ca","Hamble","United Kingdom","0","33136"
"NYKS500026810","04/11/2022","Bmw Of North America Inc","Bmw Ag","Unpacked Bmw Automobiles Attached Statement Shipped Board Waybill","Port Hueneme, Ca","Zeebrugge","Belgium","0","701186"
"NYKS500026804","27/10/2022","Bmw Of North America Inc","Bmw Ag","Unpacked Mini Automobiles Attached Statement Shipped Board Waybill","Port Hueneme, Ca","Bremerhaven","Germany","0","1387"
"GDSLS322870530","27/10/2022","Bmw Of North America Inc","Bayerische Motoren Werke","Unpacked Vehicle Sbmw Coupe Bmw Xdrive Cabrio Bmw Xdrive Cabrio Bmw Xdrive Cabrio Bmw Xdrive Coupe Bmw Xdrive Coupe Bmw Xdrive Coupe Bmw Xdrive Coupe Bmw Xdrive Coupe Bmw Xdrive Coupe Bmw Xdrive Coupe Bmw Xdrive Coupe Bmw Xdrive Coupe Bmw Xdrive Coupe Bmw Xdrive Coupe Bmw Xdrive Coupe Bmw Xdrive Limousine Bmw Xdrive Limousine Bmw Xdrive Limousine Bmw Xdrive Limousine Bmw Xdrive Limousine Bmw Xdrive Limousine Bmw Xdrive Limousine Bmw Limousine Bmw Xdrive Limousine Bmw Xdrive Limousine Bmw Xdrive Limousine Bmw Xdrive Limousine Bmw Xdrive Limousine Bmw Xdrive Limousine Bmw Xdrive Limousine Bmw Xdrive Limousine Bmw Xdrive Limousine Bmw Xdrive Limousine Bmw Xdrive Limousine Bmw Xdrive Limousine Bmw Xdrive Limousine Bmw Xdrive Limousine Bmw Xdrive Limousine Bmw Xdrive Limousine Bmw Xdrive Limousine Bmw Xdrive Limousine Bmw Xdrive Limousine Bmw Xdrive Limousine Bmw Xdrive Limousine Bmw Xdrive Limousine Bmw Xdrive Limousine Bmw Xdrive Limousine Bmw Xdrive Limousine Bmw Xdrive Limousine Bmw Xdr","New York/Newark Area, Newark, Nj","Zeebrugge","Belgium","0","185823"
"NYKS550014083","27/10/2022","Bmw Of North America Inc","Bayerische Motoren Werke Ag","Unpacked Mini Automobiles Attached Statement Shipped Board","Port Hueneme, Ca","Hamble","United Kingdom","0","221462"
"NYKS500026704","27/10/2022","Bmw Of North America Inc","Bmw Ag","Unpacked Bmwautomobiles Attached Statement Shipped Board Waybill","Port Hueneme, Ca","Zeebrugge","Belgium","0","1654679"
