"Bol Number","Arrival Date","Company Name","Supplier Name","Product Description","Port Of Entry","Shipping Port","Supplier Country","TEU","Weight"
"DMCQ23SHA0155967","30/03/2023","Comprehensive Logistics Co Inc","Qinhuangdao Wkw Automotive Parts Co","Automotive Exterior Decorative","Charleston, Sc","Qingdao","China","1.5","6960"
"DMCQ23SHA0155965","30/03/2023","Comprehensive Logistics Co Inc","Qinhuangdao Wkw Automotive Parts Co","Automotive Exterior Decorative","Charleston, Sc","Qingdao","China","1.5","3200"
"PYMNSHA237009659","26/03/2023","Comprehensive Logistics","Te Connectivity H K Ltd","Antenna Antenna Module Assy","New York/Newark Area, Newark, Nj","Shanghai","China","1","356"
"BANQ1051266057","26/03/2023","Comprehensive Logistics Co Llc","Holz Wastl Handelsgesellschaft M","Colli Consisting Cardboards Parcel Shelf Bmw Proforma Ddp Duncan Colli Consisting Cardboards Parcel Shelf Bmw Proforma Ddp Duncan","Charleston, Sc","Stadersand","Germany","3","13974"
"PYMNSHA237009173","18/03/2023","Comprehensive Logistics","Te Connectivity H K Ltd","Antenna Antenna Module Assy","New York/Newark Area, Newark, Nj","Shanghai","China","1.5","156"
"EXDO615675897","17/03/2023","Comprehensive Logistics Cli York B","Shanghai Heiqiao Engineering Techno","Helix Triple Clamps","New York/Newark Area, Newark, Nj","Pusan","China","1.5","880"
"BANQ1051015645","14/03/2023","Comprehensive Logistics Co Llc","Holz Wastl Handelsgesellschaft M","Colli Consisting Cardboards Parcel Shelf Bmw Proforma Ddp Duncan","Charleston, Sc","Stadersand","Germany","1.5","6754"
"PYMNSHA237008690","13/03/2023","Comprehensive Logistics","Te Connectivity H K Ltd","Antenna Antenna Module Assy","New York/Newark Area, Newark, Nj","Shanghai","China","1.5","368"
"HLCUHAM2301APQB0","07/03/2023","Comprehensive Logistics","Bmw Ag","Bmw Automotive","Charleston, Sc","Stadersand","Germany","1.5","3158"
"BANQ1051015473","02/03/2023","Comprehensive Logistics Co Llc","Holz Wastl Handelsgesellschaft M","Colli Consisting Cardboards Parcel Shelf Bmw Proforma Ddp Duncan Colli Consisting Cardboards Parcel Shelf Bmw Proforma Ddp Duncan","Charleston, Sc","Stadersand","Germany","3","13409"
"BANQ1050890314","27/02/2023","Comprehensive Logistics Co Llc","Holz Wastl Handelsgesellschaft M","Colli Consisting Cardboards Parcel Shelf Bmw Proforma Ddp Duncan","Charleston, Sc","Stadersand","Germany","1.5","7204"
"BANQ1050890314","27/02/2023","Comprehensive Logistics Co Llc","Holz Wastl Handelsgesellschaft M","Colli Consisting Cardboards Parcel Shelf Bmw Proforma Ddp Duncan","Charleston, Sc","Stadersand","Germany","1.5","7204"
"HLCUHAM2301APKM2","26/02/2023","Comprehensive Logistics","Bmw Ag","Bmw Automotive","Charleston, Sc","Stadersand","Germany","1.5","3470"
"BANQ1050890199","21/02/2023","Comprehensive Logistics Co Llc","Holz Wastl Handelsgesellschaft M","Colli Consisting Cardboards Parcel Shelf Bmw Proforma Ddp Duncan Colli Consisting Cardboards Parcel Shelf Bmw Proforma Ddp Duncan","Charleston, Sc","Stadersand","Germany","2","13477"
