Bol Number;Arrival Date;Company Name;Supplier Name;Product Description;Port Of Entry;Shipping Port;Supplier Country;TEU;Weight
PYRDBKK206498291;19.10.20;Arrow Msft Ffs C/O Microsoft Ffs Whse;Hgst Thailand Ltd;Hard Magnetic Disk Drive;Los Angeles, Ca;Shekou;Thailand;1,5;11630
PYRDBKK206495011;01.10.20;Arrow Msft Ffs C/O Microsoft Ffs Whse;Hgst Thailand Ltd;Hard Magnetic Disk Drive;Los Angeles, Ca;Laem Chabang;Thailand;1;7270
PYRDBKK206491380;12.08.20;Arrow Msft Ffs C/O Microsoft Ffs Whse;Hgst Thailand Ltd;Hard Magnetic Disk Drive;Los Angeles, Ca;Laem Chabang;Thailand;2;19173
PYRDBKK206490165;04.08.20;Arrow Msft Ffs C/O Microsoft Ffs Whse;Hgst Thailand Ltd;Hard Magnetic Disk Drive;Long Beach, Ca;Laem Chabang;Thailand;1;5660
PYRDBKK206487158;23.06.20;Arrow Msft Ffs C/O Microsoft Ffs Whse;Hgst Thailand Ltd;Data Storage Devices;Los Angeles, Ca;Yantian;Thailand;1,5;17478
PYRDBKK206486929;23.06.20;Arrow Msft Ffs C/O Microsoft Ffs Whse;Hgst Thailand Ltd;Data Storage Devices;Los Angeles, Ca;Yantian;Thailand;1,5;17163
PYRDBKK206486846;23.06.20;Arrow Msft Ffs C/O Microsoft Ffs Whse;Hgst Thailand Ltd;Data Storage Devices;Los Angeles, Ca;Yantian;Thailand;2;18011
PYRDBKK206486345;15.06.20;Arrow Msft Ffs C/O Microsoft Ffs Whse;Hgst Thailand Ltd;Data Storage Devices;Los Angeles, Ca;Yantian;Thailand;2;18042
PYRDBKK206486401;15.06.20;Arrow Msft Ffs C/O Microsoft Ffs Whse;Hgst Thailand Ltd;Data Storage Devices;Los Angeles, Ca;Yantian;Thailand;2;18042
PYRDBKK206486655;14.06.20;Arrow Msft Ffs C/O Microsoft Ffs Whse;Hgst Thailand Ltd;Data Storage Devices;Los Angeles, Ca;Yantian;Thailand;2;17698
PYRDBKK206486612;14.06.20;Arrow Msft Ffs C/O Microsoft Ffs Whse;Hgst Thailand Ltd;Data Storage Devices;Los Angeles, Ca;Yantian;Thailand;2;17921
PYRDBKK206486656;14.06.20;Arrow Msft Ffs C/O Microsoft Ffs Whse;Hgst Thailand Ltd;Data Storage Devices;Los Angeles, Ca;Yantian;Thailand;2;17697
PYRDBKK206486611;14.06.20;Arrow Msft Ffs C/O Microsoft Ffs Whse;Hgst Thailand Ltd;Data Storage Devices;Los Angeles, Ca;Yantian;Thailand;1;5554
PYRDBKK206484920;26.05.20;Arrow Msft Ffs C/O Microsoft Ffs Whse;Hgst Thailand Ltd;Data Storage Devices;Long Beach, Ca;Laem Chabang;Thailand;1,5;11620
PYRDBKK206484920;26.05.20;Arrow Msft Ffs C/O Microsoft Ffs Whse;Hgst Thailand Ltd;Data Storage Devices;Long Beach, Ca;Laem Chabang;Thailand;1,5;11620
PYRDBKK206485148;21.05.20;Arrow Msft Ffs C/O Microsoft Ffs Whse;Hgst Thailand Ltd;Data Storage Devices;Los Angeles, Ca;Laem Chabang;Thailand;1;11637
PYRDBKK206485147;21.05.20;Arrow Msft Ffs C/O Microsoft Ffs Whse;Hgst Thailand Ltd;Data Storage Devices;Los Angeles, Ca;Laem Chabang;Thailand;1;11300
PYRDBKK206485149;21.05.20;Arrow Msft Ffs C/O Microsoft Ffs Whse;Hgst Thailand Ltd;Data Storage Devices;Los Angeles, Ca;Laem Chabang;Thailand;1;4859
PYRDBKK206484526;19.05.20;Arrow Msft Ffs C/O Microsoft Ffs Whse;Hgst Thailand Ltd;Data Storage Devices;Long Beach, Ca;Laem Chabang;Thailand;1;8541
PYRDBKK206484303;19.05.20;Arrow Msft Ffs C/O Microsoft Ffs Whse;Hgst Thailand Ltd;Data Storage Devices;Long Beach, Ca;Laem Chabang;Thailand;1;9447
PYRDBKK206484304;19.05.20;Arrow Msft Ffs C/O Microsoft Ffs Whse;Hgst Thailand Ltd;Data Storage Devices;Long Beach, Ca;Laem Chabang;Thailand;1;11620
PYRDBKK206484305;19.05.20;Arrow Msft Ffs C/O Microsoft Ffs Whse;Hgst Thailand Ltd;Data Storage Devices;Long Beach, Ca;Laem Chabang;Thailand;1;11600
EXDO6360016524;09.03.22;Commscope Connectivity Solutions;Microsoft Data Center Chile Ltda;Computer;Houston, Tx;Cartagena;Chile;1;3425
CHSL294346429TAO;10.06.19;Consignee Microsoft Corp C;Fugang Electric Xuzhou Co Ltd;Wireless Controller Xbox Acc Sda Hardware Wireless Controller Xbox Acc Sda Hardware;Los Angeles, Ca;Qingdao;China;1;2006
EXDO6430328673;26.07.20;Flex El Paso Us Rc;Microsoft Korea Inc;Wudei Games Kind;Long Beach, Ca;Pusan;Republic Of Korea;1,5;368
EXDO6430328673;26.07.20;Flex El Paso Us Rc;Microsoft Korea Inc;Wudei Games Kind;Long Beach, Ca;Pusan;Republic Of Korea;1,5;368
