"Bol Number","Arrival Date","Company Name","Supplier Name","Product Description","Port Of Entry","Shipping Port","Supplier Country","TEU","Weight"
"CMDUSHZ5421646","28/03/2023","Hp Inc","Chicony Electronics Dong Guan Co Ltd","Computer Keyboard Kus Plts Bpc Vca Expeditors International Pullman Suite Paso Hpi Vmi Only All Charges Usa Usa Doris Hsiao Chicony Shawnwilson Hecny Page Mill Road Santa Palo Alto","Los Angeles, Ca","Yantian","China","1","6718"
"MAEU224115192","11/02/2023","Chicony On Behalf Of Hp Inc","Chicony Electronics Dong Guan Co Ltd","Computer Keyboard Kus Plts Notif Bpc Vca Expeditors Nternational Pullman Suite Paso Hpi Vmi Only Ocf Destin Ation Local Charges Usa Usa Shawnwi Lson Hecny Svc","Long Beach, Ca","Yantian","China","1","4538.27"
"MAEU222856210","09/12/2022","Chicony On Behalf Of Hp Inc","Chicony Electronics Dong Guan Co Ltd","Computer Keyboard Kus Plts Notif Hub Logistics Indy Smith Dock Door Plainfield Shawnwilson Hecn Ocf Destination Local Harges Usa Hpi Elf Svc","Los Angeles, Ca","Yantian","China","1","4538.27"
"MAEU221630163","24/10/2022","Chicony On Behalf Of Hp Inc","Chicony Electronics Dong Guan Co Ltd","Computer Keyboard Kus Plts Maeu Bpc Vca Expeditors International Pullman Suite Paso Hpi Vmi Only Ocf Destination Local Arges Usa Svc Doris Hsiao Chicony Awnwilson Hecny","Los Angeles, Ca","Yantian","China","1.5","9076.54"
"MAEU221454720","15/10/2022","Chicony On Behalf Of Hp Inc","Chicony Electronics Dong Guan Co Ltd","Computer Keyboard Kus Plts Maeu Hub Gistics Indy Foxconn Ith Dock Door Plainfi Eld Emai Shawnwilson Hecny Ocf Destination Local Charges Llect Usa Usa Hpi Svc","Long Beach, Ca","Yantian","China","1.5","8932.74"
"MAEU219832920","21/08/2022","Chicony On Behalf Of Hp Inc","Chicony Electronics Dong Guan Co Ltd","Computer Keyboard Kus Plts Maeu Bpc Vca Expeditors International Pullman Suite Paso Hpi Vmi Only Ocf Destination Local Arges Usa Shawnwilson Hecny Svc","Los Angeles, Ca","Yantian","China","1.5","9076.54"
"CMDUSHZ5067959","29/07/2022","Hp Inc","Chicony Electronics Dong Guan Co","Other Monitors Capable Directly Connectingand Designed Use Automatic Data Processing Machine Heading Computer Keyboard Kus Computer Keyboard Kus Computer Keyboard Kus Plts Cmdu Hub Logistics Indy Amo Smith Dock Door Plainfield Shawnwilson Hecny All Charges Usa Usa Hpi Elf Page Mill Road Santa Palo Alto","Los Angeles, Ca","Yantian","China","1","6702"
"MAEU218025584","19/06/2022","Chcony On Behalf Of Hp Inc","Chicony Electronics Dong Guan Co Ltd","Computer Keyboard Kus Plts Maeu Bpc Vca Expeditors International Pullman Suite Paso Hpi Vmi Only Ocf Destination Local Harges Usa Usa Shawnwilson Hecny Svc","Long Beach, Ca","Yantian","China","1","4538.27"
"CMDUSHZ4840679","23/05/2022","Chicony O/B Hp Inc","Chicony Electronics Dong Guan Co Ltd","Other Monitors Capable Directly Connectingand Designed Use Automatic Data Processing Machine Heading Computer Keyboard Kus Plts Cmdu Bpc Vca Expeditors International Pullman Suite Paso Hpi Vmi Only All Charges Usa Usa Shawnwilson Hecny Svc Page Mill Road Santa Palo Alto United States Ams Ocean Prealert","Los Angeles, Ca","Shekou","China","1.5","12816"
"MAEU216992860","08/05/2022","Chicony On Behalf Of Hp Inc","Chicony Electronics Dong Guan Co Ltd","Computer Keyboard Kus Plts Maeu Bpc Vca Expeditors International Pullman Suite Paso Hpi Vmi Only Ocf Destination Local Harges Usa Usa Shawnwilson Hecny Svc","Los Angeles, Ca","Yantian","China","1","4538.27"
"MAEU216931374","01/05/2022","Chicony On Behalf Of Hp Inc","Chicony Electronics Dong Guan Co Ltd","Computer Keyboard Kus Plts Maeu Bpc Vca Expeditors International Pullman Suite Paso Hpi Vmi Only Ocf Destination Local Harges Usa Usa Shawnwilson Hecny Svc","Los Angeles, Ca","Yantian","China","1","4538.27"
"MAEU216372177","10/04/2022","Chicony On Behalf Of Hp Inc","Chicony Electronics Dong Guan Co Ltd","Computer Keyboard Kus Plts Maeu Bpc Vca Expeditors International Pullman Suite Paso Hpi Vmi Only Ocf Destination Local Arges Usa Phone Svc","Long Beach, Ca","Yantian","China","1","4538.27"
"CMDUSHZ4702453","30/03/2022","Chicony On Behalf Of Hp Inc","Chicony Electronics Dong Guan Co Ltd","Other Monitors Capable Directly Connectingand Designed Use Automatic Data Processing Machine Heading Computer Keyboard Kus Computer Keyboard Kus Plts Cmdu Hub Logistics Indy Amo Perry Suite Dock Plainfield Jing Foxconn All Charges Usa Usa Hpi Elf Fcm Trax Technologiep Mesa","Los Angeles, Ca","Yantian","China","1","6718"
"MAEU215859200","14/03/2022","Chicony On Behalf Of Hp Inc","Chicony Electronics Dong Guan Co Ltd","Computer Keyboard Kus Plts Maeu Bpc Vca Expeditors International Northwestern Paso Jorge Barba Expeditors Carlos Perea Expeditors Hpi Vmi Only Ocf Destination Local Charge Usa Usa Phone Svc","Los Angeles, Ca","Yantian","China","1.5","9076.54"
"MAEU215540529","07/03/2022","Chicony On Behalf Of Hp Inc","Chicony Electronics Dong Guan Co Ltd","Computer Keyboard Kus Plts Maeu Bpc Vca Expeditors International Northwestern Paso Jorge Barba Expeditors Carlos Perea Expeditors Hpi Vmi Only Ocf Dest Ination Local Charges Usa Usa Phone Svc","Los Angeles, Ca","Yantian","China","1","4538.27"
"CMDUSHZ4571425","04/03/2022","Chicony On Behalf Of Hp Inc","Chicony Electronics Dong Guan Co Ltd","Other Monitors Capable Directly Connectingand Designed Use Automatic Data Processing Machine Heading Computer Keyboard Kus Plts Cmdu Bpc Vca Expeditors International Northwestern Paso Jorge Barba Expeditors Carlos Perea Expeditors Hpi Vmi Only All Charges Usa Usa Phone Fcm Trax Technologi Mesa","Los Angeles, Ca","Yantian","China","1","6728"
"KWEO520046728293","21/02/2022","Microsoft Corp","Chicony Electronics Dong Guan Co","Computer Accessory","Long Beach, Ca","Yantian","China","1","5457"
"MAEU215434564","13/02/2022","Chicony On Behalf Of Hp Inc","Chicony Electronics Dong Guan Co Ltd","Computer Keyboard Kus Plts Maeu Bpc Vca Expeditors International Northwestern Paso Jorge Barba Expedito Carlos Perea Expedito Hpi Vmi Only Ocf Stination Local Charges Colle Usa Usa Phon Svc","Los Angeles, Ca","Yantian","China","1","4538.27"
"MAEU215451720","13/02/2022","Chicony On Behalf Of Hp Inc","Chicony Electronics Dong Guan Co Ltd","Computer Keyboard Kus Plts Maeu Bpc Vca Expeditors International Northwestern Paso Jorge Barba Expeditor Carlos Perea Expeditor Hpi Vmi Only Ocf Des Tination Local Charges Collec Usa Usa Phone Svc","Los Angeles, Ca","Yantian","China","1.5","9076.54"
"KWEO520046728256","04/02/2022","Microsoft Corp","Chicony Electronics Dong Guan Co","Computer Accessory Keyboard Computer Keyboard Mouse","Los Angeles, Ca","Yantian","China","1","6652"
"KWEO520046671346","04/02/2022","Microsoft Corp","Chicony Electronics Dong Guan Co","Computer Accessory Computer Keyboard Keyboard Mouse","Los Angeles, Ca","Yantian","China","1","8708"
"CMDUSHZ4486584","03/02/2022","Chicony On Behalf Of Hp Inc","Chicony Electronics Dong Guan Co Ltd","Computer Keyboard Kus Plts Cmdu Bpc Vca Expeditors International Northwestern Paso Jorge Barba Expeditors Carlos Perea Expeditors Hpi Vmi Only All Charges Usa Usa Phone Fcm Trax Technologies Mesa","Los Angeles, Ca","Yantian","China","1","6768"
"CMDUSHZ4486105","03/02/2022","Chicony On Behalf Of Hp Inc","Chicony Electronics Dong Guan Co Ltd","Computer Keyboard Kus Plts Cmdu Bpc Vca Expeditors International Northwestern Paso Jorge Barba Expeditors Carlos Perea Expeditors Hpi Vmi Only All Charges Usa Usa Phone Fcm Trax Technologip Mesa","Los Angeles, Ca","Yantian","China","1","6768"
"MAEU214615225","30/01/2022","Chicony On Behalf Of Hp Inc","Chicony Electronics Dong Guan Co Ltd","Computer Keyboard Kus Plts Maeu Bpc Vca Expeditors International Northwestern Pas Jorge Barba Expeditors Carlos Perea Expeditors Hpi Elf Destination Local Charges Ollect Usa Usa Svc","Long Beach, Ca","Yantian","China","1","4538.27"
"MAEU214615730","30/01/2022","Chicony On Behalf Of Hp Inc","Chicony Electronics Dong Guan Co Ltd","Computer Keyboard Kus Plts Maeu Hub Ogistics Indy Amo Rry Suite Dock Plai Nfield Ocf Destination Local Charges Col Lect Usa Usa Svc","Long Beach, Ca","Yantian","China","1","4538.27"
"EXDO6911500877","26/01/2022","Wacom Technology Corp","Chicony Electronics Dong Guan Co Ltd","Pen Tablet","Savannah, Ga","Yantian","Hong Kong","1.5","1246"
"EXDO6911500877","26/01/2022","Wacom Technology Corp","Chicony Electronics Dong Guan Co Ltd","Pen Tablet","Savannah, Ga","Yantian","Hong Kong","1.5","1246"
"EXDO6911500877","26/01/2022","Wacom Technology Corp","Chicony Electronics Dong Guan Co Ltd","Pen Tablet","Savannah, Ga","Yantian","Hong Kong","1.5","1246"
"EXDO6911500877","26/01/2022","Wacom Technology Corp","Chicony Electronics Dong Guan Co Ltd","Pen Tablet","Savannah, Ga","Yantian","Hong Kong","1.5","1246"
"EXDO6911500877","26/01/2022","Wacom Technology Corp","Chicony Electronics Dong Guan Co Ltd","Pen Tablet","Savannah, Ga","Yantian","Hong Kong","1.5","1246"
"PYMNHKG211494491","15/01/2022","Ring Llc","Chicony Electronics Dong Guan Co","Pro Power Kits","Long Beach, Ca","Hong Kong","Hong Kong","1.5","1858"
"CMDUSHZ4421222","09/01/2022","Chicony On Behalf Of Hp Inc","Chicony Electronics Dong Guan Co","Computer Keyboard Kus Plts Cmdu Bpc Vca Expeditors International Northwestern Paso Jorge Barba Expeditors Carlos Perea Expeditors Hpi Vmi Only All Charges Usa Usa Fcm Trax Technologip Mesa","Los Angeles, Ca","Yantian","China","1","6718"
"CMDUSHZ4343049","24/12/2021","Chicony On Behalf Of Hp Inc","Chicony Electronics Dong Guan Co Ltd","Other Monitors Capable Directly Connectingand Designed Use Automatic Data Processing Machine Heading Computer Keyboard Kus Plts Cmdu Bpc Vca Expeditors International Northwestern Paso Jorge Barba Expeditors Carlos Perea Expeditors Hpi Vmi Only All Charges Usa Usa Fcm Trax Technologip Mesa","Los Angeles, Ca","Yantian","China","1","6758"
"CMDUSHZ4343084","24/12/2021","Chicony On Behalf Of Hp Inc","Chicony Electronics Dong Guan Co","Other Monitors Capable Directly Connectingand Designed Use Automatic Data Processing Machine Heading Computer Keyboard Kus Plts Cmdu Hub Logistics Indy Amo Perry Suite Dock Plainfield Christina Liu Christinal Fccsi Phone Oliver Guan Oliverg Fccsi Phone All Charges Usa Usa Hpi Elf Fcm Trax Technologie Mesa","Los Angeles, Ca","Yantian","China","1","6718"
"CMDUSHZ4298073","11/12/2021","Chicony On Behalf Of Hp Inc","Chicony Electronics Dong Guan Co","Computer Keyboard Kus Plts Cmdu Bpc Vca Expeditors International Northwestern Paso Jorge Barba Expeditors Carlos Perea Expeditors Hpi Elf All Charges Usa Usa Fcm Trax Technologip Mesa","Los Angeles, Ca","Yantian","China","1","6738"
"CMDUSHZ4277011","18/11/2021","Chicony On Behalf Of Hp Inc","Chicony Electronics Dong Guan Co","Printers Copying Machines Facsimile Machwhether Combined Excl Those Capable Connecting Automatic Data Processin Computer Keyboard Kus Plts Cmdu Bpc Vca Expeditors International Northwestern Paso Usa Jorgebarba Expeditorscom Carlosperea Expeditorscom Hpi Elf All Charges Usa Usa Fcm Trax Technologipo Mesa Usa","Los Angeles, Ca","Yantian","China","1.5","12886"
"CMDUSHZ4139488","22/10/2021","Chicony On Behalf Of Hp Inc","Chicony Electronics Dong Guan Co Ltd","Other Monitors Capable Directly Connectingand Designed Use Automatic Data Processing Machine Heading Computer Keyboard Kus Plts Cmdu Shz Bpc Vca Expeditors International Northwestern Paso Jorge Barba Expeditors Carlos Perea Expeditors Hpi Vmi Only All Charges Usa Usa Oliver Guan Oliverg Fccsi Phone Fcm Trax Technologip Mesa","Los Angeles, Ca","Yantian","China","1.5","12776"
"MAEU212136863","29/09/2021","Chicony On Behalf Of Hp Inc","Chicony Electronics Dong Guan Co Ltd","Computer Keyboard Kus Plts Maeu Bpc Vca Expeditors International Northwestern Paso Jorge Barba Expeditors Carlos Perea Expeditors Hpi Elf Ocf Destinati Local Charges Usa Svc Phone","Los Angeles, Ca","Yantian","China","1.5","9076.54"
"MAEU211861754","02/09/2021","Chicony On Behalf Of Hp Inc","Chicony Electronics Dong Guan Co Ltd","Computer Keyboard Kus Plts Maeu Bpc Vca Expeditors International Northwestern Paso Jorge Barba Expeditor Carlos Perea Expeditor Hpi Elf Ocf Destinat Ion Local Charges Usa Usa Svc Oliver Guan Oliver Fccsi Phone","Los Angeles, Ca","Yantian","China","1.5","9076.54"
"MAEU211520285","29/08/2021","Chicony On Behalf Of Hp Inc","Chicony Electronics Dong Guan Co Ltd","Computer Keyboard Kus Plts Maeu Bpc Vca Expeditors International Northwestern Paso Jorge Barbaexpeditors Carlos Pereaexpeditors Hpi Elf Ocf Destinati Local Charges Usa Svc Phone Oliver Guan Olivergf Ccsi Phone","Los Angeles, Ca","Yantian","China","1","4538.27"
"MAEUSZH5WA835","29/08/2021","Chicony On Behalf Of Hp Inc","Chicony Electronics Dong Guan Co Ltd","Computer Keyboard Kus Plts Maeu Bpc Vca Expeditors International Northwestern Paso Jorge Barba Expeditors Carlos Perea Expeditors Hpi Elf Ocf Destinati Local Charges Usa Svc Phone Oliver Guan Oliverg Ccsi Phone","Los Angeles, Ca","Yantian","China","1.5","9076.54"
