"Bol Number","Arrival Date","Company Name","Supplier Name","Product Description","Port Of Entry","Shipping Port","Supplier Country","TEU","Weight"
"PYMNSZX230147981","25/03/2023","Flextronics America Llc","Cooler Master Hui Zhou Co Ltd","Heat Sink","Long Beach, Ca","Yantian","China","1.5","695"
"PYMNSZX230115616","19/03/2023","Flextronics America Llc","Cooler Master Hui Zhou Co Ltd","Heat Sink Plt","Los Angeles, Ca","Yantian","China","1","774"
"CROIHKELP4446878","18/03/2023","Iec Technologies S De R L De C V","Cooler Master Co Ltd","Processor Heatsink Passive","Long Beach, Ca","Hong Kong","Hong Kong","1.5","1026"
"DSVFHKG1048709","17/03/2023","Smtc Chargepoint Ca","Cooler Master Co Ltd","Heatsink","Long Beach, Ca","Hong Kong","Hong Kong","1.5","2160"
"MOXRHKGS2300357","17/03/2023","Ola Logistics / Ecmms","Cooler Master Co Ltd","Heat Sink Passive","Long Beach, Ca","Hong Kong","Hong Kong","1.5","977"
"CHQFSHA20341295H","15/03/2023","Cmi Usa Inc/Cooler Master Usa","Gold Balance Limited","Gaming Chair","Long Beach, Ca","Shanghai","China","1.5","7603"
"CHQFGUZ30348861E","10/03/2023","Cooler Master Usa","Gold Balance Limited","Computer Cooler Psu Fan Mouse","Long Beach, Ca","Yantian","China","1.5","9423"
"EXDO61N0789818","04/03/2023","Nuro","Cooler Master Hui Zhou Co Ltd","Lid Chassis","Oakland, Ca","Yantian","China","1.5","800"
"MLTOMTPE23020051","04/03/2023","Cmi Usa Inc/Cooler Master Usa","Gold Balance Limited","Computer Plts","Long Beach, Ca","Kao Hsiung","Taiwan","1.5","11234"
"KWEO520046890365","24/02/2023","Wistron Infocomm Technology America Corp","Cooler Master Co Ltd","Heat Sink","Long Beach, Ca","Hong Kong","Hong Kong","1.5","801"
"KWEO520046890295","24/02/2023","Wiwynn International Corporatio Tax Id","Cooler Master Co Ltd","Heatsink","Long Beach, Ca","Hong Kong","Hong Kong","1.5","2654"
"KFUNS2301180544","20/02/2023","Super Micro Computer Inc","Cooler Master Co Ltd","Processor Heatsink Passive","Oakland, Ca","Taipei","Taiwan","1","609"
"BWLESZX306211582","20/02/2023","Hyve Solutions","Cooler Master Co Ltd","Heatsink","Oakland, Ca","Yantian","China","1.5","787"
"KFUNA2301281049","20/02/2023","Super Micro Computer Inc","Cooler Master Co Ltd","Processor Heatsink Passive","Oakland, Ca","Hong Kong","Hong Kong","1","2447"
"CHQFGUZ30344146R","17/02/2023","Cooler Master Usa","Gold Balance Limited","Computer Cooler Fan Psu","Long Beach, Ca","Yantian","China","1.5","7356"
"MLTOMTPE23010050","13/02/2023","Cmi Usa Inc/Cooler Master Usa","Cooler Master Technology Inc","Computer Partsinv Plts","Los Angeles, Ca","Taipei","Taiwan","1.5","12858"
"CROIHKELP4419807","12/02/2023","Iec Technologies S De R L De C V","Cooler Master Co Ltd","Processor Heatsink Passive","Long Beach, Ca","Hong Kong","Hong Kong","1.5","509"
"CROIHKHOU4416385","12/02/2023","Cloud Network Technology Usa Inc","Cooler Master Co Ltd","Heatsink Passive","Long Beach, Ca","Hong Kong","Hong Kong","1.5","776"
"MLTOMTPE23010047","12/02/2023","Cmi Usa Inc/Cooler Master Usa","Gold Balance Limited","Computer","Long Beach, Ca","Kao Hsiung","Taiwan","1.5","4321"
"PYMNWEB230005889","09/02/2023","Flextronics America Llc","Cooler Master Hui Zhou Co Ltd","Heat Sink","Los Angeles, Ca","Yantian","China","1.5","1306"
"HYSLELP23010092","07/02/2023","Cooler Master Co Ltd","Cooler Master Co Ltd","Chipset Heatsink Passive","Long Beach, Ca","Yantian","China","1.5","233"
"MLTOMTPE23010004","06/02/2023","Cmi Usa Inc/Cooler Master Usa","Gold Balance Limited","Computer Plts","Los Angeles, Ca","Taipei","Taiwan","1.5","700"
"CHQFGUZ30344373N","06/02/2023","Cooler Master Usa","Gold Balance Limited","Computer Accessory Psu Fan","Los Angeles, Ca","Yantian","China","1.5","7420"
"ECUWHZPC23010035","06/02/2023","Iec Technologies S De R L De C V","Cooler Master Co Ltd","Plts Processor Heatsink Passive","Los Angeles, Ca","Yantian","China","1","375"
"EXDO6911551272","04/02/2023","Cloud Network Technology Usa Inc","Cooler Master Co Ltd","Heatpipe","Houston, Tx","Hong Kong","Hong Kong","1.5","11247"
"EXDO6911549813","29/01/2023","Smtc Mex Hold","Cooler Master Co Ltd","Heat Sink","Houston, Tx","Hong Kong","Hong Kong","1.5","628"
"CHQFGUZ30342400E","29/01/2023","Cooler Master Usa","Gold Balance Limited","Computer Cooler Accessory Fan Psu Adapter Monitor Keyboard Mouse Plts","Los Angeles, Ca","Yantian","China","3","17160"
"KWEO520046885830","29/01/2023","Wiwynn International Corporatio Tax Id","Cooler Master Co Ltd","Heatsink","Long Beach, Ca","Hong Kong","Hong Kong","1","704"
"KWEO520046885830","29/01/2023","Wiwynn International Corporatio Tax Id","Cooler Master Co Ltd","Heatsink","Long Beach, Ca","Hong Kong","Hong Kong","1","704"
