"Bol Number","Arrival Date","Company Name","Supplier Name","Product Description","Port Of Entry","Shipping Port","Supplier Country","TEU","Weight"
"EXDO61N0707011","13/08/2021","Proterra Inc","Cymmetrik Shenzhen Printing Co Ltd","Mica Sticker","Long Beach, Ca","Yantian","China","1.5","450"
"EXDO61N0707011","13/08/2021","Proterra Inc","Cymmetrik Shenzhen Printing Co Ltd","Mica Sticker","Long Beach, Ca","Yantian","China","1.5","450"
"EXDO61N0703436","23/07/2021","Proterra Inc","Cymmetrik Shenzhen Printing Co Ltd","Mica Sticker","Los Angeles, Ca","Yantian","China","1.5","310"
"EXDO61N0703436","23/07/2021","Proterra Inc","Cymmetrik Shenzhen Printing Co Ltd","Mica Sticker","Los Angeles, Ca","Yantian","China","1.5","310"
"EXDO61N0700814","30/06/2021","Proterra Inc","Cymmetrik Shenzhen Printing Co Ltd","Mica","Los Angeles, Ca","Yantian","China","1.5","576"
"EXDO61N0695981","28/05/2021","Proterra Inc","Cymmetrik Shenzhen Printing Co Ltd","Mica Sticker","Long Beach, Ca","Yantian","China","1.5","618"
"EXDO61N0695981","28/05/2021","Proterra Inc","Cymmetrik Shenzhen Printing Co Ltd","Mica Sticker","Long Beach, Ca","Yantian","China","1.5","618"
"EXDO61N0695981","28/05/2021","Proterra Inc","Cymmetrik Shenzhen Printing Co Ltd","Mica Sticker","Long Beach, Ca","Yantian","China","1.5","618"
"EXDO61N0695981","28/05/2021","Proterra Inc","Cymmetrik Shenzhen Printing Co Ltd","Mica Sticker","Long Beach, Ca","Yantian","China","1.5","618"
"EXDO61N0694336","24/05/2021","Flextronics Manufacturing Juarez","Cymmetrik Shenzhen Printing Co Ltd","Labels","Long Beach, Ca","Yantian","China","1.5","354"
"EXDO61N0694336","24/05/2021","Flextronics Manufacturing Juarez","Cymmetrik Shenzhen Printing Co Ltd","Labels","Long Beach, Ca","Yantian","China","1.5","354"
"EXDO61N0693491","13/05/2021","Proterra Inc","Cymmetrik Shenzhen Printing Co Ltd","Mica","Los Angeles, Ca","Yantian","China","1.5","539"
"EXDO61N0691372","27/04/2021","Proterra Inc","Cymmetrik Shenzhen Printing Co Ltd","Mica","Long Beach, Ca","Yantian","China","1","215"
"EXDO61N0688260","24/04/2021","Proterra Inc","Cymmetrik Shenzhen Printing Co Ltd","Mica Sticker","Long Beach, Ca","Yantian","China","1.5","185"
"EXDO61N0688260","24/04/2021","Proterra Inc","Cymmetrik Shenzhen Printing Co Ltd","Mica Sticker","Long Beach, Ca","Yantian","China","1.5","185"
"EXDO61N0688260","24/04/2021","Proterra Inc","Cymmetrik Shenzhen Printing Co Ltd","Mica Sticker","Long Beach, Ca","Yantian","China","1.5","185"
"EXDO61N0690027","21/04/2021","Flextronics Manufacturing Juarez","Cymmetrik Shenzhen Printing Co Ltd","Labels","Long Beach, Ca","Yantian","China","1.5","234"
"EXDO61N0690027","21/04/2021","Flextronics Manufacturing Juarez","Cymmetrik Shenzhen Printing Co Ltd","Labels","Long Beach, Ca","Yantian","China","1.5","234"
"EXDO61N0690843","20/04/2021","Flextronics Manufacturing Juarez","Cymmetrik Shenzhen Printing Co Ltd","Tape","Los Angeles, Ca","Yantian","China","1.5","921"
"EXDO61N0690843","20/04/2021","Flextronics Manufacturing Juarez","Cymmetrik Shenzhen Printing Co Ltd","Tape","Los Angeles, Ca","Yantian","China","1.5","921"
"EXDO61N0690843","20/04/2021","Flextronics Manufacturing Juarez","Cymmetrik Shenzhen Printing Co Ltd","Tape","Los Angeles, Ca","Yantian","China","1.5","921"
"EXDO61N0687912","06/04/2021","Flextronics Manufacturing Juarez","Cymmetrik Shenzhen Printing Co Ltd","Labels","Los Angeles, Ca","Yantian","China","1.5","985"
"EXDO61N0694336","25/03/2021","Flextronics Manufacturing Juarez","Cymmetrik Shenzhen Printing Co Ltd","Labels","Long Beach, Ca","Yantian","China","1.5","354"
"EXDO61N0686863","23/03/2021","Flextronics Manufacturing Juarez","Cymmetrik Shenzhen Printing Co Ltd","Protective Film","Los Angeles, Ca","Yantian","China","1.5","490"
"EXDO61N0684628","14/03/2021","Proterra Inc","Cymmetrik Shenzhen Printing Co Ltd","Electric Vehicle","Long Beach, Ca","Yantian","China","1.5","347"
"EXDO61N0684951","10/03/2021","Proterra Inc","Cymmetrik Shenzhen Printing Co Ltd","Table Top","Long Beach, Ca","Yantian","China","1.5","116"
"EXDO61N0684951","10/03/2021","Proterra Inc","Cymmetrik Shenzhen Printing Co Ltd","Table Top","Long Beach, Ca","Yantian","China","1.5","116"
"EXDO61N0682694","22/02/2021","Flextronics Manufacturing Juarez","Cymmetrik Shenzhen Printing Co Ltd","Labels","Los Angeles, Ca","Yantian","China","1.5","429"
"EXDO61N0682694","22/02/2021","Flextronics Manufacturing Juarez","Cymmetrik Shenzhen Printing Co Ltd","Labels","Los Angeles, Ca","Yantian","China","1.5","429"
"EXDO61N0682694","22/02/2021","Flextronics Manufacturing Juarez","Cymmetrik Shenzhen Printing Co Ltd","Labels","Los Angeles, Ca","Yantian","China","1.5","429"
"EXDO61N0667906","29/11/2020","Flextronics Manufacturing Juarez","Cymmetrik Shenzhen Printing Co Ltd","Clear Tape","Los Angeles, Ca","Yantian","China","1.5","199"
"EXDO61N0661218","06/10/2020","Flextronics Manufacturing Juarez","Cymmetrik Shenzhen Printing Co Ltd","Labels","Los Angeles, Ca","Yantian","China","1.5","286"
