"Bol Number","Arrival Date","Company Name","Supplier Name","Product Description","Port Of Entry","Shipping Port","Supplier Country","TEU","Weight"
"EXDO61N0714942","05/11/2021","Msft Dbs Us Mx Cross Dock","Delta Electronics Dongguan Co Ltd","Passive Cooler Heatsink","Seattle, Wa","Yantian","China","1.5","7929"
"EXDO61N0714939","22/10/2021","Msft Dbs Us Mx Cross Dock","Delta Electronics Dongguan Co Ltd","Passive Cooler Heatsink","Tacoma, Wa","Yantian","China","1.5","7929"
"COSU631246276001","14/10/2021","Delta Electronics America Ltd","Delta Electronics Dongguan Co Ltd","Ventilation Fan","Long Beach, Ca","Hong Kong","Hong Kong","1.5","7614"
"EXDO61N0714933","10/10/2021","Msft Dbs Us Mx Cross Dock","Delta Electronics Dongguan Co Ltd","Passive Cooler Heatsink","Tacoma, Wa","Yantian","China","1.5","7929"
"EXDO61N0714931","08/10/2021","Msft Dbs Us Mx Cross Dock","Delta Electronics Dongguan Co Ltd","Passive Cooler Heatsink","Tacoma, Wa","Yantian","China","1.5","7929"
"EXDO61N0697129","09/07/2021","Msft Dbs Us Mx Cross Dock","Delta Electronics Dongguan Co Ltd","Passive Cooler Heatsink","Los Angeles, Ca","Yantian","China","1.5","6701"
"SQSTSZP0332202","12/11/2020","Moduslink Miami","Delta Electronics International Singapore Delta Electronics Dongguan Co Ltd","Active Cooler Active Cooler","Miami, Fl","Yantian","China","1","6080"
"CHSL327346826SZN","20/07/2020","Schenker International S A De C V","Delta Electronics Dongguan Co Ltd","Passive Cooler Heatsink Plts Ctnshs","Los Angeles, Ca","Yantian","China","1.5","6774"
"CHSL327346750SZN","20/07/2020","Schenker International S A De C V","Delta Electronics Dongguan Co Ltd","Passive Cooler Heatsink Plts Ctnshs","Los Angeles, Ca","Yantian","China","1.5","6774"
"CHSL323777786SZN","13/06/2020","Microsoft Corp","Delta Electronics Dongguan Co Ltd","Group Gdsm Passive Cooler Heatsink Plts Only","Los Angeles, Ca","Yantian","China","1.5","6774"
"CHSL323889031SZN","13/06/2020","Microsoft Corp","Delta Electronics Dongguan Co Ltd","Applied Apl Eagle Passive Cooler Heatsink Plts Only","Los Angeles, Ca","Yantian","China","1.5","6774"
"CHSL323899485SZN","13/06/2020","Microsoft Corp","Delta Electronics Dongguan Co Ltd","Applied Apl Eagle Passive Cooler Heatsink Plts Only","Los Angeles, Ca","Yantian","China","1.5","6774"
"CHSL323899485SZN","13/06/2020","Microsoft Corp","Delta Electronics Dongguan Co Ltd","Applied Apl Eagle Passive Cooler Heatsink Plts Only","Los Angeles, Ca","Yantian","China","1.5","6774"
"CHSL323897132SZN","13/06/2020","Microsoft Corp","Delta Electronics Dongguan Co Ltd","Applied Apl Eagle Passive Cooler Heatsink Plts Only","Los Angeles, Ca","Yantian","China","1.5","6774"
"CHSL323777786SZN","13/06/2020","Microsoft Corp","Delta Electronics Dongguan Co Ltd","Group Gdsm Passive Cooler Heatsink Plts Only","Los Angeles, Ca","Yantian","China","1.5","6774"
"CHSL323897132SZN","13/06/2020","Microsoft Corp","Delta Electronics Dongguan Co Ltd","Applied Apl Eagle Passive Cooler Heatsink Plts Only","Los Angeles, Ca","Yantian","China","1.5","6774"
"CHSL323889031SZN","13/06/2020","Microsoft Corp","Delta Electronics Dongguan Co Ltd","Applied Apl Eagle Passive Cooler Heatsink Plts Only","Los Angeles, Ca","Yantian","China","1.5","6774"
"CHSL322975428SZN","13/06/2020","Microsoft Corp","Delta Electronics Dongguan Co Ltd","Group Passive Cooler Heatsink Plts Only","Los Angeles, Ca","Yantian","China","1.5","6774"
"CHSL322975428SZN","13/06/2020","Microsoft Corp","Delta Electronics Dongguan Co Ltd","Group Passive Cooler Heatsink Plts Only","Los Angeles, Ca","Yantian","China","1.5","6774"
"CHSL322945639SZN","03/06/2020","Microsoft Corp","Delta Electronics Dongguan Co Ltd","Group Passive Cooler Heatsink Plts Only","Los Angeles, Ca","Yantian","China","1.5","6774"
"CHSL322976357SZN","03/06/2020","Microsoft Corp","Delta Electronics Dongguan Co Ltd","Group Passive Cooler Heatsink Plts","Los Angeles, Ca","Yantian","China","1.5","6774"
"CHSL322944251SZN","03/06/2020","Microsoft Corp","Delta Electronics Dongguan Co Ltd","Group Passive Cooler Heatsink Plts Only","Los Angeles, Ca","Yantian","China","1.5","6774"
"CHSL322841554SZN","03/06/2020","Microsoft Corp","Delta Electronics Dongguan Co Ltd","Group Passive Cooler Heatsink Plts Only","Los Angeles, Ca","Yantian","China","1.5","6774"
"CHSL321687807SZN","29/05/2020","Microsoft Corp","Delta Electronics Dongguan Co Ltd","Group Passive Cooler Heatsink Plts Only","Los Angeles, Ca","Yantian","China","1.5","6774"
"CHSL321688376SZN","29/05/2020","Microsoft Corp","Delta Electronics Dongguan Co Ltd","Group Passive Cooler Heatsink Plts Only","Los Angeles, Ca","Yantian","China","1.5","6774"
"CHSL321688376SZN","29/05/2020","Microsoft Corp","Delta Electronics Dongguan Co Ltd","Group Passive Cooler Heatsink Plts Only","Los Angeles, Ca","Yantian","China","1.5","6774"
"CHSL322649591SZN","29/05/2020","Microsoft Corp","Delta Electronics Dongguan Co Ltd","Group Passive Cooler Heatsink Plts Only","Los Angeles, Ca","Yantian","China","1.5","6774"
"CHSL322649864SZN","29/05/2020","Microsoft Corp","Delta Electronics Dongguan Co Ltd","Group Passive Cooler Heatsink Plts Only","Los Angeles, Ca","Yantian","China","1.5","6774"
"CHSL322649591SZN","29/05/2020","Microsoft Corp","Delta Electronics Dongguan Co Ltd","Group Passive Cooler Heatsink Plts Only","Los Angeles, Ca","Yantian","China","1.5","6774"
"CHSL321687807SZN","29/05/2020","Microsoft Corp","Delta Electronics Dongguan Co Ltd","Group Passive Cooler Heatsink Plts Only","Los Angeles, Ca","Yantian","China","1.5","6774"
"CHSL322649864SZN","29/05/2020","Microsoft Corp","Delta Electronics Dongguan Co Ltd","Group Passive Cooler Heatsink Plts Only","Los Angeles, Ca","Yantian","China","1.5","6774"
"CHSL320841868SZN","18/05/2020","Microsoft Corp","Delta Electronics Dongguan Co Ltd","Electronics","Los Angeles, Ca","Yantian","China","1.5","6774"
"CHSL320842195SZN","12/05/2020","Microsoft Corp","Delta Electronics Dongguan Co Ltd","Electronics","Long Beach, Ca","Yantian","China","1","6774"
"CHSL320835336SZN","10/05/2020","Microsoft Corp","Delta Electronics Dongguan Co Ltd","Electronics","Los Angeles, Ca","Yantian","China","1.5","6774"
"CHSL320633972SZN","10/05/2020","Microsoft Corp","Delta Electronics Dongguan Co Ltd","Electronics","Los Angeles, Ca","Yantian","China","1.5","6774"
"CHSL320637800SZN","04/05/2020","Microsoft Corp","Delta Electronics Dongguan Co Ltd","Electronics","Long Beach, Ca","Yantian","China","1.5","6774"
"CHSL320107160SZN","03/05/2020","Microsoft Corp","Delta Electronics Dongguan Co Ltd","Electronics","Los Angeles, Ca","Yantian","China","1","3387"
