"Bol Number","Arrival Date","Company Name","Supplier Name","Product Description","Port Of Entry","Shipping Port","Supplier Country","TEU","Weight"
"KWEO880140363917","09/10/2022","Microsoft Corp","Fugang Electric Xuzhou Co Ltd","Xbox Acc Sda Hardware","Long Beach, Ca","Shanghai","China","1","11850"
"KWEO880140363915","09/10/2022","Microsoft Corp","Fugang Electric Xuzhou Co Ltd","Xbox Acc Sda Hardware","Long Beach, Ca","Shanghai","China","1","11850"
"KWEO880140363913","09/10/2022","Microsoft Corp","Fugang Electric Xuzhou Co Ltd","Xbox Acc Sda Hardware","Long Beach, Ca","Shanghai","China","1","11850"
"KWEO880140363914","09/10/2022","Microsoft Corp","Fugang Electric Xuzhou Co Ltd","Xbox Acc Sda Hardware","Long Beach, Ca","Shanghai","China","1","11850"
"KWEO880140363916","09/10/2022","Microsoft Corp","Fugang Electric Xuzhou Co Ltd","Xbox Acc Sda Hardware","Long Beach, Ca","Shanghai","China","1","11850"
"KWEO880140362759","04/10/2022","Microsoft Corp","Fugang Electric Xuzhou Co Ltd","Xbox Acc Sda Hardware","Long Beach, Ca","Shanghai","China","1","11471"
"KWEO880140362764","04/10/2022","Microsoft Corp","Fugang Electric Xuzhou Co Ltd","Xbox Acc Sda Hardware","Long Beach, Ca","Shanghai","China","1","11471"
"KWEO880140362765","04/10/2022","Microsoft Corp","Fugang Electric Xuzhou Co Ltd","Xbox Acc Sda Hardware","Long Beach, Ca","Shanghai","China","1","9147"
"KWEO880140362768","04/10/2022","Microsoft Corp","Fugang Electric Xuzhou Co Ltd","Xbox Acc Sda Hardware","Long Beach, Ca","Shanghai","China","1","11695"
"KWEO880140362748","04/10/2022","Microsoft Corp","Fugang Electric Xuzhou Co Ltd","Xbox Acc Sda Hardware","Long Beach, Ca","Shanghai","China","1","11613"
"KWEO880140362753","04/10/2022","Microsoft Corp","Fugang Electric Xuzhou Co Ltd","Xbox Acc Sda Hardware","Long Beach, Ca","Shanghai","China","1","11613"
"KWEO880140362754","04/10/2022","Microsoft Corp","Fugang Electric Xuzhou Co Ltd","Xbox Acc Sda Hardware","Long Beach, Ca","Shanghai","China","1","11613"
"KWEO880140362762","04/10/2022","Microsoft Corp","Fugang Electric Xuzhou Co Ltd","Xbox Acc Sda Hardware","Long Beach, Ca","Shanghai","China","1","11471"
"KWEO880140362758","04/10/2022","Microsoft Corp","Fugang Electric Xuzhou Co Ltd","Xbox Acc Sda Hardware","Long Beach, Ca","Shanghai","China","1","11471"
"KWEO880140362767","04/10/2022","Microsoft Corp","Fugang Electric Xuzhou Co Ltd","Xbox Acc Sda Hardware","Long Beach, Ca","Shanghai","China","1","11830"
"KWEO880140362756","04/10/2022","Microsoft Corp","Fugang Electric Xuzhou Co Ltd","Xbox Acc Sda Hardware","Long Beach, Ca","Shanghai","China","1","11613"
"KWEO880140362771","04/10/2022","Microsoft Corp","Fugang Electric Xuzhou Co Ltd","Xbox Acc Sda Hardware","Long Beach, Ca","Shanghai","China","1","11718"
"KWEO880140362140","27/09/2022","Microsoft Corp","Fugang Electric Xuzhou Co Ltd","Xbox Acc Sda Hardware","Long Beach, Ca","Shanghai","China","1.5","11589"
"KWEO880140362128","27/09/2022","Microsoft Corp","Fugang Electric Xuzhou Co Ltd","Xbox Acc Sda Hardware","Long Beach, Ca","Shanghai","China","1.5","11471"
"KWEO880140362130","27/09/2022","Microsoft Corp","Fugang Electric Xuzhou Co Ltd","Xbox Acc Sda Hardware","Long Beach, Ca","Shanghai","China","1.5","11471"
"KWEO880140362135","27/09/2022","Microsoft Corp","Fugang Electric Xuzhou Co Ltd","Xbox Acc Sda Hardware","Long Beach, Ca","Shanghai","China","1.5","12047"
"KWEO880140362138","27/09/2022","Microsoft Corp","Fugang Electric Xuzhou Co Ltd","Xbox Acc Sda Hardware","Long Beach, Ca","Shanghai","China","1","4261"
"KWEO880140362144","27/09/2022","Microsoft Corp","Fugang Electric Xuzhou Co Ltd","Xbox Acc Sda Hardware","Long Beach, Ca","Shanghai","China","1.5","11516"
"KWEO880140362137","27/09/2022","Microsoft Corp","Fugang Electric Xuzhou Co Ltd","Xbox Acc Sda Hardware","Long Beach, Ca","Shanghai","China","1.5","11768"
"KWEO880140362142","27/09/2022","Microsoft Corp","Fugang Electric Xuzhou Co Ltd","Xbox Acc Sda Hardware","Long Beach, Ca","Shanghai","China","1.5","8940"
"KWEO880140362136","27/09/2022","Microsoft Corp","Fugang Electric Xuzhou Co Ltd","Xbox Acc Sda Hardware","Long Beach, Ca","Shanghai","China","1.5","12047"
"KWEO880140362139","27/09/2022","Microsoft Corp","Fugang Electric Xuzhou Co Ltd","Xbox Acc Sda Hardware","Long Beach, Ca","Shanghai","China","1.5","11589"
"KWEO880140361494","21/09/2022","Microsoft Corp","Fugang Electric Xuzhou Co Ltd","Xbox Acc Sda Hardware","Long Beach, Ca","Shanghai","China","1.5","11031"
"KWEO880140361492","21/09/2022","Microsoft Corp","Fugang Electric Xuzhou Co Ltd","Xbox Acc Sda Hardware","Long Beach, Ca","Shanghai","China","1.5","11081"
"KWEO880140361491","21/09/2022","Microsoft Corp","Fugang Electric Xuzhou Co Ltd","Xbox Acc Sda Hardware","Long Beach, Ca","Shanghai","China","1.5","7352"
