"Bol Number","Arrival Date","Company Name","Supplier Name","Product Description","Port Of Entry","Shipping Port","Supplier Country","TEU","Weight"
"EXDO6395781129","20/03/2023","Flextronics Manufacturing Juarez","Gaoyi Packing&Printing Suzhou Co Ltd","Paper Plates","Los Angeles, Ca","Shanghai","China","1.5","792"
"EXDO6395778568","15/03/2023","Flextronics Manufacturing Juarez","Gaoyi Packing&Printing Suzhou Co Ltd","Plastic Bracket","Long Beach, Ca","Shanghai","China","1.5","110"
"EXDO6395776669","12/03/2023","Flextronics Manufacturing Juarez","Gaoyi Packing&Printing Suzhou Co Ltd","Paper","Long Beach, Ca","Shanghai","China","1.5","1489"
"EXDO6395768364","19/01/2023","Flextronics Manufacturing Juarez","Gaoyi Packing&Printing Suzhou Co Ltd","Paper","Los Angeles, Ca","Shanghai","China","1","2811"
"EXDO6395768364","19/01/2023","Flextronics Manufacturing Juarez","Gaoyi Packing&Printing Suzhou Co Ltd","Paper","Los Angeles, Ca","Shanghai","China","1","2811"
"EXDO6395766684","04/01/2023","Flextronics Manufacturing Juarez","Gaoyi Packing&Printing Suzhou Co Ltd","Plastic Bracket","Los Angeles, Ca","Shanghai","China","1.5","73"
"EXDO6395765061","02/01/2023","Flextronics Manufacturing Juarez","Gaoyi Packing&Printing Suzhou Co Ltd","Paper","Long Beach, Ca","Shanghai","China","1.5","646"
"EXDO6395761744","13/12/2022","Flextronics Manufacturing Juarez","Gaoyi Packing&Printing Suzhou Co Ltd","Paper Plate","Los Angeles, Ca","Shanghai","China","1.5","103"
"EXDO6395762156","13/12/2022","Flextronics Manufacturing Juarez","Gaoyi Packing&Printing Suzhou Co Ltd","Paper","Los Angeles, Ca","Shanghai","China","1.5","937"
"EXDO6395762156","13/12/2022","Flextronics Manufacturing Juarez","Gaoyi Packing&Printing Suzhou Co Ltd","Paper","Los Angeles, Ca","Shanghai","China","1.5","937"
"EXDO6395761744","13/12/2022","Flextronics Manufacturing Juarez","Gaoyi Packing&Printing Suzhou Co Ltd","Paper Plate","Los Angeles, Ca","Shanghai","China","1.5","103"
"EXDO6395761744","13/12/2022","Flextronics Manufacturing Juarez","Gaoyi Packing&Printing Suzhou Co Ltd","Paper Plate","Los Angeles, Ca","Shanghai","China","1.5","103"
"EXDO6395762156","13/12/2022","Flextronics Manufacturing Juarez","Gaoyi Packing&Printing Suzhou Co Ltd","Paper","Los Angeles, Ca","Shanghai","China","1.5","937"
"EXDO6395758519","07/12/2022","Flextronics Manufacturing Juarez","Gaoyi Packing&Printing Suzhou Co Ltd","Paper","Long Beach, Ca","Shanghai","China","1","3074"
"EXDO6395758084","01/12/2022","Flextronics Manufacturing Juarez","Gaoyi Packing&Printing Suzhou Co Ltd","Paper","Los Angeles, Ca","Shanghai","China","1","2200"
"EXDO6395754978","18/11/2022","Flextronics Manufacturing Juarez","Gaoyi Packing&Printing Suzhou Co Ltd","Paper","Long Beach, Ca","Shanghai","China","1.5","899"
"EXDO6395754978","18/11/2022","Flextronics Manufacturing Juarez","Gaoyi Packing&Printing Suzhou Co Ltd","Paper","Long Beach, Ca","Shanghai","China","1.5","899"
"EXDO6395753934","11/11/2022","Flextronics Manufacturing Juarez","Gaoyi Packing&Printing Suzhou Co Ltd","Paper Manual","Long Beach, Ca","Shanghai","China","1.5","51"
"EXDO6395753934","11/11/2022","Flextronics Manufacturing Juarez","Gaoyi Packing&Printing Suzhou Co Ltd","Paper Manual","Long Beach, Ca","Shanghai","China","1.5","51"
"EXDO6395753934","11/11/2022","Flextronics Manufacturing Juarez","Gaoyi Packing&Printing Suzhou Co Ltd","Paper Manual","Long Beach, Ca","Shanghai","China","1.5","51"
"EXDO6395745770","10/10/2022","Flextronics Manufacturing Juarez","Gaoyi Packing&Printing Suzhou Co Ltd","Plastic","Long Beach, Ca","Shanghai","China","1.5","618"
"EXDO6395743716","26/09/2022","Flextronics Manufacturing Juarez","Gaoyi Packing&Printing Suzhou Co Ltd","Laplop","Long Beach, Ca","Shanghai","China","1","1941"
"EXDO6395741019","20/09/2022","Flextronics Manufacturing Juarez","Gaoyi Packing&Printing Suzhou Co Ltd","Card","Long Beach, Ca","Shanghai","China","1","2112"
"EXDO6395741019","20/09/2022","Flextronics Manufacturing Juarez","Gaoyi Packing&Printing Suzhou Co Ltd","Card","Long Beach, Ca","Shanghai","China","1","2112"
"EXDO6395741019","20/09/2022","Flextronics Manufacturing Juarez","Gaoyi Packing&Printing Suzhou Co Ltd","Card","Long Beach, Ca","Shanghai","China","1","2112"
"EXDO6395738174","07/09/2022","Flextronics Manufacturing Juarez","Gaoyi Packing&Printing Suzhou Co Ltd","Manual","Los Angeles, Ca","Shanghai","China","1.5","3210"
"EXDO6395717622","04/07/2022","Flextronics Manufacturing Juarez","Gaoyi Packing&Printing Suzhou Co Ltd","Manual","Houston, Tx","Shanghai","China","1","1931"
"EXDO6395712444","04/06/2022","Flextronics Manufacturing Juarez","Gaoyi Packing&Printing Suzhou Co Ltd","Mis","Houston, Tx","Shanghai","China","1","890"
"EXDO6395712444","04/06/2022","Flextronics Manufacturing Juarez","Gaoyi Packing&Printing Suzhou Co Ltd","Mis","Houston, Tx","Shanghai","China","1","890"
"EXDO6395711423","04/06/2022","Flextronics Manufacturing Juarez","Gaoyi Packing&Printing Suzhou Co Ltd","Tool","Houston, Tx","Shanghai","China","1","1420"
"EXDO6395745770","11/05/2022","Flextronics Manufacturing Juarez","Gaoyi Packing&Printing Suzhou Co Ltd","Plastic","Long Beach, Ca","Shanghai","China","1.5","618"
"EXDO6395668454","22/01/2022","Flextronics Manufacturing Juarez","Gaoyi Packing&Printing Suzhou Co Ltd","Plastic","Houston, Tx","Pusan","China","1.5","416"
