"Bol Number","Arrival Date","Company Name","Supplier Name","Product Description","Port Of Entry","Shipping Port","Supplier Country","TEU","Weight"
"DFDSSZX0769119","30/03/2023","Trenton Technology Inc","Lite On Technology Corp","Camera","New York/Newark Area, Newark, Nj","Yantian","China","3","23985"
"PFSKMIA23010015","29/03/2023","Poewit Technologies Inc","Lite On Technology Corp","Packed Plywood Acceis Solid Wood","New York/Newark Area, Newark, Nj","Hong Kong","Hong Kong","1.5","898"
"EXDO6911553991","29/03/2023","Zt Group","Lite On Technology Corp","Adapter Electronics","New York/Newark Area, Newark, Nj","Hong Kong","Hong Kong","1.5","2351"
"DFDSTP90038816","29/03/2023","Loc","Lite On Technology Corp","Charger","Long Beach, Ca","Taipei","Taiwan","1.5","8298"
"DMALHKGB73222","29/03/2023","Dell Technology","Lite On Technology Corp","Switching Power Supply","New York/Newark Area, Newark, Nj","Singapore","Hong Kong","1.5","483"
"EXDO6911554097","29/03/2023","Zt Group","Lite On Technology Corp","Adapter Electronics","New York/Newark Area, Newark, Nj","Hong Kong","Hong Kong","1.5","1874"
"EXDO6911554098","29/03/2023","Zt Group","Lite On Technology Corp","Adapter Electronics","New York/Newark Area, Newark, Nj","Hong Kong","Hong Kong","1.5","1545"
"DFDSTP90038347","28/03/2023","Watchguard Technologies Inc","Lite On Technology Corp","Managed Switch","Tacoma, Wa","Kao Hsiung","Taiwan","1.5","6101"
"EWLGEWTSNOE12856","28/03/2023","Wyze Labs Inc","Lite On Technology Corp","Mesh Qca Wyze Usa","Los Angeles, Ca","Kao Hsiung","Taiwan","1.5","2353"
"DMALZSNA53751","28/03/2023","Lite On Trade Usa Inc","Lite On Technology Corp","Computer Chassis Accessory","Los Angeles, Ca","Yantian","China","1.5","11443"
"DFDSTP90038341","28/03/2023","Watchguard Technologies Inc","Lite On Technology Corp","Managed Switch","Tacoma, Wa","Kao Hsiung","Taiwan","1.5","5677"
"RWRD002300019994","28/03/2023","Novacharge Llc","Lite On Technology Corp","Charger","Los Angeles, Ca","Taipei","Taiwan","1.5","2604"
"EXDO6911554131","28/03/2023","Lite On Trade Usa Inc","Lite On Technology Corp","Power Supply","Houston, Tx","Hong Kong","Hong Kong","1.5","1648"
"DMALZSNA53752","28/03/2023","Lite On Trade Usa Inc","Lite On Technology Corp","Computer Chassis Accessory","Los Angeles, Ca","Yantian","China","1.5","5718"
"EWLGEWTSNOE12857","28/03/2023","Wyze Labs Inc","Lite On Technology Corp","Mesh Pack Qca Wyze Usa","Los Angeles, Ca","Kao Hsiung","Taiwan","1.5","2841"
"EXDO6911554134","28/03/2023","Lite On Trade Usa Inc","Lite On Technology Corp","Power Supply","Houston, Tx","Hong Kong","Hong Kong","1.5","4180"
"DMALTPEB18590","28/03/2023","Lite On Trade Usa Inc","Lite On Technology Corp","Switching Power Supply","Los Angeles, Ca","Kao Hsiung","Taiwan","1.5","12791"
"GOLA344919048716","27/03/2023","Lite On Trade Usa Inc","Lite On Technology Corp","Power Shelf Power Supply Unit Pun Pin","Long Beach, Ca","","China","1.5","13875"
"GOLA344919048730","27/03/2023","Lite On Trade Usa Inc","Lite On Technology Corp","Power Shelf Power Supply Unit Pun Pin","Long Beach, Ca","","China","1.5","13875"
"RWRD002300020071","26/03/2023","Swtch Energy Inc","Lite On Technology Corp","Charger","Los Angeles, Ca","Kao Hsiung","Taiwan","1","7559"
"DMALZSNA54156","26/03/2023","Lite On Trade Usa Inc","Lite On Technology Corp","Computer Chassis Accessoryliteon Customer Gkx Vxw Wxngd Gxyg Wxngd Hhdp Rnf Wfkx Customer Supllier","Long Beach, Ca","Shanghai","China","1.5","8751"
"ANEO20423020026","26/03/2023","Brightsign Llc","Lite On Technology Corp","Apparatus Television","Oakland, Ca","Hong Kong","Hong Kong","1.5","1395"
"GOLA158914842633","25/03/2023","Schenker Inc","Lite On Technology Corp","Power Shelf Power Supply Unit Plt","Long Beach, Ca","Kao Hsiung","Taiwan","1","13875"
"UASI7806792180","24/03/2023","Cambium Networks Distribution Cente","Lite On Technology Corp","Access Point","Long Beach, Ca","Hong Kong","Hong Kong","1","733"
"PSEAPKLAX2320043","23/03/2023","Marelli Automotive Lighting Usa Llc","Lite On Technology Corp Kaohsiung Branch","Led Lighting Module Automobiles Plts","Los Angeles, Ca","Kao Hsiung","Taiwan","1","2967"
"RWRD002300019111","23/03/2023","Loop Global Inc","Lite On Technology Corp","Charger Pkgs","Los Angeles, Ca","Kao Hsiung","Taiwan","1","3554"
"EXDO6911555536","22/03/2023","Lite On Trade Usa Inc","Lite On Technology Corp","Power Supply","Long Beach, Ca","Hong Kong","Hong Kong","1.5","3372"
"EXDO6911555993","22/03/2023","Lite On Trade Usa Inc","Lite On Technology Corp","Power Supply","Long Beach, Ca","Hong Kong","Hong Kong","1.5","1637"
"EXDO6911555893","22/03/2023","Lite On Trade Usa Inc","Lite On Technology Corp","Power Supply","Long Beach, Ca","Hong Kong","Hong Kong","1.5","1246"
"EXDO6911556275","22/03/2023","Lite On Trade Usa Inc","Lite On Technology Corp","Power Supply","Long Beach, Ca","Hong Kong","Hong Kong","1.5","2072"
"GOLA158914826435","21/03/2023","Lite On Inc","Lite On Technology Corp","Charger Plts","New York/Newark Area, Newark, Nj","Kao Hsiung","Taiwan","1","7500"
"EMLTHKG00012618","21/03/2023","Cloud Network Technology Singapore Ltd","Lite On Technology Corp","Switching Power Supply","Los Angeles, Ca","Hong Kong","Hong Kong","1","1078"
