"Bol Number","Arrival Date","Company Name","Supplier Name","Product Description","Port Of Entry","Shipping Port","Supplier Country","TEU","Weight"
"MAEU225301647","30/03/2023","Tesla Inc","Maintek Computer Suzhou Co Ltd","Automobile Multimedia System Shp Shipping Mark","New York/Newark Area, Newark, Nj","","China","1.5","2234.89"
"EXDO6395781408","26/03/2023","Arris Global Limited","Maintek Computer Suzhou Co Ltd","Top","Seattle, Wa","Shanghai","China","1.5","12437"
"EXDO6395780862","26/03/2023","Arris Global Limited","Maintek Computer Suzhou Co Ltd","Top","Seattle, Wa","Shanghai","China","1.5","12437"
"EXDO6395782949","26/03/2023","Arris Global Limited","Maintek Computer Suzhou Co Ltd","Top","Seattle, Wa","Shanghai","China","1.5","12437"
"EXDO6395780861","26/03/2023","Arris Global Limited","Maintek Computer Suzhou Co Ltd","Top","Seattle, Wa","Shanghai","China","1.5","12437"
"MATS4433022002","26/03/2023","Google Canada Corp","Maintek Computer Suzhou Co Ltd","Electronic Gds Ltl Fcl Smart Speaker Qyej Qbrl Customer Ship Consist Only Google Solid Wood","Long Beach, Ca","Shanghai","China","1.5","6574"
"MAEU225086368","25/03/2023","Tesla Inc","Maintek Computer Suzhou Co Ltd","Automobile Multimedia System Shp Shipping Mark","New York/Newark Area, Newark, Nj","","China","1.5","2234.89"
"BANQ1050839808","24/03/2023","Sony Interactive Entertainment Amer","Maintek Computer Suzhou Co Ltd","Computer Entertainment System Hscode Plts Delivery Universal Llc Monte Vista Chino Usa Attn Lety Chagolla","Long Beach, Ca","Shanghai","China","1.5","11761"
"CMDUCNHU138958C","20/03/2023","Tesla Inc","Maintek Computer Suzhou Co Ltd","Charge Port Controller Shp Covered Bls Cnhu Cnhu Cnhu","Los Angeles, Ca","Shanghai","China","1.5","4988"
"CMDUCNHU138958B","20/03/2023","Tesla Inc","Maintek Computer Suzhou Co Ltd","Body Controller Module Shp Covered Bls Cnhu Cnhu Cnhu","Los Angeles, Ca","Shanghai","China","1.5","7702"
"CMDUCNHU138958A","20/03/2023","Tesla Inc","Maintek Computer Suzhou Co Ltd","Usb Hub Shp Covered Bls Cnhu Cnhu Cnhu","Los Angeles, Ca","Shanghai","China","1.5","3898"
"EXDO6395779484","19/03/2023","Arris Global Limited","Maintek Computer Suzhou Co Ltd","Top","Long Beach, Ca","Shanghai","China","1.5","12437"
"BANQ1050817794","18/03/2023","Sony Interactive Entertainment Amer","Maintek Computer Suzhou Co Ltd","Computer Entertainment System Plts Deliver Universal Llc Monte Vista Chino Usa Attn Lety Chagolla","Long Beach, Ca","Shanghai","China","4.5","35283"
"CMDUCNHU138909","18/03/2023","Tesla Inc","Maintek Computer Suzhou Co Ltd","Falcon Ctrl Rear Door Ctrl Left Front Ctrl Right Front Ctrl Rear Seat Ecu Shp","Oakland, Ca","Shanghai","China","1.5","9061"
"MAEU224506257","15/03/2023","Tesla Inc","Maintek Computer Suzhou Co Ltd","Eng Msa Shp Shipping Marks","New York/Newark Area, Newark, Nj","","China","1.5","2234.89"
