"Bol Number","Arrival Date","Company Name","Supplier Name","Product Description","Port Of Entry","Shipping Port","Supplier Country","TEU","Weight"
"WLSISH23036347LA","30/03/2023","Pegatron Technology Texas Inc","Pegatron Corp","Capacitance Other Inductor Connector Sensmlcc","Los Angeles, Ca","Shanghai","China","1","1751"
"DMALSHAF10639","29/03/2023","Pegatron Corp","Pegatron Corp","Computer Plts","Long Beach, Ca","Shanghai","China","1.5","5898"
"EMLTSIN00012135","29/03/2023","Technicolor C/O Elite Logistics","Pegatron Corp","Top","Los Angeles, Ca","Singapore","Singapore","1","12975"
"CHSL425840480SIN","27/03/2023","Netgear C O Mobiltech Global Servic","Pegatron Corp","Pack Into Network Systems Wireless Router Extender Rohs Mac","Long Beach, Ca","Singapore","Indonesia","1","3951"
"DSVFSIN0344849","27/03/2023","Technicolor Connected Home Usa Llc","Pegatron Corp","Gateway","Long Beach, Ca","Singapore","Belgium","1.5","11853"
"CMDUTWN0757502U","26/03/2023","Tesla Inc","Pegatron Corp","Plts High Voltage Distribution Cust Shp List Covered Bls Twn Twn Twn Twn","Oakland, Ca","Taipei","Taiwan","1.5","6796"
"CMDUTWN0757502Y","26/03/2023","Tesla Inc","Pegatron Corp","Plts Inverter Cust Shp List Covered Bls Twn Twn Twn","Oakland, Ca","Taipei","Taiwan","1.5","4542"
"CMDUTWN0757502AB","26/03/2023","Tesla Inc","Pegatron Corp","Plts High Voltage Controller Cust Shp List Covered Bls Twn Twn Twn","Oakland, Ca","Taipei","Taiwan","1.5","8042"
"MEDUSI914194","26/03/2023","Sagemcom Usa Llc","Pegatron Corp On Behalf Of S","Wifi Router Fast Sagem Cable Modem Sagem Top Diw Altice Sagem Wifi Router Fast Sagem Wifi Repeater Super Pod Sage Super Pod Bls Bulk Sage Cable Modem Sagem Dsl Fast Frontier Sagem Wifi Repeater Super Pod Sage Super Pod Chart Gem","New York/Newark Area, Newark, Nj","Singapore","Belgium","11.5","87237"
"CMDUTWN0757502V","26/03/2023","Tesla Inc","Pegatron Corp","Plts High Voltage Controller Cust Cust Shp List Covered Bls Twn Twn Twn Twn","Oakland, Ca","Taipei","Taiwan","1.5","6386"
"CMDUTWN0757502AE","26/03/2023","Tesla Inc","Pegatron Corp","Plts Front Body Controller Cust Shp List Covered Bls Twn Twn Twn","Oakland, Ca","Taipei","Taiwan","1.5","7895"
"CMDUTWN0757502K","26/03/2023","Tesla Inc","Pegatron Corp","Plts Inverter Cust Shp List Covered Bls Twn Twn Twn","Oakland, Ca","Taipei","Taiwan","1.5","7444"
"CMDUTWN0757502M","26/03/2023","Tesla Inc","Pegatron Corp","Plts Inverter Cust Shp List Covered Bls Twn Twn","Oakland, Ca","Taipei","Taiwan","1.5","5705"
"CMDUTWN0757502N","26/03/2023","Tesla Inc","Pegatron Corp","Plts High Voltage Controller Cust Shp List Covered Bls Twn Twn","Oakland, Ca","Taipei","Taiwan","1.5","8072"
"CMDUTWN0757502S","26/03/2023","Tesla Inc","Pegatron Corp","Plts Wall Connector Cust Cust Cust Shp List Covered Bls Twn Twn","Oakland, Ca","Taipei","Taiwan","1.5","16707"
"CMDUTWN0759759","26/03/2023","Tesla Inc","Pegatron Corp","Plts Wall Connector Cust Shp List","Oakland, Ca","Taipei","Taiwan","2","18347"
"CMDUTWN0759756","26/03/2023","Tesla Inc","Pegatron Corp","Plts High Voltage Distribution Cust Shp List","Oakland, Ca","Taipei","Taiwan","1.5","10076"
"EXDO6395781419","26/03/2023","Arris Technology Inc","Pegatron Corp","Battery Pack","Seattle, Wa","Shanghai","China","1","1611"
"CMDUTWN0759755","26/03/2023","Tesla Inc","Pegatron Corp","Plts High Voltage Distribution Cust Shp List","Oakland, Ca","Taipei","Taiwan","1.5","9916"
"CMDUTWN0759757","26/03/2023","Tesla Inc","Pegatron Corp","Plts High Voltage Distribution Cust Shp List","Oakland, Ca","Taipei","Taiwan","1.5","9916"
"CMDUTWN0757502L","26/03/2023","Tesla Inc","Pegatron Corp","Plts Chargeport Cust Shp List Covered Bls Twn Twn Twn","Oakland, Ca","Taipei","Taiwan","1.5","4567"
"CMDUTWN0757502O","26/03/2023","Tesla Inc","Pegatron Corp","Plts Chargeport Cust Shp List Covered Bls Twn Twn","Oakland, Ca","Taipei","Taiwan","1.5","6244"
"CMDUTWN0757502Q","26/03/2023","Tesla Inc","Pegatron Corp","Plts Telephony Cust Cust Cust Shp List","Oakland, Ca","Taipei","Taiwan","1.5","5404"
"CMDUTWN0757502P","26/03/2023","Tesla Inc","Pegatron Corp","Plts Wall Connector Cust Cust Cust Cust Shp List Covered Bls Twn Twn","Oakland, Ca","Taipei","Taiwan","1.5","12495"
"CMDUTWN0757502R","26/03/2023","Tesla Inc","Pegatron Corp","Plts Wall Connector Cust Cust Wall Connector Cust Shp List Covered Bls Twn Twn","Oakland, Ca","Taipei","Taiwan","1.5","11119"
"EMLTSIN00012449","25/03/2023","Technicolor C/O Elite Logistics","Pegatron Corp","Gateway","Los Angeles, Ca","Singapore","Singapore","1.5","10590"
"EMLTSIN00012448","25/03/2023","Technicolor C/O Elite Logistics","Pegatron Corp","Gateway","Los Angeles, Ca","Singapore","Singapore","1.5","11853"
"WLSISH23026328LA","25/03/2023","Pegatron Technology Texas Inc","Pegatron Corp","Inductor Capacitance Other Sensor Wave Fiiron Steel Nut Pcb Transformer Ferrite Core Resistor Connector","Los Angeles, Ca","Shanghai","China","1","5325"
"CHSL426429723SIN","25/03/2023","Netgear Inc","Pegatron Corp","Into Plt Network Systems Cable Modem Extender Rohs Mac","Los Angeles, Ca","Singapore","Indonesia","1","435"
"EMLTSIN00011825","24/03/2023","Technicolor C/O Elite Logistics","Pegatron Corp","Gateway","Los Angeles, Ca","Yantian","Singapore","1","454"
"OERT201701M00907","24/03/2023","Pegatron Technology Texas Inc","Pegatron Corp","Mechanical Emi Gasket Gnd Wire","Long Beach, Ca","Shanghai","China","1.5","4316"
"HLCUTPE230239479","23/03/2023","Tesla Inc","Pegatron Corp","Inverter Plts Inverter Cust Shp List","Los Angeles, Ca","Chi Lung","Taiwan","1.5","3745"
"CHSL426985679TPE","23/03/2023","Trimble Inc","Pegatron Corp","Handheld Tablet Plt","Los Angeles, Ca","Chi Lung","Taiwan","1.5","337"
"HLCUTPE230239490","23/03/2023","Tesla Inc","Pegatron Corp","Inverter Plts Inverter Cust Shp List","Los Angeles, Ca","Chi Lung","Taiwan","1","2270"
"DSVFSIN0341325","21/03/2023","Arris Technology Inc","Pegatron Corp","Top","New York/Newark Area, Newark, Nj","Singapore","Singapore","1.5","12984"
"DSVFSIN0343720","21/03/2023","Arris Technology Inc","Pegatron Corp","Top","New York/Newark Area, Newark, Nj","Singapore","Singapore","1.5","12738"
"DSVFSIN0341836","21/03/2023","Arris Technology Inc","Pegatron Corp","Top","New York/Newark Area, Newark, Nj","Singapore","Singapore","1.5","12738"
"DSVFSIN0336966","21/03/2023","Arris Technology Inc","Pegatron Corp","Top","New York/Newark Area, Newark, Nj","Singapore","Singapore","1.5","12984"
"DSVFSIN0341928","21/03/2023","Arris Technology Inc","Pegatron Corp","Top","New York/Newark Area, Newark, Nj","Singapore","Singapore","1.5","12984"
"EXDO621824813","20/03/2023","Go Direct America Inc","Pegatron Corp","Electronic Cigarette Device","Los Angeles, Ca","Shanghai","China","1.5","5620"
