"Bol Number","Arrival Date","Company Name","Supplier Name","Product Description","Port Of Entry","Shipping Port","Supplier Country","TEU","Weight"
"EXDO6395780060","29/03/2023","Flextronics Logistics","Zhuhai Senyang Packing Technology C","Paper Plate","Long Beach, Ca","Shanghai","China","1.5","118"
"EXDO622762078","22/03/2023","Flextronics Logistics","Zhuhai Senyang Packing Technology C","Skimmed Cotton","Long Beach, Ca","Hong Kong","China","1.5","1360"
"EXDO6395779001","20/03/2023","Flextronics Logistics","Zhuhai Senyang Packing Technology C","Paper","Los Angeles, Ca","Shanghai","China","1.5","802"
"EXDO6395777977","15/03/2023","Flextronics Logistics","Zhuhai Senyang Packing Technology C","Paper Card","Long Beach, Ca","Shanghai","China","1.5","293"
"EXDO622761840","11/03/2023","Flextronics Integrated Services Mex S De Rl De Cv","Zhuhai Senyang Packing Technology C","Paper","Houston, Tx","Hong Kong","China","1.5","1135"
"EXDO622762045","10/03/2023","Flextronics Logistics","Zhuhai Senyang Packing Technology C","Paper","Los Angeles, Ca","Yantian","China","1.5","2100"
"EXDO6395775507","06/03/2023","Flextronics Logistics","Zhuhai Senyang Packing Technology C","Paper","Long Beach, Ca","Shanghai","China","1","2781"
"EXDO6395772025","15/02/2023","Flextronics Logistics","Zhuhai Senyang Packing Technology C","Paper Card","Los Angeles, Ca","Shanghai","China","1","931"
"EXDO622761901","13/02/2023","Flextronics Logistics","Zhuhai Senyang Packing Technology C","Paper","Long Beach, Ca","Yantian","China","1","2050"
"EXDO622761901","13/02/2023","Flextronics Logistics","Zhuhai Senyang Packing Technology C","Paper","Long Beach, Ca","Yantian","China","1","2050"
"EXDO622761875","09/02/2023","Flextronics Logistics","Zhuhai Senyang Packing Technology C","Paper","Los Angeles, Ca","Yantian","China","1.5","2030"
"EXDO622761847","09/02/2023","Flextronics Logistics","Zhuhai Senyang Packing Technology C","Pearl Cotton","Los Angeles, Ca","Yantian","China","1.5","1860"
"EXDO622761846","09/02/2023","Flextronics Logistics","Zhuhai Senyang Packing Technology C","Paper","Los Angeles, Ca","Yantian","China","1.5","3320"
"EXDO622761924","09/02/2023","Flextronics Logistics","Zhuhai Senyang Packing Technology C","Skimmed Cotton","Los Angeles, Ca","Yantian","China","1.5","1800"
"EXDO622761547","29/01/2023","Flextronics Integrated Services Mex S De Rl De Cv","Zhuhai Senyang Packing Technology C","Paper Support Paper Skimmed Cotton Pearl Cotton","Houston, Tx","Hong Kong","China","1.5","610"
"EXDO6395769170","29/01/2023","Flextronics Logistics","Zhuhai Senyang Packing Technology C","Paper","Long Beach, Ca","Shanghai","China","1","1699"
"EXDO622761547","29/01/2023","Flextronics Integrated Services Mex S De Rl De Cv","Zhuhai Senyang Packing Technology C","Paper Support Paper Skimmed Cotton Pearl Cotton","Houston, Tx","Hong Kong","China","1.5","610"
"EXDO622761685","24/01/2023","Flextronics Logistics","Zhuhai Senyang Packing Technology C","Paper Support","Long Beach, Ca","Yantian","China","1","1660"
"EXDO622761685","24/01/2023","Flextronics Logistics","Zhuhai Senyang Packing Technology C","Paper Support","Long Beach, Ca","Yantian","China","1","1660"
"EXDO622761704","20/01/2023","Flextronics Logistics","Zhuhai Senyang Packing Technology C","Assembly","Long Beach, Ca","Hulutao","China","1.5","2140"
"EXDO622761704","20/01/2023","Flextronics Logistics","Zhuhai Senyang Packing Technology C","Assembly","Long Beach, Ca","Hulutao","China","1.5","2140"
"EXDO622761643","13/01/2023","Flextronics Logistics","Zhuhai Senyang Packing Technology C","Component","Los Angeles, Ca","Hulutao","China","1","1240"
"EXDO622761643","13/01/2023","Flextronics Logistics","Zhuhai Senyang Packing Technology C","Component","Los Angeles, Ca","Hulutao","China","1","1240"
"CHSL417934633PVG","12/01/2023","Flextronics Integrated Services Mex","Zhuhai Senyang Packing Technology C Add","Paper","Long Beach, Ca","Shanghai","China","1","2128"
"CHSL417934633PVG","12/01/2023","Flextronics Integrated Services Mex","Zhuhai Senyang Packing Technology C Add","Paper","Long Beach, Ca","Shanghai","China","1","2128"
"EXDO6395766696","09/01/2023","Flextronics Logistics","Zhuhai Senyang Packing Technology C","Paper","Los Angeles, Ca","Shanghai","China","1.5","587"
"EXDO622761540","05/01/2023","Flextronics Logistics","Zhuhai Senyang Packing Technology C","Paper Support","Los Angeles, Ca","Yantian","China","1","1290"
"EXDO622761548","05/01/2023","Flextronics Logistics","Zhuhai Senyang Packing Technology C","Pearl Cotton","Los Angeles, Ca","Yantian","China","1.5","960"
"EXDO622761502","05/01/2023","Flextronics Logistics","Zhuhai Senyang Packing Technology C","Paper","Los Angeles, Ca","Yantian","China","1.5","3480"
"EXDO622761571","31/12/2022","Flextronics Logistics","Zhuhai Senyang Packing Technology C","Paper","Long Beach, Ca","Hulutao","China","1.5","2550"
"EXDO6395761351","26/12/2022","Flextronics Logistics","Zhuhai Senyang Packing Technology C","Paper","Long Beach, Ca","Shanghai","China","1.5","4112"
"EXDO6395761351","26/12/2022","Flextronics Logistics","Zhuhai Senyang Packing Technology C","Paper","Long Beach, Ca","Shanghai","China","1.5","4112"
"EXDO622761325","18/12/2022","Flextronics Logistics","Zhuhai Senyang Packing Technology C","Paper Support","Los Angeles, Ca","Yantian","China","1.5","880"
"EXDO622761326","18/12/2022","Flextronics Logistics","Zhuhai Senyang Packing Technology C","Pearl Cotton","Los Angeles, Ca","Yantian","China","1.5","920"
"EXDO622761325","18/12/2022","Flextronics Logistics","Zhuhai Senyang Packing Technology C","Paper Support","Los Angeles, Ca","Yantian","China","1.5","880"
"EXDO622761326","18/12/2022","Flextronics Logistics","Zhuhai Senyang Packing Technology C","Pearl Cotton","Los Angeles, Ca","Yantian","China","1.5","920"
"EXDO622761077","06/12/2022","Flextronics Integrated Services Mex S De Rl De Cv","Zhuhai Senyang Packing Technology C","Component Skimmed Cotton Paper","Houston, Tx","Hong Kong","China","1.5","611"
"EXDO622761391","03/12/2022","Flextronics Logistics","Zhuhai Senyang Packing Technology C","Paper Support","Los Angeles, Ca","Yantian","China","1","960"
"EXDO622761391","03/12/2022","Flextronics Logistics","Zhuhai Senyang Packing Technology C","Paper Support","Los Angeles, Ca","Yantian","China","1","960"
"EXDO622761241","02/12/2022","Flextronics Logistics","Zhuhai Senyang Packing Technology C","Component","Los Angeles, Ca","Hulutao","China","1.5","3010"
"EXDO6395756162","01/12/2022","Flextronics Logistics","Zhuhai Senyang Packing Technology C","Paper","Los Angeles, Ca","Shanghai","China","1.5","664"
"EXDO622761165","29/11/2022","Flextronics Logistics","Zhuhai Senyang Packing Technology C","Paper Support","Los Angeles, Ca","Hulutao","China","1.5","1890"
"EXDO622761165","29/11/2022","Flextronics Logistics","Zhuhai Senyang Packing Technology C","Paper Support","Los Angeles, Ca","Hulutao","China","1.5","1890"
"EXDO6395752159","11/11/2022","Flextronics Logistics","Zhuhai Senyang Packing Technology C","Paper","Long Beach, Ca","Shanghai","China","1.5","848"
"EXDO6395752159","11/11/2022","Flextronics Logistics","Zhuhai Senyang Packing Technology C","Paper","Long Beach, Ca","Shanghai","China","1.5","848"
"EXDO6395752159","11/11/2022","Flextronics Logistics","Zhuhai Senyang Packing Technology C","Paper","Long Beach, Ca","Shanghai","China","1.5","848"
"EXDO6395750623","05/11/2022","Flextronics Logistics","Zhuhai Senyang Packing Technology C","Paper","Long Beach, Ca","Shanghai","China","1.5","1389"
"EXDO622760712","29/10/2022","Flextronics Integrated Services Mex S De Rl De Cv","Zhuhai Senyang Packing Technology C","Paper","Houston, Tx","Hong Kong","China","1.5","116"
"EXDO622760712","29/10/2022","Flextronics Integrated Services Mex S De Rl De Cv","Zhuhai Senyang Packing Technology C","Paper","Houston, Tx","Hong Kong","China","1.5","116"
"EXDO622760712","29/10/2022","Flextronics Integrated Services Mex S De Rl De Cv","Zhuhai Senyang Packing Technology C","Paper","Houston, Tx","Hong Kong","China","1.5","116"
"EXDO6395747716","21/10/2022","Flextronics Logistics","Zhuhai Senyang Packing Technology C","Paper","Long Beach, Ca","Shanghai","China","1","1422"
"EXDO6395747716","21/10/2022","Flextronics Logistics","Zhuhai Senyang Packing Technology C","Paper","Long Beach, Ca","Shanghai","China","1","1422"
"CHSL410037262ZHN","18/10/2022","Flextronics Integrated Services Mex","Zhuhai Senyang Packing Technology C","Electronics","Los Angeles, Ca","Yantian","China","1","870"
"CHSL410037262ZHN","18/10/2022","Flextronics Integrated Services Mex","Zhuhai Senyang Packing Technology C","Electronics","Los Angeles, Ca","Yantian","China","1","870"
