Region,Maker,Brand,Model,Model year,Supplier,Products,Component category,Category
China,Tesla China,Tesla,Model 3 (4WD) (China),2023,"Dalian Demaishi Precision Technology Co., Ltd.",Electric brake worm shaft,Brake Master Cylinder,Chassis/Body
China,Tesla China,Tesla,Model 3 (4WD) (China),2023,"Dalian Demaishi Precision Technology Co., Ltd.",Steering shaft,Steering Column / Shaft,Chassis/Body
China,Tesla China,Tesla,Model 3 (4WD) (China),2023,"Dalian Demaishi Precision Technology Co., Ltd.",Steering worm shaft,Steering Column / Shaft,Chassis/Body
China,Tesla China,Tesla,Model 3 (4WD) (China),2023,"Dalian Demaishi Precision Technology Co., Ltd.",Wiper motor shaft,Wiper System,Chassis/Body
China,Tesla China,Tesla,Model 3 (RR) (China),2023,"Shanghai Delian Chemical Co., Ltd.",Brake fluid,Brake Master Cylinder,Chassis/Body
China,Tesla China,Tesla,Model 3 (RR) (China),2023,"Dalian Demaishi Precision Technology Co., Ltd.",Electric brake worm shaft,Brake Master Cylinder,Chassis/Body
China,Tesla China,Tesla,Model 3 (RR) (China),2023,"Dalian Demaishi Precision Technology Co., Ltd.",Steering shaft,Steering Column / Shaft,Chassis/Body
China,Tesla China,Tesla,Model 3 (RR) (China),2023,"Dalian Demaishi Precision Technology Co., Ltd.",Steering worm shaft,Steering Column / Shaft,Chassis/Body
China,Tesla China,Tesla,Model 3 (RR) (China),2023,"Sumitomo Rubber (Changshu) Co., Ltd.",Tire,Tire,Chassis/Body
China,Tesla China,Tesla,Model 3 (RR) (China),2023,"Dalian Demaishi Precision Technology Co., Ltd.",Wiper motor shaft,Wiper System,Chassis/Body
Americas,Tesla,Tesla,Model 3 (USA),2023,Robert Bosch Mexico SA de C.V.,Brake master cylinder,Brake Master Cylinder,Chassis/Body
Americas,Tesla,Tesla,Model 3 (USA),2023,HL Mando Corporation (Formerly Mando Corporation),Rear brake caliper,Disc Brake (Caliper),Chassis/Body
Americas,Tesla,Tesla,Model 3 (USA),2023,Robert Bosch Mexico SA de C.V.,Electric power steering motor,Power Steering Motor,Chassis/Body
Americas,Tesla,Tesla,Model 3 (USA),2023,"DYNA-MIG, A Division Of F&P Mfg., Inc.",Front subframe,Subframe / Suspension Member,Chassis/Body
Americas,Tesla,Tesla,Model 3 (USA),2023,Robert Bosch Mexico SA de C.V.,Wiper linkage,Wiper System,Chassis/Body
Americas,Tesla,Tesla,Model X (USA),2023,thyssenkrupp Bilstein of America Inc.,Front strut,Shock Absorber,Chassis/Body
Americas,Tesla,Tesla,Model X (USA),2023,thyssenkrupp Bilstein of America Inc.,Rear strut,Shock Absorber,Chassis/Body
China,Tesla China,Tesla,Model Y (4WD) (China),2023,"Shanghai Delian Chemical Co., Ltd.",Brake fluid,Brake Master Cylinder,Chassis/Body
China,Tesla China,Tesla,Model Y (4WD) (China),2023,"Dalian Demaishi Precision Technology Co., Ltd.",Electric brake worm shaft,Brake Master Cylinder,Chassis/Body
China,Tesla China,Tesla,Model Y (4WD) (China),2023,"Dalian Demaishi Precision Technology Co., Ltd.",Steering shaft,Steering Column / Shaft,Chassis/Body
China,Tesla China,Tesla,Model Y (4WD) (China),2023,"Dalian Demaishi Precision Technology Co., Ltd.",Steering worm shaft,Steering Column / Shaft,Chassis/Body
China,Tesla China,Tesla,Model Y (4WD) (China),2023,"Shanghai Michelin Tire Co., Ltd. (Formerly Shanghai Michelin Warrior Tire Co., Ltd.)",Tire,Tire,Chassis/Body
China,Tesla China,Tesla,Model Y (4WD) (China),2023,"Dalian Demaishi Precision Technology Co., Ltd.",Wiper motor shaft,Wiper System,Chassis/Body
China,Tesla China,Tesla,Model Y (RR) (China),2023,"Dalian Demaishi Precision Technology Co., Ltd.",Electric brake worm shaft,Brake Master Cylinder,Chassis/Body
China,Tesla China,Tesla,Model Y (RR) (China),2023,"Dalian Demaishi Precision Technology Co., Ltd.",Steering shaft,Steering Column / Shaft,Chassis/Body
China,Tesla China,Tesla,Model Y (RR) (China),2023,"Dalian Demaishi Precision Technology Co., Ltd.",Steering worm shaft,Steering Column / Shaft,Chassis/Body
China,Tesla China,Tesla,Model Y (RR) (China),2023,"Dalian Demaishi Precision Technology Co., Ltd.",Wiper motor shaft,Wiper System,Chassis/Body
Americas,Tesla,Tesla,Model Y (USA),2023,Norsk Hydro ASA,Aluminum bumper beam,Bumper Beam,Chassis/Body
Americas,Tesla,Tesla,Model Y (USA),2023,Norsk Hydro ASA,Front crash box,Bumper Beam,Chassis/Body
Americas,Tesla,Tesla,Model Y (USA),2023,ZF Active Safety And Electronics US LLC (Formerly TRW Automotive),Chassis component,Chassis Frame,Chassis/Body
Americas,Tesla,Tesla,Model Y (USA),2023,"Minghua de México, S.A. de C.V.",Rocker,Chassis Frame,Chassis/Body
Americas,Tesla,Tesla,Model Y (USA),2023,HL Mando Corporation (Formerly Mando Corporation),Rear brake caliper,Disc Brake (Caliper),Chassis/Body
Americas,Tesla,Tesla,Model Y (USA),2023,Leopold Kostal GmbH & Co. KG,Steering column module,Steering Column / Shaft,Chassis/Body
Americas,Tesla,Tesla,Model Y (USA),2023,"DYNA-MIG, A Division Of F&P Mfg., Inc.",Rear subframe,Subframe / Suspension Member,Chassis/Body
Americas,Tesla,Tesla,Model Y (USA),2023,Mubea Suspension Components Russia LLC,Coil spring,Suspension Spring,Chassis/Body
Americas,Tesla,Tesla,Model Y (USA),2023,RONAL AG,Alloy wheel,Wheel,Chassis/Body
Americas,Tesla,Tesla,Model Y (USA),2023,"Brose North America, Inc.",Front window regulator,Window Regulator,Chassis/Body
Americas,Tesla,Tesla,Model Y (USA),2023,"Brose North America, Inc.",Rear window regulator,Window Regulator,Chassis/Body
China,Tesla China,Tesla,Model 3 (4WD) (China),2022,"Dalian Demaishi Precision Technology Co., Ltd.",Electric brake worm shaft,Brake Master Cylinder,Chassis/Body
China,Tesla China,Tesla,Model 3 (4WD) (China),2022,"Dalian Demaishi Precision Technology Co., Ltd.",Steering shaft,Steering Column / Shaft,Chassis/Body
China,Tesla China,Tesla,Model 3 (4WD) (China),2022,"Dalian Demaishi Precision Technology Co., Ltd.",Steering worm shaft,Steering Column / Shaft,Chassis/Body
China,Tesla China,Tesla,Model 3 (4WD) (China),2022,"Dalian Demaishi Precision Technology Co., Ltd.",Wiper motor shaft,Wiper System,Chassis/Body
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"Bosch Automotive Products (Suzhou) Co., Ltd.",ABS,ABS / ESC,Chassis/Body
China,Tesla China,Tesla,Model 3 (RR) (China),2022,Tesla,Electronically controlled brake system,ABS / ESC,Chassis/Body
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"Bosch Automotive Products (Suzhou) Co., Ltd. Nanjing Branch",Electromechanical brake booster (iBooster),Brake Booster,Chassis/Body
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"Shanghai Delian Chemical Co., Ltd.",Brake fluid,Brake Master Cylinder,Chassis/Body
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"Dalian Demaishi Precision Technology Co., Ltd.",Electric brake worm shaft,Brake Master Cylinder,Chassis/Body
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"Ningbo Tuopu Group Co., Ltd.(Formerly Ningbo Tuopu Brake System Co., Ltd.)",Aluminum chassis structure,Chassis Frame,Chassis/Body
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"Brembo (Nanjing) Brake Systems Co., Ltd.",Disc brake system,Disc Brake (Caliper),Chassis/Body
China,Tesla China,Tesla,Model 3 (RR) (China),2022,HL Mando Corporation (Formerly Mando Corporation),Rear brake caliper,Disc Brake (Caliper),Chassis/Body
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"Continental Automotive Electronic Systems Changshu Co., Ltd.",Air suspension,Shock Absorber,Chassis/Body
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"Guangdong WABCO Vehicle Brakes Co., Ltd.(Formerly Guangdong WABCO Fuwa Auto Braking System Co., Ltd.)",Air suspension system,Shock Absorber,Chassis/Body
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"Ningbo Tuopu Group Co., Ltd.(Formerly Ningbo Tuopu Brake System Co., Ltd.)",Shock absorber,Shock Absorber,Chassis/Body
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"HL Mando (Beijing) Automotive Chassis System Co., Ltd. (Formerly Mando (Beijing) Automotive Chassis System Co.,Ltd.)",Shock absorber,Shock Absorber,Chassis/Body
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"Shanghai Carthane Co., Ltd.",Shock absorber components,Shock Absorber,Chassis/Body
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"Dongguan Yian Technology Co., Ltd.",Door lock,Side Door Lock,Chassis/Body
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"thyssenkrupp Springs and Stabilizers (Pinghu) Co., Ltd.",Front stabilizer bar,Stabilizer,Chassis/Body
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"thyssenkrupp Springs and Stabilizers (Pinghu) Co., Ltd.",Rear stabilizer bar,Stabilizer,Chassis/Body
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"Dalian Demaishi Precision Technology Co., Ltd.",Steering shaft,Steering Column / Shaft,Chassis/Body
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"Dalian Demaishi Precision Technology Co., Ltd.",Steering worm shaft,Steering Column / Shaft,Chassis/Body
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"Ningbo Tuopu Group Co., Ltd.(Formerly Ningbo Tuopu Brake System Co., Ltd.)",Steering knuckle,Steering Knuckle,Chassis/Body
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"HL Mando (Ningbo) Automotive Parts Co., Ltd.(Formerly Mando (Ningbo) Automotive Parts Co., Ltd.)",Steering knuckle,Steering Knuckle,Chassis/Body
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"Bosch Automotive Products (Suzhou) Co., Ltd.",Electric power steering (EPS),Steering System,Chassis/Body
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"Zhejiang Baida Precision Manufacturing Corp. (Formerly Taizhou Baida Refrigeration Co., Ltd.)",Electric power steering components,Steering System,Chassis/Body
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"Nanjing Yunhai Special Metals Co., Ltd.",Steering wheel frame,Steering Wheel,Chassis/Body
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"Shanghai Huizhong Automotive Manufacturing Co., Ltd.",Sub frame,Subframe / Suspension Member,Chassis/Body
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"Ningbo Tuopu Group Co., Ltd.(Formerly Ningbo Tuopu Brake System Co., Ltd.)",Sub frame,Subframe / Suspension Member,Chassis/Body
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"Ningbo Tuopu Group Co., Ltd.(Formerly Ningbo Tuopu Brake System Co., Ltd.)",Control arm,Suspension Control Arm,Chassis/Body
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"Shanghai Michelin Tire Co., Ltd. (Formerly Shanghai Michelin Warrior Tire Co., Ltd.)",Tire,Tire,Chassis/Body
