Region,Maker,Brand,Model,Model year,Supplier,Products,Component category,Category
China,Tesla China,Tesla,Model 3 (4WD) (China),2023,"Sanden Shanghai Automotive Air-Conditioning Co., Ltd.",Electric A/C compressor,A/C Compressor,Electrical
China,Tesla China,Tesla,Model 3 (4WD) (China),2023,"Zhejiang Sanhua Intelligent Controls Co., Ltd.",Electronic expansion valve,Air Conditioning / HVAC,Electrical
China,Tesla China,Tesla,Model 3 (4WD) (China),2023,"Zhejiang Yinlun Machinery Co., Ltd.",Water cooling parts for ADAS chip,Electronic Control Unit,Electrical
China,Tesla China,Tesla,Model 3 (RR) (China),2023,"Sanden Shanghai Automotive Air-Conditioning Co., Ltd.",Electric A/C compressor,A/C Compressor,Electrical
China,Tesla China,Tesla,Model 3 (RR) (China),2023,"Zhejiang Sanhua Intelligent Controls Co., Ltd.",Electronic expansion valve,Air Conditioning / HVAC,Electrical
China,Tesla China,Tesla,Model 3 (RR) (China),2023,"Zhejiang Yinlun Machinery Co., Ltd.",Water cooling parts for ADAS chip,Electronic Control Unit,Electrical
Americas,Tesla,Tesla,Model 3 (USA),2023,Seger Ses Ve Elektrikli Gerecler San. A. S.,Horn,Horn,Electrical
Americas,Tesla,Tesla,Model 3 (USA),2023,Continental AG,Radar sensor,Milliwave and Laser Radar / LiDAR,Electrical
Americas,Tesla,Tesla,Model 3 (USA),2023,"Inteva Products, LLC",Front power window motor,Motor / Actuator,Electrical
Americas,Tesla,Tesla,Model 3 (USA),2023,Bosch [Robert Bosch GmbH],Front wiper motor,Motor / Actuator,Electrical
Americas,Tesla,Tesla,Model 3 (USA),2023,"Inteva Products, LLC",Rear power window motor,Motor / Actuator,Electrical
Americas,Tesla,Tesla,Model 3 (USA),2023,Continental AG,Tire pressure monitoring system ECU,Tire Pressure Monitoring System,Electrical
Americas,Tesla,Tesla,Model S (USA),2023,"Wuhu Token Sciences Co., Ltd.",Central control screen module,Display,Electrical
Americas,Tesla,Tesla,Model X (USA),2023,"Wuhu Token Sciences Co., Ltd.",Central control screen module,Display,Electrical
China,Tesla China,Tesla,Model Y (4WD) (China),2023,"Sanden Shanghai Automotive Air-Conditioning Co., Ltd.",Electric A/C compressor,A/C Compressor,Electrical
China,Tesla China,Tesla,Model Y (4WD) (China),2023,"Zhejiang Sanhua Intelligent Controls Co., Ltd.",Electronic expansion valve,Air Conditioning / HVAC,Electrical
China,Tesla China,Tesla,Model Y (4WD) (China),2023,"Zhejiang Yinlun Machinery Co., Ltd.",Water cooling parts for ADAS chip,Electronic Control Unit,Electrical
China,Tesla China,Tesla,Model Y (RR) (China),2023,"Sanden Shanghai Automotive Air-Conditioning Co., Ltd.",Electric A/C compressor,A/C Compressor,Electrical
China,Tesla China,Tesla,Model Y (RR) (China),2023,"Zhejiang Sanhua Intelligent Controls Co., Ltd.",Electronic expansion valve,Air Conditioning / HVAC,Electrical
China,Tesla China,Tesla,Model Y (RR) (China),2023,"Zhejiang Yinlun Machinery Co., Ltd.",Water cooling parts for ADAS chip,Electronic Control Unit,Electrical
Americas,Tesla,Tesla,Model Y (USA),2023,Denso Thermal Systems S.p.A.,A/C compressor,A/C Compressor,Electrical
Americas,Tesla,Tesla,Model Y (USA),2023,"Brose North America, Inc.",Front power window motor,Motor / Actuator,Electrical
Americas,Tesla,Tesla,Model Y (USA),2023,"Brose North America, Inc.",Rear power window motor,Motor / Actuator,Electrical
Americas,Tesla,Tesla,Model Y (USA),2023,Preh Beteiligungs GmbH,Door release switch,Switch,Electrical
Americas,Tesla,Tesla,Model Y (USA),2023,Preh Beteiligungs GmbH,Frunk switch,Switch,Electrical
Americas,Tesla,Tesla,Model Y (USA),2023,Preh Beteiligungs GmbH,Liftgate switch,Switch,Electrical
Americas,Tesla,Tesla,Model Y (USA),2023,Preh Beteiligungs GmbH,Multifunctional steering wheel switch,Switch,Electrical
Americas,Tesla,Tesla,Model Y (USA),2023,Preh Beteiligungs GmbH,Seat dump switch,Switch,Electrical
Americas,Tesla,Tesla,Model Y (USA),2023,Preh Beteiligungs GmbH,Window lift switch,Switch,Electrical
China,Tesla China,Tesla,Model 3 (4WD) (China),2022,"Zhejiang Sanhua Intelligent Controls Co., Ltd.",Electronic expansion valve,Air Conditioning / HVAC,Electrical
China,Tesla China,Tesla,Model 3 (4WD) (China),2022,"Zhejiang Yinlun Machinery Co., Ltd.",Water cooling parts for ADAS chip,Electronic Control Unit,Electrical
China,Tesla China,Tesla,Model 3 (RR) (China),2022,Tesla,ADAS domain controller chip,Advanced Driver Assistance ECU,Electrical
China,Tesla China,Tesla,Model 3 (RR) (China),2022,Tesla,Autopilot system,Advanced Driver Assistance ECU,Electrical
China,Tesla China,Tesla,Model 3 (RR) (China),2022,ON Semiconductor Corp.,Intelligent power module (IPM),Advanced Driver Assistance ECU,Electrical
China,Tesla China,Tesla,Model 3 (RR) (China),2022,Renesas Electronics Corporation,MCU,Advanced Driver Assistance ECU,Electrical
China,Tesla China,Tesla,Model 3 (RR) (China),2022,STMicroelectronics N.V.,MCU,Advanced Driver Assistance ECU,Electrical
China,Tesla China,Tesla,Model 3 (RR) (China),2022,Modine Manufacturing Company,A/C cooling system,Air Conditioning / HVAC,Electrical
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"Zhejiang Sanhua Intelligent Controls Co., Ltd.",Air conditioning component,Air Conditioning / HVAC,Electrical
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"Hanon Auto Parts (Shanghai) Co., Ltd.",Air conditioning system,Air Conditioning / HVAC,Electrical
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"Zhejiang Sanhua Intelligent Controls Co., Ltd.",Electronic expansion valve,Air Conditioning / HVAC,Electrical
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"Anhui Tatfook Technology Co., Ltd. (Formerly Shenzhen Tatfook Technology Co., Ltd.)",Antenna RF components,Antenna,Electrical
China,Tesla China,Tesla,Model 3 (RR) (China),2022,ON Semiconductor Corp.,Image sensor for triple front camera,Camera ECU,Electrical
China,Tesla China,Tesla,Model 3 (RR) (China),2022,Harman Becker Automotive Systems GmbH,Audio amplifier,Car Audio,Electrical
