Region,Maker,Brand,Model,Model year,Supplier,Products,Component category,Category
China,Tesla China,Tesla,Model 3 (RR) (China),2023,"Shanghai Delian Chemical Co., Ltd.",Glass bonding,Fastener,General/Smallparts
China,Tesla China,Tesla,Model Y (4WD) (China),2023,"Shanghai Delian Chemical Co., Ltd.",Glass bonding,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model Y (USA),2023,WR Controls USA,Door latch cable,Control Cable,General/Smallparts
Americas,Tesla,Tesla,Model Y (USA),2023,EFC International,Clip,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model Y (USA),2023,EFC International,Hex nut,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model Y (USA),2023,EFC International,Panel fastener,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model Y (USA),2023,"Faurecia Interior Systems, Inc.-Auburn Hills MI",Rear seat frame bolt,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model Y (USA),2023,EFC International,Trim clip,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model Y (USA),2023,EFC International,Weatherstrip clip,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model Y (USA),2023,"MacLean-Fogg Component Solutions, LLC",Wheel fastener,Fastener,General/Smallparts
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"Ningbo Tuopu Group Co., Ltd.(Formerly Ningbo Tuopu Brake System Co., Ltd.)",Wheel housing insulator,Acoustic Insulator,General/Smallparts
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"Shanghai Delian Chemical Co., Ltd.",Glass bonding,Fastener,General/Smallparts
China,Tesla China,Tesla,Model Y (4WD) (China),2022,"Shanghai Delian Chemical Co., Ltd.",Glass bonding,Fastener,General/Smallparts
Europe,Tesla,Tesla,Model Y (Germany),2022,KSM Castings Group GmbH,Bearing,Bearing,General/Smallparts
Europe,Tesla,Tesla,Model Y (Germany),2022,HellermannTyton GmbH,Cable bundling and fastening elements,Fastener,General/Smallparts
Europe,Tesla,Tesla,Model Y (Germany),2022,Fraenkische Rohrwerke Gebr. Kirchner GmbH & Co. KG,Clip,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model Y (USA),2022,WR Controls USA,Door latch cable,Control Cable,General/Smallparts
Americas,Tesla,Tesla,Model Y (USA),2022,EFC International,Clip,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model Y (USA),2022,EFC International,Hex nut,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model Y (USA),2022,EFC International,Panel fastener,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model Y (USA),2022,"Faurecia Interior Systems, Inc.-Auburn Hills MI",Rear seat frame bolt,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model Y (USA),2022,EFC International,Trim clip,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model Y (USA),2022,EFC International,Weatherstrip clip,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model Y (USA),2022,"MacLean-Fogg Component Solutions, LLC",Wheel fastener,Fastener,General/Smallparts
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"Ningbo Xusheng Auto Technology Co., Ltd.",Inverter cover,Acoustic Insulator,General/Smallparts
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"Ningbo Tuopu Group Co., Ltd.(Formerly Ningbo Tuopu Brake System Co., Ltd.)",Shock absorber bushing,Bush,General/Smallparts
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"Jiangsu Changshu Automotive Trim Group Co., Ltd. (Formerly Changshu Automotive Trim Co., Ltd.)",Fastener,Fastener,General/Smallparts
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"Shanghai Delian Chemical Co., Ltd.",Glass bonding,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,"Borgers Ohio, Inc.",Rear wheel arch liner,Acoustic Insulator,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,"BizLink Technology, Inc.",AC 3 phase CP cable,Control Cable,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,"Exo-S Industrias, S.A. de C.V.",Cabin intake upper duct,Duct,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,Axiom Plastics Inc.,HVAC inlet duct,Duct,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,Norm Civata San. Ve Tic. A.S.,12V battery fitting bolt,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,"Bossard, Inc",12V battery nut,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,QST International Corp.,12V battery screw,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,Norm Civata San. Ve Tic. A.S.,2nd row seat back hardware bolt,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,NIFCO America Corporation,2nd row seat cushion clip,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,"Bossard, Inc",A pillar trim clip,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,QST International Corp.,A/C compressor bolt,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,"Bossard, Inc",A/C compressor screw,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,Norm Civata San. Ve Tic. A.S.,A/C condenser bolt,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,Norm Civata San. Ve Tic. A.S.,A/C pipe and hose bolt,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,QST International Corp.,A/C pipe bolt,Fastener,General/Smallparts
